gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreen,kMEpink,kMEred,kMEturquoise
Mip,green,0.9864835088093661,0.39243857642014046,0.28351325616877704,0.22566434560016294,0.9864835088093661,0.09919890306820724,0.2833468048182665,0.5543996474533786
Crygd,green,0.9748047174314157,0.365157156792801,0.2120854080869198,0.19767193946173944,0.9748047174314157,0.09954595324265932,0.20469166755818496,0.49054547266345655
Gm2446,turquoise,0.02815193672526405,-0.23240847018853994,0.08397312939427783,-0.11341009450734552,0.09010648013671675,0.0540738416771656,0.016286219908843453,0.02815193672526405
Crygb,green,0.9777037522926125,0.3238503683874816,0.18005226984907005,0.1704940633746714,0.9777037522926125,0.10071902810061634,0.16853124182436932,0.47055411948122344
Crygc,green,0.9827141405331887,0.2989452417310489,0.21714574113042315,0.19190797371900933,0.9827141405331887,0.09626616703167967,0.2017670880072251,0.5040062228107007
Gm2436,grey,,0.1408350762024161,-0.10229242701887864,0.09632006296534666,-0.19448384954383138,-0.08644003371666541,-0.07524625951123072,-0.1694535886362562
Cryba4,green,0.9826508263497401,0.3618137726290919,0.21341829928734593,0.18323154408340328,0.9826508263497401,0.08904836440809057,0.1448997393175002,0.48575893319725216
Crygs,green,0.9808844348929967,0.3551637866875683,0.19300465603957048,0.16873878039281645,0.9808844348929967,0.09477232917661167,0.15622195319871715,0.48412704831855685
Lgsn,green,0.9854201031711693,0.3168343611413116,0.19827912556106217,0.18843791376833682,0.9854201031711693,0.10512970648197244,0.1767873565149525,0.5239002329836219
Crybb2,green,0.9776669146544829,0.35919012206668677,0.1896762438069719,0.16810074537923428,0.9776669146544829,0.09298506138104932,0.11919924658827834,0.48278251562858376
Lctl,green,0.9742761152732371,0.3377975718874079,0.23300317887865596,0.20730139223622543,0.9742761152732371,0.11753665211336546,0.2907315863573263,0.5091619812106812
Cryba1,green,0.9675703026127626,0.3377919076670741,0.20974565754391958,0.16919613568055564,0.9675703026127626,0.08520361216896173,0.15306667700897247,0.48729371083544115
Cryaa,green,0.9534538311920657,0.35276933526489174,0.20029633635527358,0.16643707604820593,0.9534538311920657,0.08803552305265426,0.14525161558502692,0.4900114728086209
Gja3,green,0.9623067881401252,0.3718040438892256,0.2940346129722043,0.24359128510784386,0.9623067881401252,0.1599586471684376,0.3166616349764756,0.6570546261387746
Gja8,green,0.9525002053746945,0.3792261773445939,0.2542939768494127,0.21548157299043394,0.9525002053746945,0.1453506346642396,0.24822834464516372,0.571587775115524
Zfp1009,turquoise,0.06214590252266226,-0.09686139708644227,0.06328976333530681,-0.033426172632321456,-0.06285107767770802,-0.011439447062571058,-0.07590831370070054,0.06214590252266226
Cryba2,green,0.9792947893516675,0.35112494127147814,0.20547097690709035,0.1806091475542039,0.9792947893516675,0.09599316747202757,0.136447732887366,0.49867848272573384
Bfsp1,green,0.9807012849803096,0.3471290109691424,0.2738010601963428,0.21132382208920208,0.9807012849803096,0.09705666245321176,0.27361504052059277,0.539704947053315
Crybb1,green,0.99168391986219,0.34883210610484433,0.22015944495972908,0.2004077079086604,0.99168391986219,0.08724229815245262,0.20356244390483622,0.5091572062117635
Crybb3,green,0.9794598837507962,0.3614758813598731,0.2497619374475319,0.20243901242802886,0.9794598837507962,0.11704018802321639,0.18611205414802337,0.5277065631569543
Muc16,blue,0.7148698319967643,0.4313043815933485,0.7148698319967643,0.6134173030597901,0.23240925878141247,0.07335078683411841,0.5617674653842734,0.26737805780097923
ENSMUSG00000116988,grey,,-0.027592666551970457,-0.2379429453968001,-0.11357495433712271,-0.10963434531605591,0.1329368062597379,-0.37291918373218824,-0.14362915531836212
Elovl3,brown,0.7781035193901428,0.8378752216332837,0.5550692872198486,0.7781035193901428,0.2941392425051768,0.03132690485643995,0.367369251319536,0.4161483434124161
Tmem265,blue,0.08864408566770061,-0.08041967648509625,0.08864408566770061,-0.038713873935894365,0.06967840821485578,0.21852982989919986,-0.17399303701880045,-0.09296817605519117
Krt79,brown,0.9201700770132117,0.6211722332626344,0.5948458907270651,0.9201700770132117,0.23349686213351187,-0.03308452772881465,0.3961859650839216,0.387364047660756
ENSMUSG00000103441,green,0.9329432128630331,0.2736563778622332,0.11634890612115154,0.11226614732245294,0.9329432128630331,0.04034455889304593,0.168264195849376,0.5376134118064732
Gm24924,green,0.42553333094741824,0.13504758237160552,-0.0858703964712998,-0.0705363823129999,0.42553333094741824,-0.021082705456416027,-0.06855774921731142,0.2464433073208213
Gcat,turquoise,0.10015570011083884,0.2248024064996062,-0.2225661049725206,-0.011609122076687305,-0.019424396740089202,0.05915009906793442,-0.3516045244741337,0.10015570011083884
Grifin,green,0.9835823853029102,0.3768641969595326,0.20447498973889688,0.191598969963268,0.9835823853029102,0.096051575560159,0.17540647279194924,0.5104593590941087
Gp2,blue,0.770507856241029,0.4156828281601378,0.770507856241029,0.6513394763815799,0.2694906405600032,0.2189908953748897,0.5857478702587252,0.3320759169345589
Muc5b,blue,0.723543899868063,0.46193069431650646,0.723543899868063,0.6901170482362433,0.28744173210738794,0.19051575892119446,0.5624123194707913,0.39758124611726847
Gm26244,green,0.3149726879554352,-0.02527056038601956,-0.10217985148821289,-0.0719973786727484,0.3149726879554352,-0.1772956318711419,-0.11069892291840923,0.144354480464657
Myh2,red,0.9271108197477191,0.3651526676307815,0.6504235013402866,0.3065210162394914,0.2944833045978356,0.14680134733114877,0.9271108197477191,0.585766801741283
Tchhl1,brown,0.8609878809523257,0.3637388007028965,0.529478051245152,0.8609878809523257,0.32240376297611606,-0.06639480111777118,0.3352333762538146,0.5778340129715276
Obp1a,pink,0.9821002955932291,0.06375226993726336,0.1373189353190966,0.05238420329935703,0.06681115645038793,0.9821002955932291,0.1569074470754013,0.21653624557185142
Awat1,brown,0.9326531209407743,0.473640004817177,0.5954098097184841,0.9326531209407743,0.09058921557554575,-0.006165925832218783,0.3125587159296001,0.28946142125027
ENSMUSG00000100774,grey,,-0.12569615839872486,-0.16617634574772167,-0.26934745353269207,-0.013180314226395201,0.13185745824285322,-0.05919069092952837,-0.07206133355820503
Muc5ac,blue,0.7209828211586843,0.5058742898841094,0.7209828211586843,0.6563098553220539,0.2838691123286827,0.17544107116670002,0.522310037504575,0.34036704652694216
Nt5dc3,grey,,-0.0286166630633842,-0.07170502134476586,0.0051995133999423,0.13922512552612268,-0.08308657543773017,-0.18645165531555113,-0.06285807013167193
Sptlc3,black,0.9473829788475608,0.9473829788475608,0.3599083339068433,0.5064827650176973,0.429381095020717,0.050922182526593494,0.3446473368790623,0.4035402171555617
Sox1,green,0.9246190553706559,0.43210655269838083,0.19962832888449894,0.1911796918599928,0.9246190553706559,0.13960056158476,0.26613139296560817,0.505380688740807
ENSMUSG00000066632,brown,0.14927069376979546,0.08276022387668974,-0.025483532904717193,0.14927069376979546,0.026170582196251905,0.11140135758236709,-0.10298838070675558,-0.22001950486892405
Cyp4f39,brown,0.8575615861769119,0.4323084981152039,0.6133518608857913,0.8575615861769119,0.10199403180959835,-0.034992411155117975,0.3985314714984763,0.4265553378219724
Dgat2l6,black,0.9143645667484777,0.9143645667484777,0.13623232183945755,0.4170623340663804,0.3187841013647339,-0.0800117735523873,0.1035964121585153,0.17378767636273568
ENSMUSG00000115302,grey,,0.10958696367675053,-0.09673277141842752,-0.22291761664923618,0.07149137734437562,0.04007797203407968,0.11095629927204033,0.04206064217211907
Dnase2b,green,0.9549074121546935,0.2819974025660178,0.2163246444371942,0.2017356178761735,0.9549074121546935,0.08252527454260343,0.28431841054607665,0.5093142403420134
Myh1,red,0.9517028354813014,0.2725178922036103,0.669152889013311,0.3333519951164326,0.25668549623089165,0.1660026650906404,0.9517028354813014,0.5048454486112463
Foxe3,green,0.9176200932176733,0.3717773841480954,0.2549136987683606,0.19035628180158942,0.9176200932176733,0.17889891257691998,0.24253825440078677,0.6386005535522433
Cfd,turquoise,0.3974488284759113,0.3449432411261142,0.305057894125892,0.20680041762896492,0.38688163600259395,0.33073704230914225,0.28721017284098904,0.3974488284759113
Aadacl3,black,0.883011637649087,0.883011637649087,0.368032813882318,0.6451916489751646,0.29200118795268676,0.03818029001240293,0.2793033209706287,0.32050901407169485
Gm2808,red,0.340946216708097,-0.03254202555653549,0.05313974166367279,0.035216267429728464,0.20949432904256338,0.06422766320281838,0.340946216708097,0.12714005900771178
Gm44502,brown,0.24770182180009462,-0.06582916856871075,0.01136671657578613,0.24770182180009462,-0.21509390707731244,-0.03574196396150582,-0.03440678190642754,-0.11755351444484606
Ccl27al,brown,0.6631082045393168,0.35468698731611065,0.05392996564699476,0.6631082045393168,0.056327898230118245,-0.10776179922894216,-0.07920988368744898,0.09545590713761741
Bpifa6,black,0.9731333548257,0.9731333548257,0.28909036711440667,0.3865883827987161,0.3451701450875274,0.06398307503916956,0.37626072688447526,0.3383719410536642
Cyp4a10,black,0.8998574183950194,0.8998574183950194,0.2577171032194653,0.41564710750931877,0.32859457134108444,0.05123677182124697,0.21286107309032545,0.2750554357593451
Myh8,red,0.8057119520622306,0.26568965236736886,0.6349458542519718,0.34240094993649683,0.4155320830596981,0.1630546318011099,0.8057119520622306,0.4853001486274084
Birc7,green,0.9512138299847543,0.3628569079030878,0.2420575358087924,0.18609811513412117,0.9512138299847543,0.07926998303637066,0.29181526590568313,0.5188361878282324
Myh13,red,0.4969599579859605,0.23496988930202845,0.25102051196993563,0.20035989826858075,0.21909926700635773,0.01575760646954732,0.4969599579859605,0.3049072311697712
Ugt1a8,black,0.9306697413379302,0.9306697413379302,0.16310057621812638,0.28286539130402094,0.22213824542675803,0.055999914085051464,0.26597751049793106,0.22572150853309972
Pck1,black,0.7771579633998023,0.7771579633998023,0.2663749435901106,0.25742351214655346,0.4910651256545929,0.20308726241555175,0.3382748662060546,0.41732853800473313
Fads2b,blue,0.8732213706281964,0.33459663837765846,0.8732213706281964,0.7729524911541267,0.17832977478816953,0.14735004773724988,0.5423448498613096,0.46394054400450363
Mucl2|Gm53236,pink,0.9755423564163397,0.0912985712266837,0.11217557851647555,-0.024985631399832793,0.14455448024274326,0.9755423564163397,0.1705568243511607,0.2441998256074399
Wnt7a,green,0.9517383454195381,0.3053580286321789,0.20441321992863953,0.1812981594182453,0.9517383454195381,0.10459511783470564,0.23544770412512425,0.5284809816105265
Aadac,black,0.8419224719190362,0.8419224719190362,0.49477215679160247,0.5345663913123371,0.37141605411911877,-0.03995784875298601,0.4209732489601804,0.42083064070458565
Serpinb6d,brown,0.6149927118522732,0.6821521752271645,0.24261471105619836,0.6149927118522732,0.5017436147257741,-0.09857778155765588,0.2210972633485339,0.2657078092947699
Ckmt2,red,0.9216577838430742,0.406464110424109,0.587251245798577,0.29384351381754553,0.3739470173342697,0.13870817750361897,0.9216577838430742,0.5128651820348495
ENSMUSG00000092412,grey,,-0.07020172536239536,-0.07104052836918429,-0.10364228979998674,-0.22766698616513764,-0.02042746626439937,-0.15015427864286435,-0.23440149993719656
Gm14434,grey,,-0.20440885918829843,-0.2057244914612859,-0.2322888770342546,-0.13868355088534803,-0.04008799565192977,-0.07532021101805655,-0.29129977287482206
Krt15,blue,0.9429701497647577,0.19702479174069779,0.9429701497647577,0.48314788804130193,0.13568179992351,0.15152245645770893,0.6525360649573195,0.47966729173738004
Krt75,blue,0.8786868985043708,0.15912074539099386,0.8786868985043708,0.6712485863639114,0.10766837915492745,0.012489905690046162,0.530160251949768,0.4821175087915285
Scgb2b24,pink,0.97621314757137,0.03080841720822598,0.1102325392433053,-0.06478722636211309,0.10494547213658388,0.97621314757137,0.09268506353620837,0.20435404474299815
ENSMUSG00000104690,turquoise,0.054002070025912556,0.03206029595451903,-0.1684458307618594,0.029093905155330998,-0.03897084038421916,0.022140667347266697,-0.0706856879299443,0.054002070025912556
Tmem40,green,0.9002667833114841,0.3670345518834659,0.5084095029456017,0.3328366738820775,0.9002667833114841,0.12775893610688666,0.43290239508178674,0.6338257459412338
Sox1ot,green,0.9481113291107723,0.3260854525174066,0.19281480972520532,0.20131326482585687,0.9481113291107723,0.15339632234228512,0.23134443118934261,0.5665959728366295
