module,condition,mission_RR-5,mission_RR-9
MEblack,0.573623,1.0,1.0
MEblue,0.135451,1.0,1.0
MEbrown,0.478944,1.0,1.0
MEcyan,0.362188,1.0,1.0
MEdarkgrey,0.007448,1.0,1.0
MEdarkorange,0.805322,1.0,1.0
MEdarkred,0.750387,1.0,1.0
MEdarkturquoise,0.924825,1.0,1.0
MEgreen,0.828033,1.0,1.0
MEgreenyellow,0.167315,1.0,1.0
MElightcyan,0.048305,1.0,1.0
MElightgreen,0.936927,1.0,1.0
MEmagenta,0.577099,1.0,1.0
MEmidnightblue,0.887723,1.0,1.0
MEorange,0.932734,1.0,1.0
MEpink,0.566152,1.0,1.0
MEpurple,0.903006,1.0,1.0
MEsaddlebrown,0.003919,1.0,1.0
MEtan,0.755664,1.0,1.0
MEturquoise,0.138997,1.0,1.0
MEwhite,0.005174,1.0,1.0
MEyellow,0.349714,1.0,1.0
