Power,SFT.R.sq,slope,mean.k
1,0.0,14.3445,2528.3541
2,0.0,4.9807,1359.6697
3,0.0,0.0189,766.7191
4,0.0361,-0.7531,452.471
5,0.1365,-0.9872,279.4502
6,0.3827,-1.2713,180.6667
7,0.5903,-1.3686,122.2044
8,0.7268,-1.4183,86.3315
9,0.8189,-1.3616,63.5039
10,0.8544,-1.3617,48.4413
11,0.8698,-1.3468,38.1435
12,0.877,-1.3265,30.8599
13,0.8764,-1.3116,25.5419
14,0.8801,-1.2936,21.5445
15,0.8901,-1.2786,18.4603
16,0.8825,-1.2844,16.0252
17,0.8957,-1.2666,14.0637
18,0.8997,-1.266,12.4557
19,0.8909,-1.2459,11.1177
20,0.8821,-1.2643,9.9897
22,0.8967,-1.2579,8.2001
24,0.9015,-1.2398,6.8523
26,0.8645,-1.2929,5.8079
28,0.8887,-1.2855,4.9801
30,0.8797,-1.3067,4.3119
