Power,SFT.R.sq,slope,mean.k
1,0.0,11.9175,2592.7575
2,0.0,2.0321,1373.8731
3,0.0,0.0754,744.3607
4,0.0876,-1.2821,413.334
5,0.3406,-1.8702,235.9567
6,0.5507,-1.9451,138.9757
7,0.7123,-1.929,84.7751
8,0.7777,-1.9,53.7438
9,0.8449,-1.7826,35.4988
10,0.8567,-1.7408,24.4545
11,0.8703,-1.6562,17.5552
12,0.868,-1.589,13.0992
13,0.8659,-1.5589,10.1207
14,0.8592,-1.4999,8.0604
15,0.8503,-1.4822,6.5871
16,0.8741,-1.4172,5.5003
17,0.8507,-1.4066,4.6754
18,0.8424,-1.3834,4.0333
19,0.8436,-1.3942,3.5222
20,0.8421,-1.3489,3.1074
22,0.8396,-1.3269,2.4788
24,0.8463,-1.3108,2.0281
26,0.843,-1.3007,1.6916
28,0.8443,-1.2839,1.4324
30,0.8151,-1.2504,1.2279
