gene,module_color,kME_assigned,kMEblue,kMEbrown,kMEred,kMEturquoise,kMEyellow
ENSMUSG00000105361,blue,0.0948895427653094,0.0948895427653094,-0.06535291066419709,0.20002644820953375,-0.08934711518526155,0.10588784162163684
Ccl21d,red,0.3194825249279233,-0.02567134995904553,0.0912525557831879,0.3194825249279233,-0.14041804291077142,-0.18718883522591434
ENSMUSG00000108815,brown,0.4058962657180748,0.027017817977204945,0.4058962657180748,-0.503690256764853,0.0532304420781451,-0.3148150347141507
ENSMUSG00000114923,yellow,0.8047348427101938,0.16990488040321797,-0.8964172577988448,0.5968434264024647,-0.17963272461420568,0.8047348427101938
Gm2696,turquoise,0.84240260664691,-0.49442118631103016,0.6583544019954302,-0.6470426475673753,0.84240260664691,-0.6200539042548543
Gm3233,turquoise,0.8772888667907007,-0.500278412283962,0.6248677103267812,-0.6280277011593342,0.8772888667907007,-0.5850521230305664
Krtap16-3,turquoise,0.9675519190067315,-0.47723474485083006,0.3595224964970224,-0.4810315101158158,0.9675519190067315,-0.32929787834452356
Krt86,turquoise,0.9640607111493008,-0.4524671164465172,0.4905799860869264,-0.5436757514300042,0.9640607111493008,-0.4143110100162234
Krtap5-3,turquoise,0.8785224195205167,-0.5960551051954369,0.4071679932180134,-0.5060057759267784,0.8785224195205167,-0.40982304197026487
Krtap9-5,turquoise,0.949924197401591,-0.46547153978105776,0.37374434241593274,-0.4965856867308843,0.949924197401591,-0.3469638312817232
Rpl15-ps3,brown,0.002271850891032452,-0.06131928295024532,0.002271850891032452,0.18064144906576415,-0.018026473216723158,-0.19522815904742938
H2ac23,brown,0.6221541803936301,-0.13164261908761024,0.6221541803936301,-0.4142520906557176,0.1894421388724737,-0.5705807170726184
Krtap15-1,turquoise,0.9676302877950358,-0.4434017002866037,0.22719747433157877,-0.40635468722055845,0.9676302877950358,-0.1949399115663037
Krt83,turquoise,0.9594770467361259,-0.4496649289178101,0.479660684347155,-0.5346180443747277,0.9594770467361259,-0.415252722460908
Krtap9-3,turquoise,0.9655774144657203,-0.491519168530326,0.3280027599123407,-0.43884353286679173,0.9655774144657203,-0.28262707795705794
Krtap5-2,turquoise,0.9002318946117965,-0.5791017433086622,0.303688294400604,-0.46242840180401273,0.9002318946117965,-0.3109667075528601
Krtap1-4,turquoise,0.9240197989607272,-0.5109261406540007,0.5768573903234326,-0.5820567254558029,0.9240197989607272,-0.5162679361775011
Krtap19-3,turquoise,0.9481167497546539,-0.4740953625772839,0.2730708195148473,-0.44322665558129387,0.9481167497546539,-0.25694109229074863
Krtap1-3,turquoise,0.958739789752589,-0.5158730672220583,0.33302703115415877,-0.4341252387883725,0.958739789752589,-0.30198606620148694
