Power,SFT.R.sq,slope,mean.k
1,0.0,11.3604,2565.6126
2,0.0,3.2544,1415.1975
3,0.0,0.6951,832.8482
4,0.0078,-0.2456,521.0704
5,0.1545,-0.7805,345.3581
6,0.3984,-0.9655,241.38
7,0.5825,-1.0114,176.8899
8,0.6823,-1.0308,135.0433
9,0.6905,-1.0952,106.7033
10,0.7183,-1.108,86.734
11,0.729,-1.0916,72.1488
12,0.7452,-1.0807,61.1517
13,0.7195,-1.0927,52.6274
14,0.7395,-1.0616,45.8613
15,0.7534,-1.0447,40.3811
16,0.7369,-1.0571,35.8656
17,0.7533,-1.0371,32.0907
18,0.762,-1.045,28.8954
19,0.7254,-1.09,26.1619
20,0.7372,-1.072,23.8019
22,0.7838,-1.0123,19.9481
24,0.7474,-1.0658,16.953
26,0.7958,-1.0169,14.5754
28,0.7712,-1.0542,12.6548
30,0.765,-1.0843,11.0807
