gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEgreenyellow,kMEmagenta,kMEmidnightblue,kMEpurple,kMEsalmon,kMEturquoise,kMEyellow
ENSMUSG00002075000,midnightblue,0.9384808315533409,-0.030568912753862705,-0.211348126439049,-0.8061681307534748,-0.02114551518229518,0.04092719385958318,0.15462405096428347,0.9384808315533409,0.06642148360539665,-0.07077725611138638,-0.1618935443581264,0.20996589496209986
Pth,grey,,0.05234189857385663,0.092146759751838,0.009592120997959199,-0.15932883663401132,0.39877135443248113,-0.330021121076303,0.05739522392776811,-0.24145598062047155,0.034061593190631866,-0.21945350503341352,0.2272907409377109
Sln,turquoise,0.800115532871638,-0.4629218893067593,0.5857196235374655,-0.13594234592357682,0.4382362569492344,-0.2680826855384269,0.06130920303642786,-0.030345890111514943,0.366706569293939,0.33746454234051043,0.800115532871638,-0.48651949924558924
Actc1,turquoise,0.8081122718116935,-0.4162839495075511,0.5693623143133048,-0.10009636719580321,0.365782549685747,-0.28111344324982107,0.05176360739872272,-0.04794655819425762,0.39833359692171944,0.27656626060879996,0.8081122718116935,-0.4967884043353083
Myh6,turquoise,0.7842332147204037,-0.37617293929291984,0.5313996941716996,0.02178792803078261,0.26654077556909755,-0.32617644550458474,0.04567821667107922,-0.1592421827727821,0.3235339058901934,0.16760415970266693,0.7842332147204037,-0.4890773650692971
ENSMUSG00000093701,turquoise,0.43114089708510395,-0.3293942812561662,0.3692907148703793,-0.03530779034364861,0.24690711545088986,-0.2942539499548719,0.23066953659092337,0.07242769232955376,0.321577027796206,0.07025450702230283,0.43114089708510395,-0.3909927872803778
Snord3b3,midnightblue,0.9818563804639872,-0.1030246176569639,-0.15498321562102627,-0.810401659872434,-0.05213816862738097,0.09270546538051712,0.1451534257277215,0.9818563804639872,0.05870055711412421,-0.08281587002955998,-0.15818563609098096,0.1730711323165311
Trav7n-6,yellow,0.47815144726302233,0.41353133920513757,-0.3879966482008022,0.03062689355795675,-0.21990536172161718,0.305622905657865,-0.16105530078424005,0.22051270418609076,-0.40033640728805586,-0.2699306409677652,-0.3825928047171213,0.47815144726302233
ENSMUSG00000119851,midnightblue,0.9816555659274858,-0.10405030594676956,-0.15253698544894068,-0.8109395200999975,-0.048637877911852014,0.09179251028442406,0.1455157427189151,0.9816555659274858,0.059075513100132204,-0.0789245941033239,-0.15666602040456803,0.17308221839844593
Snord3b1,midnightblue,0.9818019946937658,-0.10050267668442106,-0.15863592453710695,-0.8111543965536336,-0.0553280345697114,0.08880681989151504,0.1417772834158341,0.9818019946937658,0.054707719871195166,-0.08551031235364202,-0.16122703443142058,0.17620181462097467
Myl7,turquoise,0.8003189952720159,-0.4411824949331276,0.5605284826362494,-0.012450488066654476,0.2642861520671809,-0.28303430406383984,0.030020164945862817,-0.14217161219430036,0.3148178928442942,0.18096788598993854,0.8003189952720159,-0.5137470831317836
Snord3b2,midnightblue,0.9801645500623786,-0.09470507374898902,-0.1557037176221207,-0.8041251851813527,-0.05429221792696123,0.09132332804703364,0.13957932094203068,0.9801645500623786,0.051596989965581375,-0.08115017599762735,-0.16381330403978703,0.17586184797605034
Nppa,turquoise,0.7830133992196674,-0.39871077801571647,0.5133795341289711,-0.04682629218943144,0.2695329036372481,-0.395160451206759,0.1326270986533443,-0.11658485729745321,0.30865780539295684,0.13859090018046033,0.7830133992196674,-0.5025423584411683
ENSMUSG00000108815,brown,0.4537569766103372,0.34933394059658807,-0.3795619732031475,0.4537569766103372,-0.13278592866079747,-0.21208984181528437,0.10612810912676074,-0.42481719365793746,-0.2902550691365744,-0.3323652474776245,-0.16675377662905336,0.24462827873932028
Mb,turquoise,0.8445399957264418,-0.4763511514968041,0.62114491218418,-0.04985456094381625,0.5875368328301912,-0.3419669762054602,0.17876605776658025,-0.10165340170537059,0.40274265950339727,0.3599070748057768,0.8445399957264418,-0.5551493469291927
Trav7d-6,grey,,-0.06584678473958579,0.060027778169845405,0.0028136994173139675,0.06979476848492798,-0.1235310238092749,0.15789554827187724,-0.16558227037784834,0.11536436706288318,0.1259366049064848,0.026275221509549362,-0.05046806435456397
Ankrd1,turquoise,0.8253997215080611,-0.5104327027497403,0.5646028142527111,-0.1694864673263346,0.33084895844223,-0.30884302626461285,0.08798496094607938,-0.010895824488687311,0.3895231956490399,0.19747450336517378,0.8253997215080611,-0.5360211822627694
Tnnt2,turquoise,0.7488768472207239,-0.424605986916342,0.5451419008263624,-0.058230725574023444,0.2450520958435749,-0.22057758797673296,-0.039912031137807114,-0.09973188446185258,0.280623862459066,0.2139367318903308,0.7488768472207239,-0.45316631195612506
Tnni3,turquoise,0.7408905220351449,-0.4072866481259911,0.5039186040656036,-0.010227102082226642,0.20266098701945431,-0.3401202600232321,0.0033910489416264437,-0.15530225538727818,0.24988583125548575,0.14110848050183036,0.7408905220351449,-0.48381472303823164
Mybphl,turquoise,0.7771158798496487,-0.4151353692949273,0.5576405801006583,-0.018859116497802617,0.2251226519882968,-0.31076097147397447,-0.019270967834548427,-0.1386464311558144,0.29964779760151855,0.18711076670803437,0.7771158798496487,-0.4967331229002786
Il22ra2,purple,0.8096731159111706,-0.4326543472101835,0.336390422913747,-0.29726281559077206,0.3063568540436109,-0.1906425710610257,0.03248221256933396,0.16775211007158067,0.8096731159111706,0.3395144916162677,0.48007758630999126,-0.4141565288018067
Csrp3,turquoise,0.8369052899596913,-0.4544932667496573,0.6317168790741025,-0.072412824572081,0.5385781575086318,-0.34059874734795637,0.17131619433631914,-0.08597104735698688,0.4422413269662557,0.3568960281387609,0.8369052899596913,-0.5555982135008333
Asdurf,midnightblue,0.5677002742520874,-0.2610373235761854,0.021619513200576396,-0.6332265362733065,0.08932705689215374,0.09446405612663768,0.23412963359098823,0.5677002742520874,0.2826984109232558,0.18799659321825504,0.06004689749935037,-0.019273530300244722
Hspb7,turquoise,0.8419865736522998,-0.46113658184610296,0.6238074586524078,0.026901165963242716,0.4967283116080502,-0.34769158080722856,0.10464820922964553,-0.18243699428208776,0.3514886398282471,0.306347005213494,0.8419865736522998,-0.55020964479772
Mybpc3,turquoise,0.7505473585124354,-0.4364247169449479,0.56850174706383,-0.017089474328352693,0.23960568894589493,-0.2853788194417488,-0.0004044815829393691,-0.16595136469686408,0.28803505774157134,0.18377924581334013,0.7505473585124354,-0.49464346240698376
