set,mouse_tissue,mission,compartment,n_pathways,mouse_mean_NES,human_mean_NES,spearman_r,permutation_p
proteostasis_11,thymus,Inspiration4_PBMC,B|Immediately Post-flight,11,1.4428872831936763,-2.1204857272727273,-0.05454545454545456,0.8802239552089582
proteostasis_11,thymus,Inspiration4_PBMC,CD14_Mono|Immediately Post-flight,11,1.4428872831936763,-2.1600462727272727,-0.045454545454545456,0.9010197960407919
proteostasis_11,thymus,Inspiration4_PBMC,CD16_Mono|Immediately Post-flight,11,1.4428872831936763,-2.057239,-0.15454545454545454,0.6514697060587883
proteostasis_11,thymus,Inspiration4_PBMC,CD4_T|Immediately Post-flight,10,1.473448010170758,-2.1393694,0.06666666666666665,0.8688262347530494
proteostasis_11,thymus,Inspiration4_PBMC,CD8_T|Immediately Post-flight,10,1.473448010170758,-2.1910775000000005,0.05454545454545454,0.9010197960407919
proteostasis_11,thymus,Inspiration4_PBMC,DC|Immediately Post-flight,11,1.4428872831936763,-2.1235584545454547,-0.13636363636363638,0.6938612277544491
proteostasis_11,thymus,Inspiration4_PBMC,NK|Immediately Post-flight,11,1.4428872831936763,-2.1958935454545454,-0.009090909090909092,0.9894021195760848
proteostasis_11,thymus,Inspiration4_PBMC,other_T|Immediately Post-flight,10,1.473448010170758,-2.1895119,0.13939393939393938,0.7024595080983803
proteostasis_11,thymus,Inspiration4_PBMC,other|Immediately Post-flight,7,1.2968835291372265,-2.399635142857143,-0.39285714285714296,0.3817236552689462
proteostasis_11,thymus,Inspiration4_Skin,skin|Immediately Post-flight,11,1.4428872831936763,-2.8006313636363633,0.1272727272727273,0.7080583883223356
proteostasis_11,thymus,NASA_Twins,CD19;Multivariate (PolyA+ and Ribodepleted together)|Post-flight vs Pre-flight,3,1.6733928203422623,-1.9447078896666667,-0.5,1.0
proteostasis_11,thymus,NASA_Twins,CD19;PolyA+|Post-flight vs Pre-flight,1,2.5977278694042467,-1.683170822,,
proteostasis_11,thymus,NASA_Twins,CD4;Multivariate (PolyA+ and Ribodepleted together)|In-flight vs Pre-flight,4,1.5737069869217684,-2.76539264725,0.7999999999999999,0.33093381323735255
