n_pathways,spearman_r,spearman_p,concordance_1.0,concordance_1.5,mission,compartment
126,0.8424116985376828,4.2451287537231985e-35,0.9761904761904762,1.0,Inspiration4,other|Immediately Post-flight
171,0.8241318069455446,1.4052166347577051e-43,0.9590643274853801,0.9836065573770492,Inspiration4,CD14_Mono|Immediately Post-flight
224,0.7875891522528295,1.4096931716192376e-48,0.9464285714285714,0.9668874172185431,Inspiration4,B|Immediately Post-flight
208,0.7794549081734437,1.0259860955748523e-43,0.9663461538461539,0.9731543624161074,Inspiration4,NK|Immediately Post-flight
210,0.7745578940889493,2.9715665915734776e-43,0.9428571428571428,0.971830985915493,Inspiration4,other_T|Immediately Post-flight
241,0.7648305956585851,1.543375096673603e-47,0.950207468879668,0.9625668449197861,Inspiration4,DC|Immediately Post-flight
226,0.7505854222707367,3.477203893520625e-42,0.9646017699115044,0.9777777777777777,Inspiration4,CD16_Mono|Immediately Post-flight
217,0.7421104675469872,3.2202572544733136e-39,0.9447004608294931,0.9668874172185431,Inspiration4,CD8_T|Immediately Post-flight
206,0.7314252180090395,9.17157755252436e-36,0.9466019417475728,0.9652777777777778,Inspiration4,CD4_T|Immediately Post-flight
59,0.6461718293395675,3.251885737656141e-08,0.9152542372881356,0.9787234042553191,NASA_Twins,CD8|CD8;PolyA+|CD8_PolyA|In-flight vs Pre-flight|PolyA+
73,0.639145995310379,1.1618299881740868e-09,0.8767123287671232,0.9642857142857143,NASA_Twins,CD8|CD8;Multivariate (PolyA+ and Ribodepleted together)|CD8_Multivariate|Post-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
60,0.6385662684078912,4.031587597182545e-08,0.9166666666666666,0.9795918367346939,NASA_Twins,CD8|CD8;PolyA+|CD8_PolyA|Post-flight vs Pre-flight|PolyA+
79,0.6283592989289192,5.664290303336756e-10,0.7088607594936709,0.8846153846153846,NASA_Twins,CD4|CD4;Multivariate (PolyA+ and Ribodepleted together)|CD4_Multivariate|In-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
72,0.5917422342272817,4.3993766172061735e-08,0.7916666666666666,0.9074074074074074,NASA_Twins,CD8|CD8;Ribodepleted|CD8_Ribodepleted|In-flight vs Pre-flight|Ribodepleted
68,0.5866702294155819,1.4606391987223927e-07,0.7794117647058824,0.9347826086956522,NASA_Twins,CD4|CD4;Ribodepleted|CD4_Ribodepleted|Post-flight vs Pre-flight|Ribodepleted
73,0.582500308527706,6.435293709024352e-08,0.821917808219178,0.9622641509433962,NASA_Twins,CD8|CD8;Ribodepleted|CD8_Ribodepleted|Post-flight vs Pre-flight|Ribodepleted
72,0.5689111839989711,1.8482216410928512e-07,0.8055555555555556,0.9090909090909091,NASA_Twins,CD4|CD4;Ribodepleted|CD4_Ribodepleted|In-flight vs Pre-flight|Ribodepleted
70,0.5495757151605284,8.338717981488349e-07,0.8428571428571429,0.9423076923076923,NASA_Twins,CD8|CD8;Multivariate (PolyA+ and Ribodepleted together)|CD8_Multivariate|In-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
31,0.5028225806451613,0.003939454076691409,0.9032258064516129,0.9583333333333334,NASA_Twins,CD19|CD19;Multivariate (PolyA+ and Ribodepleted together)|CD19_Multivariate|Post-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
72,0.47806932921731304,2.1660828738934112e-05,0.7083333333333334,0.86,NASA_Twins,CD4|CD4;Multivariate (PolyA+ and Ribodepleted together)|CD4_Multivariate|Post-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
68,0.4691376875214719,5.449827708040499e-05,0.7205882352941176,0.8936170212765957,NASA_Twins,CD4|CD4;PolyA+|CD4_PolyA|In-flight vs Pre-flight|PolyA+
17,0.42401960784313725,0.0898416849718557,0.8823529411764706,0.8461538461538461,NASA_Twins,CD19|CD19;Ribodepleted|CD19_Ribodepleted|Post-flight vs Pre-flight|Ribodepleted
17,0.37990196078431376,0.13254890262758853,0.7058823529411765,0.7,NASA_Twins,CD19|CD19;PolyA+|CD19_PolyA|Post-flight vs Pre-flight|PolyA+
64,0.34537545787545787,0.00518809466417358,0.765625,0.8936170212765957,NASA_Twins,CD4|CD4;PolyA+|CD4_PolyA|Post-flight vs Pre-flight|PolyA+
9,0.2333333333333333,0.5456987782182728,0.4444444444444444,1.0,NASA_Twins,LD|LD;Multivariate (PolyA+ and Ribodepleted together)|LD_Multivariate|Post-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
14,0.09010989010989012,0.7593388378159543,0.35714285714285715,0.5,NASA_Twins,LD|LD;PolyA+|LD_PolyA|Post-flight vs Pre-flight|PolyA+
15,-0.08214285714285713,0.7710285652881773,0.5333333333333333,0.5714285714285714,NASA_Twins,LD|LD;Multivariate (PolyA+ and Ribodepleted together)|LD_Multivariate|In-flight vs Pre-flight|Multivariate (PolyA+ and Ribodepleted together)
5,-0.09999999999999999,0.8728885715695384,0.6,0.5,NASA_Twins,LD|LD;PolyA+|LD_PolyA|In-flight vs Pre-flight|PolyA+
9,-0.3,0.43284532670948234,0.5555555555555556,0.5714285714285714,NASA_Twins,LD|LD;Ribodepleted|LD_Ribodepleted|Post-flight vs Pre-flight|Ribodepleted
11,-0.4909090909090909,0.12520440713849548,0.5454545454545454,0.4,NASA_Twins,LD|LD;Ribodepleted|LD_Ribodepleted|In-flight vs Pre-flight|Ribodepleted
