mouse_tissue,human_mission,human_compartment,n_pathways,spearman_r,spearman_p,concordance_1.0
eye,Inspiration4,B|Immediately Post-flight,160,-0.6331946560412517,2.6111722992122686e-19,0.0
gastrocnemius,Inspiration4,B|Immediately Post-flight,164,0.4154340048698869,3.174668041295451e-08,0.8021978021978022
kidney,Inspiration4,B|Immediately Post-flight,161,-0.22969001610305964,0.003378490358294471,0.3870967741935484
liver,Inspiration4,B|Immediately Post-flight,168,-0.32188539235982816,2.092760485536759e-05,0.14634146341463414
skin,Inspiration4,B|Immediately Post-flight,158,-0.36390313359975296,2.601163227745548e-06,0.21052631578947367
thymus,Inspiration4,B|Immediately Post-flight,163,-0.44712953264501976,2.1845684461270994e-09,0.1836734693877551
eye,Inspiration4,CD14_Mono|Immediately Post-flight,131,-0.6869054609512625,1.3295135294667255e-19,0.0
gastrocnemius,Inspiration4,CD14_Mono|Immediately Post-flight,135,0.5248658667447079,6.371534767455044e-11,0.868421052631579
kidney,Inspiration4,CD14_Mono|Immediately Post-flight,132,-0.19546785075109702,0.02469713404294309,0.37037037037037035
liver,Inspiration4,CD14_Mono|Immediately Post-flight,137,-0.2644585285716952,0.0017911568874890227,0.15789473684210525
skin,Inspiration4,CD14_Mono|Immediately Post-flight,130,-0.34118450340712014,7.115149979604858e-05,0.16129032258064516
thymus,Inspiration4,CD14_Mono|Immediately Post-flight,134,-0.48659210214591203,2.5058923065249502e-09,0.1566265060240964
eye,Inspiration4,CD16_Mono|Immediately Post-flight,169,-0.6500895032569242,1.1370995456572994e-21,0.0
gastrocnemius,Inspiration4,CD16_Mono|Immediately Post-flight,173,0.4225308370146154,7.007444015813267e-09,0.8539325842696629
kidney,Inspiration4,CD16_Mono|Immediately Post-flight,170,-0.16716434315862755,0.029344260060227514,0.4
liver,Inspiration4,CD16_Mono|Immediately Post-flight,179,-0.2823195865503316,0.00012871632731077678,0.16666666666666666
skin,Inspiration4,CD16_Mono|Immediately Post-flight,168,-0.4177671706460284,1.7581495404440444e-08,0.1388888888888889
thymus,Inspiration4,CD16_Mono|Immediately Post-flight,172,-0.515783341941357,4.4610024210037737e-13,0.14705882352941177
eye,Inspiration4,CD4_T|Immediately Post-flight,138,-0.5760761115005171,1.4407690991986748e-13,0.0
gastrocnemius,Inspiration4,CD4_T|Immediately Post-flight,142,0.45019080410150236,1.8967044398962128e-08,0.8414634146341463
