node_from,node_to,icp_score,n_genes,evidence
stressor:IR,tissue:skin,0.44018669436825864,90,ICP across 90 genes; top=MUP10
stressor:HLU,tissue:thymus,0.4393475495570097,99,ICP across 99 genes; top=MANEA
stressor:HLU,tissue:skin,0.4238491676132072,90,ICP across 90 genes; top=STFA3
stressor:IR,tissue:kidney,0.41044484436774004,89,ICP across 89 genes; top=CCL21D
stressor:HLUxIR,tissue:kidney,0.4100314573825613,89,ICP across 89 genes; top=FAM177A2
stressor:HLU,tissue:gastrocnemius,0.4048941032918862,99,ICP across 99 genes; top=GCK
stressor:IR,tissue:eye,0.39671731445180736,93,ICP across 93 genes; top=RPL18A
stressor:HLUxIR,tissue:gastrocnemius,0.39588326907100746,99,ICP across 99 genes; top=SEC14L5
stressor:HLU,tissue:liver,0.39082163600193265,80,ICP across 80 genes; top=KRTDAP
stressor:HLU,tissue:kidney,0.39050606224435386,89,ICP across 89 genes; top=UCP1
stressor:combined_flight,tissue:liver,0.3886902647154294,95,ICP across 95 genes; top=MUP15
stressor:IR,tissue:thymus,0.3801453028482174,99,ICP across 99 genes; top=NEIL3
stressor:HLUxIR,tissue:skin,0.37850945760925286,90,ICP across 90 genes; top=HBB-B1|HBB-BS
stressor:IR,tissue:gastrocnemius,0.37381129560940457,99,ICP across 99 genes; top=LRRN4CL
stressor:IR,tissue:liver,0.3611187028090412,80,ICP across 80 genes; top=BTNL12
stressor:HLUxIR,tissue:liver,0.35968284652633986,80,ICP across 80 genes; top=SMTNL1
stressor:HLUxIR,tissue:eye,0.3334954553602739,93,ICP across 93 genes; top=FAM135A
stressor:HLU,tissue:eye,0.33229395644899046,93,ICP across 93 genes; top=FCHSD2
stressor:combined_flight,tissue:gastrocnemius,0.32178009270555413,100,ICP across 100 genes; top=BMAL1
stressor:combined_flight,tissue:kidney,0.3070068249337328,98,ICP across 98 genes; top=RBM3|RBM3-PS
stressor:combined_flight,tissue:eye,0.30110078350724223,97,ICP across 97 genes; top=PBP2
stressor:HLUxIR,tissue:thymus,0.2912994154193839,99,ICP across 99 genes; top=ROBO4
stressor:combined_flight,tissue:skin,0.2751197022049471,97,ICP across 97 genes; top=GATA6
stressor:combined_flight,tissue:thymus,0.23883061142125564,98,ICP across 98 genes; top=CMTR1
