stressor,gene,n_environments,mean_beta,std_beta,cv,icp_score,environments
HLU,GM10240,2,-2.6960668500991816e-16,9.05710153208194e-18,9.057099090227478e-09,0.999999990942901,analog_spleen|analog_skin_analog
HLU,GM13370,2,-2.6960668500991816e-16,9.05710153208194e-18,9.057099090227478e-09,0.999999990942901,analog_spleen|analog_skin_analog
HLU,ENSMUSG00000064938,2,-1.1774249808554977e-16,2.4047716036828357e-17,2.404771320539053e-08,0.9999999759522874,analog_spleen|analog_skin_analog
HLU,GM13316,2,-1.2545965584813684e-15,9.693160062678313e-16,9.693147901688313e-07,0.9999990306861494,analog_skin_analog|analog_brain
HLU,ENSMUSG00000081201,2,-1.698139425464219e-15,1.4334266293651631e-15,1.4334241952110238e-06,0.9999985665778596,analog_spleen|analog_brain
HLU,ENSMUSG00000100131,2,-3.939581024210898e-15,3.562739916821485e-15,3.562725881174209e-06,0.9999964372868118,analog_spleen|analog_brain
HLU,GSTT4,2,-0.32671831455082667,4.88801588128529e-05,0.00014960948464258578,0.9998504128950072,analog_spleen|analog_skin_analog
HLU,PLA2G4E,2,0.5102776209351125,0.00017022875442157526,0.00033360027385880887,0.9996665109781703,analog_skin_analog|analog_brain
HLUxIR,SLFN5OS,2,-0.4280385990690882,0.00014388132000742182,0.00033614099285484637,0.9996639719599442,analog_spleen|analog_skin_analog
HLUxIR,ENSMUSG00000105454,2,-0.7515652455626649,0.0002609603693937146,0.0003472225074100149,0.9996528980142119,analog_skin_analog|analog_brain
combined_flight,GM17928,2,-0.0820025346422063,2.8777353245502957e-05,0.000350932480564557,0.9996491906298378,flight_skin|flight_liver
HLUxIR,ENSMUSG00000114422,2,0.36514754256895965,0.00023640110207173715,0.0006474125493523737,0.9993530063224739,analog_spleen|analog_skin_analog
HLUxIR,ENSMUSG00000085987,2,0.5788481385794951,0.0004017985797275525,0.0006941347000258817,0.999306346788738,analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000064338,2,-1.3942279053566053,0.0010651500808094294,0.0007639712818493773,0.9992366119247169,analog_spleen|analog_skin_analog
HLU,ENSMUSG00000088442,2,0.3049766941484085,0.0002689197653126807,0.0008817715241547171,0.9991190053118743,analog_spleen|analog_skin_analog
IR,SUCNR1,2,0.3663918155795194,0.00032942179227860025,0.0008990970250207665,0.9991017106242847,analog_spleen|analog_skin_analog
combined_flight,RPS12-PS24,2,-0.28047452722427474,0.00026064248922086364,0.0009292911226949175,0.9990715716575217,flight_thymus|flight_liver
HLU,ENSMUSG00000097815,2,-0.4169791024049972,0.00043103680336181727,0.0010337132001148898,0.9989673542594183,analog_spleen|analog_skin_analog
HLU,NPY,2,1.241379566497516,0.0014372346235573819,0.0011577720958100574,0.9988435667902908,analog_skin_analog|analog_brain
IR,ENSMUSG00000114153,2,-0.49945074178502313,0.0005815048499195619,0.0011642886877632635,0.998837065303948,analog_skin_analog|analog_brain
HLUxIR,A930017M01RIK,2,0.6903903155784212,0.0009376187830948957,0.0013580995569893567,0.9986437423758892,analog_skin_analog|analog_brain
IR,SMIM22,2,-0.5484906409265,0.0007931083896325909,0.0014459834480437146,0.9985561044010929,analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000096987,2,-0.4349889524769939,0.0006413920411112994,0.0014745019062770797,0.9985276690485174,analog_spleen|analog_skin_analog
HLUxIR,GM6974,2,1.1078702150963067,0.0017387007495500706,0.0015694083334747994,0.99843305084958,analog_spleen|analog_brain
IR,CYP4X1OS,2,0.4666366220350248,0.0007463662552827932,0.0015994592332431918,0.9984030949512817,analog_spleen|analog_brain
HLUxIR,ENSMUSG00000074065,2,0.6844870901908204,0.001101706800844704,0.0016095362717915328,0.9983930501722431,analog_spleen|analog_skin_analog
HLU,ENSMUSG00000097109,2,-0.8039658798628666,0.0012982148052901321,0.001614763556752939,0.9983878397009456,analog_spleen|analog_skin_analog
HLU,9630013A20RIK,2,-0.2103024370793431,0.0003597033147162976,0.001710409627208356,0.9982925108786233,analog_skin_analog|analog_brain
IR,SNORD35A,2,0.20746331986036937,0.00035811653679145017,0.0017261679573348588,0.9982768065639588,analog_spleen|analog_skin_analog
IR,ENSMUSG00000109673,2,-0.3117766690692584,0.0005449819948245005,0.0017479883748307324,0.9982550617569329,analog_spleen|analog_skin_analog
IR,ENSMUSG00000103904,2,-0.16027765911351555,0.0003109927584770411,0.0019403375258709333,0.9980634200927949,analog_spleen|analog_skin_analog
HLUxIR,LEMD1,2,1.9535992300631855,0.0041123221358797535,0.002104997826827435,0.9978994238813373,analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000071568,2,0.175147876440931,0.00040347414746880195,0.0023036199659620454,0.9977016745025421,analog_skin_analog|analog_brain
HLUxIR,LOC100503923,2,-0.19393113508979082,0.0004572541555915993,0.002357817134531141,0.9976477290901252,analog_spleen|analog_skin_analog
IR,SRRM4OS,2,0.27029943496021325,0.0006390630499270578,0.0023642781482574927,0.9976412984782087,analog_skin_analog|analog_brain
HLU,ENSMUSG00000107570,2,-0.6274936644415685,0.0015274697732652887,0.0024342393515485216,0.9975716717805616,analog_spleen|analog_skin_analog
HLU,ENSMUSG00000111399,2,-0.3701481016760405,0.0009213465755670835,0.0024891295373556475,0.9975170508447264,analog_spleen|analog_brain
HLUxIR,OLFR921,2,0.3333020089972806,0.0008534325810556076,0.0025605383569771174,0.9974460012547737,analog_spleen|analog_skin_analog
IR,HOXB5OS,2,-0.33221104761488024,0.0008924770457478526,0.002686476110499466,0.9973207217066291,analog_spleen|analog_skin_analog
IR,BB218582,2,0.3167305034214771,0.0008949569799436563,0.0028256103136587254,0.9971823512636708,analog_skin_analog|analog_brain
HLU,G6PD2,2,0.6903657041580432,0.002054465237934955,0.002975908598276377,0.9970329211571638,analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000097035,2,-0.7701358460920394,0.0023065080160225016,0.002994936574802561,0.9970140062869807,analog_spleen|analog_skin_analog
HLU,GM18300,2,-0.5461912050028105,0.0016367352164827764,0.0029966341429421596,0.9970123188444169,analog_spleen|analog_skin_analog
IR,KLRB1C,2,0.2599292928148681,0.000797839984586296,0.0030694500526537386,0.9969399426405692,analog_spleen|analog_skin_analog
HLUxIR,FCRL5,2,-0.7848688044326642,0.0024854815692580967,0.003166747808110374,0.9968432488267484,analog_spleen|analog_skin_analog
HLUxIR,ENSMUSG00000116184,2,2.203811405249324,0.007317711800687077,0.0033204800464941425,0.9966905090521623,analog_spleen|analog_skin_analog
HLUxIR,TRAV5N-4,2,0.4064061385416545,0.0013875645484244525,0.003414231266263226,0.99659738604469,analog_spleen|analog_brain
HLUxIR,TRAV5D-4,2,0.4064061385416545,0.0013875645484244525,0.003414231266263226,0.99659738604469,analog_spleen|analog_brain
HLU,EAR4|EAR14,2,0.532495161306648,0.0018665658758932335,0.0035053198752223297,0.9965069244718521,analog_spleen|analog_skin_analog
HLU,GM12094,2,-0.5968575661312514,0.002232150659144283,0.003739838082095429,0.9962740961948453,analog_spleen|analog_skin_analog
HLUxIR,GM24004,2,0.8971975519569809,0.003429553152529685,0.0038225172830962085,0.9961920387147302,analog_spleen|analog_skin_analog
HLUxIR,SLC22A14,2,1.445434523978951,0.005557360079710194,0.00384476777306196,0.9961699578495675,analog_spleen|analog_skin_analog
HLU,SAA2,2,-0.2388418328687385,0.0009261227061723998,0.0038775565032772847,0.9961374208655648,analog_spleen|analog_brain
HLU,CNPY1,2,-0.30657162376374186,0.001195662148883947,0.003900107029818493,0.9961150447116122,analog_spleen|analog_brain
IR,GM7457,2,0.44330800208810306,0.0018081332790097493,0.004078729159893828,0.9959378392934323,analog_spleen|analog_brain
HLUxIR,GML2,2,0.824325742313115,0.003448071367513239,0.004182899048687736,0.9958345247139239,analog_spleen|analog_skin_analog
IR,GM8714,2,-0.35525182654120013,0.0015633741304553472,0.004400749015918956,0.9956185327218934,analog_spleen|analog_skin_analog
IR,VMO1,2,-0.30643041200537335,0.0014045974804831607,0.004583740454177864,0.9954371743543197,analog_spleen|analog_skin_analog
IR,ENSMUSG00000107335,3,0.25016320075435183,0.0011683911067092744,0.004670515481555828,0.9953511968256407,analog_spleen|analog_skin_analog|analog_brain
HLU,GM45623,2,0.42903314885444943,0.002064864033887698,0.004812830977252476,0.9952102214174837,analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000111857,2,-0.6491742201598101,0.0033731146220324915,0.005196008270331667,0.9948308506723255,analog_spleen|analog_skin_analog
HLUxIR,RPL39L,2,-0.6360162382048028,0.0033780846876479975,0.005311318295695631,0.9947167427651169,analog_spleen|analog_skin_analog
HLUxIR,CHRNA5,2,-1.1410493505946249,0.0062609558582169544,0.0054870158328097045,0.9945429272119789,analog_skin_analog|analog_brain
HLU,ENSMUSG00000111923,2,-0.4671128991922894,0.002571526548143105,0.005505149926462153,0.9945249908199228,analog_spleen|analog_skin_analog
HLUxIR,ENSMUSG00000104043,2,-0.5286460173478349,0.002937277621110679,0.005556227644143589,0.9944744734392814,analog_spleen|analog_skin_analog
HLUxIR,ENSMUSG00000087659,2,-1.1248469937543983,0.0065293210082246755,0.005804630352993299,0.9942288689295892,analog_spleen|analog_skin_analog
HLUxIR,MUC20,2,0.37250136932369304,0.0021716985680370893,0.005830041822799055,0.9942037505538872,analog_spleen|analog_brain
