gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_T,t_T,p_T,beta_HLUxIR,t_HLUxIR,p_HLUxIR,beta_HLUxT,t_HLUxT,p_HLUxT,beta_IRxT,t_IRxT,p_IRxT,beta_HLUxIRxT,t_HLUxIRxT,p_HLUxIRxT
GNAI3,ENSMUSG00000000001,8.241535980537357,-0.025714336918537327,-0.19259807292099687,0.8484908808026264,-0.052276180927064986,-0.5537266905219399,0.5836147202567792,-0.22077192047272093,-2.09160867483491,0.044496129493482695,0.054117673823322436,0.33095587790007336,0.7428352709330284,-0.03151550531520961,-0.18517152351385674,0.8542631803336171,0.09165890682455116,0.6472544121465031,0.5220838082762773,-0.14510798804398467,-0.6553926719249634,0.5168993267843507
CDC45,ENSMUSG00000000028,3.8114685311737757,-0.4638043108527147,-1.042992784400772,0.3047674622213403,-0.05192757875775776,-0.1651427810447481,0.869870458099443,0.22060947047578677,0.6275244714022339,0.534768089536132,0.5722729642002515,1.0507614292733587,0.3012390253267965,0.3176642772061459,0.5603872163761496,0.5791179448152621,-0.13735296857604531,-0.2912113595900621,0.7727689886820874,-0.29192765801213133,-0.3958725779584837,0.6948262203973266
H19,ENSMUSG00000000031,2.5426343630892645,-0.006801342586798358,-0.006941942889172469,0.9945042733074003,0.6027862174113253,0.8700910410962583,0.39073092471359505,0.3363373111182934,0.4342315997635012,0.6670342124755715,-0.3374761122535294,-0.28124434140510274,0.7803336357539326,0.09450681402470588,0.07566984169902685,0.9401528744724308,-0.9547399459880536,-0.9187454850891473,0.36510240032181285,-0.3106707852430816,-0.19121433772987015,0.8495657568253421
SCML2,ENSMUSG00000000037,3.7717709545289533,-0.629213444908841,-0.8822299538700764,0.3842318329079273,0.24556405171865153,0.4869267047196754,0.6296290556542639,-1.0017921460369288,-1.776729932505946,0.0851211893536401,0.6164367776085001,0.7057107240788905,0.48547421491782994,0.4040604693812171,0.44443012213037814,0.6597229637863853,-0.2193052510414479,-0.28990557988153753,0.7737587650751825,1.0942763156214832,0.9252188188261272,0.361777294723439
APOH,ENSMUSG00000000049,0.6035254859378539,1.2860358527073565,1.7073788153803913,0.09743826785280985,0.3861829430800588,0.7250782837314609,0.4736731892365118,0.699418283305483,1.174556153648447,0.24883915231528508,-1.553541082361425,-1.6840459030584123,0.10190442291290558,-1.8110467303643112,-1.8861654536004384,0.06837666617093618,-0.24955183795694602,-0.3123642505193757,0.7567901952116793,0.8260797579816622,0.6613516567915546,0.5131209395690008
NARF,ENSMUSG00000000056,9.06416232833215,0.09357396150429345,0.8364394995788516,0.40911060822484835,-0.09044545780289799,-1.1433554776493964,0.2613728150603041,-0.1627648500810808,-1.8403487537150922,0.07500757918131229,-0.08807472708356513,-0.6428138036618748,0.5249244657531302,0.06312434241101163,0.44263902629380253,0.6610045521348173,0.1652608706166741,1.3927504026603765,0.17329717461903926,-0.2207797923185854,-1.1900699554825305,0.2427734077204844
CAV2,ENSMUSG00000000058,9.020973800527234,0.03795320593506838,0.13374131279549298,0.894444713462335,0.04209714461167115,0.20978998506241553,0.8351615686704812,-1.2337067050626327,-5.499067256278075,4.64926934196086e-06,-0.0778793685466921,-0.22407525894311772,0.8241232696497778,0.04190534001109157,0.11584033400295123,0.9085029933220441,0.2013018824540539,0.6687883355294327,0.5084268126644091,-0.9832711142215237,-2.0894118285702272,0.04470651307935647
KLF6,ENSMUSG00000000078,9.207052802789244,0.3499505086011803,2.267943849741135,0.030219872778807444,0.22326835187804425,2.0462930692622,0.04901734936130819,0.11859381898708644,0.9721823111702712,0.3382516487030105,-0.48877311867370127,-2.5863503358882576,0.014454786292445565,-0.1592997408763248,-0.809867657752926,0.42399794193512563,-0.17018680780845666,-1.039861023349839,0.3061979703042774,-0.03418821677435874,-0.1336090176952826,0.8945484880680423
SCMH1,ENSMUSG00000000085,9.033405361861327,-0.026728673634496943,-0.15259818824325047,0.8796732909426832,0.07202627044107125,0.5815377267089213,0.5649524821700584,0.06739928529026484,0.4867290324107398,0.6297676088800936,-0.09006217333370937,-0.41982545044794506,0.677418422652432,-0.015496213195060662,-0.06940182155232215,0.9451016667745089,-0.22778016434960982,-1.2260596784486826,0.22912257524317647,0.20550202003697052,0.7074922999834494,0.48438174704558845
COX5A,ENSMUSG00000000088,10.24408786352405,-0.2686208630913727,-1.2382296645755657,0.2246383566457697,-0.21451612097084324,-1.398416041210557,0.17160513348690465,0.01549457245072074,0.0903443614149245,0.928576706411504,0.38265294744237255,1.4401936691195418,0.159525409829941,0.44132698375394525,1.595861742350918,0.12034969785064642,0.33803105887376733,1.4690676952921284,0.15157758240434394,-0.20142778120384378,-0.5599051808353889,0.5794428127770761
TBX2,ENSMUSG00000000093,4.532678005275174,-0.4351773398220037,-1.1857178986184427,0.24446393038503178,-0.5081530253681691,-1.9580537800215412,0.05899057458868717,-0.3614184439245102,-1.245619520703441,0.22194768514572827,0.9439207725784873,2.0999309604731873,0.04370704879638754,0.887569216986107,1.8971018667838557,0.06687057567694099,0.6080465134926978,1.56198063015983,0.1281291863675782,-1.443167512920407,-2.3711853309845417,0.023918396050164104
TBX4,ENSMUSG00000000094,1.4727217157229127,-0.5453390676418717,-0.8266095492050878,0.41457967068642065,-0.4544852286933537,-0.9742458786888464,0.3372420532697882,0.7267243610041162,1.3933605709505725,0.17311432283286843,0.72886280420988,0.9020569664028052,0.37376653633530665,-0.6361090820122522,-0.7563777071642867,0.4549555545678652,-0.7132356591290464,-1.0192731726223387,0.3157179372586185,0.651770781821303,0.5957476631143398,0.5555344165908136
NGFR,ENSMUSG00000000120,6.054400438363413,-0.8855178103293011,-0.9503527485183058,0.3490560760018042,-0.6355392936247211,-0.9645948509620896,0.3419812565733251,0.6189185189124126,0.8401967619325955,0.40703212137822153,1.286612295393834,1.1274300403245938,0.2679437599936654,-0.864178282040465,-0.7275522692001459,0.47217772631322363,-0.07196975248569645,-0.07282177867847305,0.9424012187869142,2.309655008189986,1.4947491050030992,0.14477690824992062
WNT3,ENSMUSG00000000125,5.974354316576399,-0.03721860414203593,-0.039526614624604474,0.968716113592595,-0.9907264471796654,-1.4879841072409539,0.14654415356573436,-1.4618868780195928,-1.9638273200976675,0.05828776633443544,0.2631458153021036,0.22818147164945576,0.8209570038556584,-0.30164920150194346,-0.25130726034033424,0.8031834053342655,0.9917464444090331,0.993010702328107,0.32815459572901484,0.6025746810065006,0.38589937119460044,0.7021249495058179
WNT9A,ENSMUSG00000000126,5.938267517880071,1.2731085261910784,2.0603046774995084,0.047578036691687586,0.8881031808624787,2.032565010708896,0.05046450891565746,0.24380941808675624,0.4990872681916937,0.6211318373211481,-1.616305610827039,-2.135717827385421,0.04045323228466402,-0.13491543334941067,-0.17127775892915548,0.865083863020943,-0.06017496755817185,-0.0918133059422986,0.9274187407536054,-0.8204492376326603,-0.8006660073302545,0.4292297788050057
FER,ENSMUSG00000000127,8.750561169291974,-0.24533125154827762,-1.629235052879316,0.11306967672572488,-0.09819525556562976,-0.9222239011087687,0.3633131920783996,-0.1837466212410197,-1.5435127605518222,0.13253917770421664,0.14628000125321503,0.7931771542631723,0.43351663766903314,0.2851079185798617,1.4852975608429169,0.14725074759007173,-0.057118902642494467,-0.3576304300961966,0.7229680181534732,0.08782365305383752,0.35170295867398466,0.7273665081775169
XPO6,ENSMUSG00000000131,9.823480391826697,0.1502943085374015,0.674554843001101,0.5048032150485473,-0.006447302233744509,-0.040923027657786576,0.967611528387404,0.38370868657712176,2.1783935998930906,0.03685557070508749,-0.18975857583842742,-0.6953933171374835,0.4918282734878927,-0.2446034664993563,-0.8612131546341708,0.3955281106906181,-0.042565472298875764,-0.18011750620661923,0.8581961233695794,0.004427732035186563,0.011983666456105005,0.9905130484918745
TFE3,ENSMUSG00000000134,8.711953068355275,0.08666260654052935,0.9606128982209742,0.34394956623716766,0.22859951124574693,3.5834963123168477,0.001110227793245988,0.28847799012989583,4.044728185989945,0.0003088193630260694,-0.10841773440543728,-0.9812312354946595,0.3338395564918426,-0.10407344712333463,-0.9049611251005136,0.37224928408156854,-0.2369291072547831,-2.4760466532386594,0.018762649351253158,0.22445078131925986,1.500276964696007,0.14334557622356803
AXIN2,ENSMUSG00000000142,8.993203773076013,0.00895739435115454,0.05311509058462578,0.9579704178184798,-0.11187139179380538,-0.9381456538446608,0.3551969554874872,-0.2967206226665856,-2.225583818021339,0.03321199299010025,-0.003537079755665823,-0.01712519222455076,0.9864430731776599,0.20581725260878608,0.9573953766867742,0.34554553490533935,0.19888477281371536,1.1118891805986646,0.2744698433172923,-0.14881858231254738,-0.5321414002123502,0.5983036952541121
