gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
GNAI3,-1.8961123984134618,19.197805544096894,-0.4824776045333219,0.5469347860691427,3.9299490392874983
CDC45,-24.04885562904368,63.94133108177098,0.22003075623039392,1.8216529048518282,-109.2977001990674
H19,-102.97209888214977,140.87755655838876,-0.9933411465612271,4.013523112379795,103.66237142055489
SCML2,46.49574712028013,102.55206050897145,0.6486464663047871,2.9216510786396044,71.68118464462987
APOH,15.586404406477108,108.30571743828062,-0.683973077125178,3.085569559557575,-22.788037903463483
NARF,0.005152989796853191,16.086022739594878,-0.3176853674401703,0.4582818273460934,-0.016220419084374903
CAV2,-48.619796152530746,40.804783780608986,-2.9584849132283937,1.1625055601475964,16.434018620522647
KLF6,-19.179720339942886,22.18720146579897,-0.2831756779025792,0.6321010106752064,67.73081813382743
SCMH1,-9.085005131872915,25.185827622864984,-0.000327184853304463,0.7175301995452089,27767.193499690624
COX5A,22.91689463636307,31.193688554679625,0.7896532141919959,0.8886908108936022,29.021466923062597
TBX2,-25.598850191416474,52.77315917684537,-0.462864932160866,1.5034779083620797,55.30522710352951
TBX4,-27.78807916102196,94.86246139763783,-0.22723588959915897,2.7025786833465952,122.28736935014868
NGFR,133.7478892020373,133.9802122062991,2.754193430304176,3.817021613862674,48.561545362217366
WNT3,109.03128389221814,135.39376262841506,-1.0186216671786381,3.857292877989301,-107.03805682261917
WNT9A,-54.516715716103334,88.85097012405375,-0.612689234453733,2.5313146455834246,88.97939224394867
FER,-0.5593765628722727,21.651965424864798,0.0008525657645340745,0.6168524340151081,-656.1095766940288
XPO6,-3.6198797257555206,32.03711984740105,0.1055396501863092,0.9127196986010542,-34.29876562377594
TFE3,-5.644028141263515,12.972137080076134,0.4647337089873771,0.36956895945498514,-12.144649790008703
AXIN2,7.580987730811179,24.248895610769118,-0.16770684653331963,0.6908375284261093,-45.203805852404514
BRAT1,-4.839098881450344,28.240511214354832,-0.003820222480143909,0.8045564334958983,1266.7060378295175
GNA12,15.458158883134281,30.45556667873184,-1.057634167075593,0.8676621298088213,-14.61579000031438
SLC22A18,-50.00410597355713,98.26080771954757,1.7949370425667843,2.799395677054195,-27.858417753778472
ITGB2L,59.65511941587448,69.67538248148276,-0.15303526782649213,1.985012835152568,-389.8128860303632
IGSF5,-69.70936991660056,120.09505184065705,-2.7250475721088945,3.4214411295893914,25.580973569079013
PIH1D2,-14.984878299051587,75.6469879494762,-0.7930408709894812,2.1551405485323194,18.89546787210964
DLAT,21.110186969307932,19.338829990380933,-0.13837857812122467,0.5509524939879835,-152.55386531587743
SDHD,-5.9850427503783195,18.90324256422635,-0.1855155033054139,0.5385428508550201,32.26168510846855
FGF23,12.12250295785195,108.26262815694429,-0.5491539139275692,3.0843419699346137,-22.074873091864827
CCND2,-20.701066160177746,62.615973195511614,0.21435477599884128,1.7838941969452764,-96.57385082145147
GPR107,-15.579477759218214,23.751846394087938,-0.36998518267502534,0.6766768731175168,42.108382953547554
NALCN,11.648731899844107,19.497190837807636,-0.11521182319972145,0.5554641063183668,-101.1070875916168
BTBD17,8.207727507576323,39.66499014506287,-0.9121512085127548,1.1300334743777691,-8.998209322069382
SLFN4,8.312815520778251,64.92848127035171,-0.13256804568780667,1.849776263845613,-62.70602751702816
TH,12.49859690781878,236.45969288438195,-0.0244289971039926,6.736604933549892,-511.629554607301
INS2,8.694082211951617,85.48777588418749,1.0081860858283924,2.4354991151122425,8.623489586059883
SCNN1G,-97.03010695064104,96.99101278408371,-1.21566181162157,2.7632199266652058,79.8166941027889
