gene,mars_delta,mars_delta_lo,mars_delta_hi,mars_se,iss_delta,iss_delta_lo,iss_delta_hi,iss_se,mars_over_iss,mars_over_iss_lo,mars_over_iss_hi
GNAI3,-1.9360729373513523,-38.49270258238686,38.46576481784596,19.177508059435972,-0.49205809607804324,-1.638112070165486,0.6480363493565581,0.5479898013906399,3.9346429878562144,-59.39898683246189,-23.481766307942564
CDC45,-20.76814547564566,-145.2418770451949,108.30555804123634,63.72154903392844,0.38346485118430895,-3.169288523779914,3.836803475076437,1.8043009697602768,-54.159189327273275,-37.85491698719372,-34.173461087116046
H19,-103.82967487441809,-382.8693076357208,174.39024686910915,143.8782195825413,-1.0491817602561992,-9.139589866604844,7.0166898571706655,4.115059205869677,98.96252375666916,-54.565516707917446,-19.08075191714169
SCML2,45.824331544562504,-165.2565881357531,257.31294504049333,105.24359304659082,0.6380050113043119,-5.185456345044435,6.246782998282086,2.9025854072681536,71.82440691316998,-26.4546708571756,-49.62204441011225
APOH,11.11210508330992,-204.44450895770515,211.19222461298193,110.07270656960858,-0.812607805525299,-6.612211903468597,5.105814073839649,3.038499434651348,-13.674622625765519,-40.04151071720475,-31.939724209715042
NARF,0.18087420504318075,-32.51951665350437,32.95003146794024,16.2981076402431,-0.33282456393783094,-1.2397637739610823,0.5728864962785618,0.4742453363715135,-0.5434520905042534,-56.764327427421144,-26.577669197950435
CAV2,-50.05976992768863,-130.91228568041927,31.16614434911105,42.12332215561686,-3.01005050982232,-5.323952375009703,-0.7108833296854267,1.188536158280493,16.63087372266175,184.15438963570764,-5.85394874969261
KLF6,-20.696416894283796,-62.20769765218695,25.994540652307112,22.090481872792672,-0.3334551693378252,-1.52274010041464,0.9099257766222002,0.6317289814515701,62.066564856027604,-68.36568349905697,-17.07089781455735
SCMH1,-8.998332111701474,-61.67117301225977,41.9593917090547,26.295004636260305,0.00748885722056988,-1.4817410942826295,1.485125307083748,0.7365532551206265,-1201.5627814328564,-41.5259054021238,-28.31762706113576
COX5A,23.932041824156908,-37.31680115358808,85.32293349313949,31.120250400905093,0.8112851866900326,-0.8511532006464136,2.6192708499206114,0.8808391599762919,29.498926168980592,-14.247018842942161,-100.24392016424358
TBX2,-26.859718049324634,-129.68905927891296,78.67161828632655,52.30270637905988,-0.5148224757234632,-3.293481966051297,2.4163360031228915,1.4707810058969542,52.17277666749019,-53.67178203333552,-23.887065147846997
TBX4,-25.041904610467842,-223.95808583372246,162.27678380961223,99.63693482620707,-0.20724842889462644,-6.065000486086004,4.904205790642211,2.805679298088368,120.83037127967889,-45.66653509138223,-26.75626888767756
NGFR,129.99604162241684,-143.24249725443195,387.42696354309754,133.14089649815443,2.697774725957742,-4.693226473989992,10.157029835475639,3.8048223176896188,48.186396132933865,-14.10279378663695,-82.5502382402021
WNT3,105.32978583173114,-160.97579060277982,375.2205010560785,131.2450514843418,-1.1192024208287874,-8.242064144956068,6.0394829091990525,3.792417415227981,-94.11147069690284,-26.653902829593104,-45.5250644082531
WNT9A,-53.13815007016831,-238.59438238798415,134.83717693002387,95.34803093172928,-0.6297139297037384,-5.880434927069736,4.500905437001492,2.6533675609677316,84.38458729215061,-53.010307754196226,-22.929796622579794
FER,-1.270524780397712,-45.02929891342765,43.97511992540751,22.15584933419155,-0.013055261605668228,-1.2422945564476233,1.1911630852938397,0.6387275139885372,97.31898285715592,-37.80279918792118,-35.39830364479389
XPO6,-3.3601627169610575,-65.67045684162936,60.968617904332724,32.85151578579166,0.08082146199190478,-1.6480465635465436,1.8866989247456531,0.9194937652136037,-41.57512910738508,-34.80706750839031,-36.99447530968434
TFE3,-6.209195707477632,-30.87360946366885,18.1172262806389,12.92214647922861,0.4586646046940398,-0.22075499159306616,1.1808499679502764,0.36561536206010714,-13.53755150044679,-26.14524308897545,-82.06938447867901
AXIN2,7.472613220687172,-39.49568232630341,57.14907870097007,24.6711048149878,-0.20259901344312273,-1.6616064583145702,1.1595652425519445,0.7179075272332139,-36.88375917380772,-34.06076767132328,-34.39387131351098
BRAT1,-3.1421145464993114,-57.332806666294076,51.64666575508356,28.248662029420434,0.0736862142725319,-1.4539826475042996,1.6180866238217362,0.7891089970668203,-42.64182354216291,-35.43247056259604,-35.52082677446867
GNA12,16.366104683236845,-41.543501663597745,73.15721310595302,30.28856495927282,-1.0575617430661173,-2.798603639677277,0.7149987906046302,0.8908888130513332,-15.47531838262956,-58.1028978083543,-26.14061243570354
SLC22A18,-48.83040287943585,-232.50643765035923,139.71506701464386,96.33643720341996,1.8183283864826632,-3.40601013569131,7.550776975517099,2.8115150647856075,-26.854556768974152,-30.79238579079294,-41.02015597387123
ITGB2L,58.45740553686809,-75.53564433953476,205.6450352370921,72.50223961252027,-0.11879603697830278,-4.006229551825431,4.081440137522453,2.0584462466225744,-492.08211842575946,-18.507105775018665,-51.33131603589473
IGSF5,-70.38985450926376,-312.24458368079866,163.04059176588683,122.25529940949261,-2.585098306406773,-9.485411232756586,4.422937074069867,3.5902186460955914,27.229082288597382,-70.59665974254516,-17.188563338492713
PIH1D2,-13.744551403881633,-163.23691211032144,128.40353410604163,73.09006593250902,-0.7492427019921293,-4.8714476826528115,3.7322526690260522,2.130235127490055,18.34459163544314,-43.73683311020817,-26.358393330033216
DLAT,21.59358596921782,-17.4397177269706,56.35678140501079,18.809932665520268,-0.11223267189877252,-1.1984266416074165,0.964298691706763,0.5511894661561313,-192.40017727363744,-18.08538980396533,-47.02564132704944
SDHD,-6.062818889275608,-42.33222728654395,31.534893860236316,19.016857444580857,-0.1911753008334482,-1.2167902053805,0.8267730271661771,0.5410748534305792,31.7134005430834,-51.201751745144186,-25.91645932124766
FGF23,13.866992089727999,-196.9199872895342,227.36375140287623,104.47823298421491,-0.41534373580037776,-6.33840464617922,5.668509997182006,3.049417606420443,-33.3867851961363,-34.73928552431403,-35.870816726718566
CCND2,-27.099277412261472,-139.92034042907252,99.43261607742214,59.37095573041241,0.06709882702353791,-3.2875343419197147,3.722302447527028,1.6903622259200393,-403.8711049711076,-37.589729045803594,-30.24534673586397
GPR107,-16.315792754545814,-62.05756835500636,28.704963775551178,23.39099138547269,-0.3838137331968794,-1.7793709878525124,1.0095170801672633,0.6963636185208316,42.50966378573155,-61.47252936495563,-16.132084861175933
NALCN,11.778875443519127,-27.727558350898793,49.12848796114899,19.315696615760462,-0.11938511858880523,-1.1717899507122718,0.9658805120953465,0.5448026135851272,-98.66284494040478,-28.70702742593659,-41.92601919079974
BTBD17,11.939524454691528,-67.4761425918255,92.51330019116702,41.42528618836548,-0.8448212810275955,-3.0779456326113652,1.5657686287576649,1.1510489073554024,-14.132603809611576,-43.09458073978874,-30.05683375657212
SLFN4,10.252210211390441,-110.0719368647159,138.73119279282415,63.293437696808915,-0.08700207681621777,-3.573592760119086,3.57947659294903,1.843443140813424,-117.83868370231089,-30.750846948277072,-38.82120938374665
TH,23.23965528813788,-415.2416699438472,479.0332023543529,236.64992393676857,0.09984784291925008,-12.668484632865093,13.688605728538938,6.730740938256088,232.75069955124096,-30.33484039050983,-37.81298365485843
INS2,7.30124484806468,-150.9897259895759,173.99882704259687,85.19718060968204,1.0365574919254708,-3.7751381320817887,5.51159993959178,2.416259443778146,7.043743260687025,-27.39489942021428,-46.090717996230175
SCNN1G,-98.47067231493764,-285.9721010667925,90.32305099436469,95.168374590886,-1.1831143207735209,-6.62118283571401,4.11757712699555,2.781485842904485,83.23005696571863,-69.45154692838898,-13.64152799212416
DRP2,-10.680746824233177,-54.03675942547396,33.120771270449644,21.844699201238967,0.06999738481446562,-1.1974303428286937,1.343820911895771,0.6501176847709379,-152.58779813765128,-40.211280347797675,-27.659873051327843
TSPAN32,55.23206956027259,-172.1688442554509,277.6378908260908,119.4783218124559,0.3593319813120689,-5.9883864133049665,7.183123781159813,3.3965655202670946,153.707636483114,-23.968519755572398,-46.3627213850523
LHX2,-50.89455841893326,-206.15051732866058,105.37014550916567,80.46356369793006,-0.698497267145222,-5.077521390747414,3.771410250925146,2.269701363377447,72.86293134251012,-54.66138754809049,-20.75227998077525
GMPR,19.193463023798877,-27.334557052104525,68.81425948453197,24.36355145092958,0.5067039404216642,-0.7986840731557284,1.936824603038878,0.6883996688780034,37.879048281777,-14.113078184372814,-86.15954893483206
GLRA1,59.864177480185624,-301.5718722564913,419.23069371312346,181.82056258749975,-0.5671022647761184,-10.434435015089113,9.122637488668337,4.961881198238415,-105.56152073174829,-33.057531073780815,-40.177613172814716
MID2,14.872227968522067,-52.17613499894355,81.23499246525279,33.859247278100604,-0.22647931180149777,-1.996189582386609,1.6051601437094265,0.955341560182003,-65.66704857155837,-32.505252017015394,-40.69502875980831
TRIM25,-34.478445907733196,-120.70905836061308,52.744703918977294,46.98666941572054,-0.5821550580359903,-3.18948211340521,1.8988405359298033,1.338643188955091,59.225536962699806,-63.5698764991372,-16.537074685979373
DGKE,-15.639174518982426,-58.861420940247584,29.675433486178143,22.529835882230934,-0.09155803386710218,-1.2673643862594923,1.17292472122621,0.6542810493222704,170.81160285380216,-50.18346009342537,-23.41507604909304
SCPEP1,-18.527422945810663,-81.92309238610761,43.23699514212607,31.669081216121064,-0.2610348375742021,-1.985863062606946,1.5510958147740035,0.9068933940075015,70.97682101740169,-52.81626808982391,-21.772395064021488
MNT,-15.903850989356206,-82.07471875523935,43.261179388015236,30.695583397187857,0.4893256038181596,-1.2077599909522556,2.1852744785717912,0.8676690846130762,-32.50157127536352,-37.55808231873926,-35.81935128841787
ITGB2,-37.351431282035165,-127.87346018137417,53.33340820250743,47.63836507510494,-0.7926003285613576,-3.4451389288301346,1.8118790903601143,1.3635368523912428,47.12517764133588,-70.5750515372188,-15.480771401174769
HDDC2,25.011304935257343,-54.77853997245903,102.25627143927542,39.70391797922547,0.46625911553000227,-1.731727917965329,2.8141165580301895,1.1418798148603195,53.64250070870292,-19.465625834205895,-59.04869372286848
TPD52L1,9.635552447383835,-39.389310695202106,61.04246832149842,25.72947639480285,0.19440767734135408,-1.2925042551539516,1.5992526952422859,0.7441198967058462,49.56364161722422,-24.629822924409485,-47.22805985209509
PEMT,11.145347631984434,-111.57345677192367,128.26374183708225,61.33743399674881,-0.9266466586257176,-4.364706427571783,2.4467591777265936,1.7240432444809681,-12.027613252837678,-45.60050608478443,-29.386567909090555
CDH1,-97.96824399676385,-340.9241047760656,160.88837852649527,124.41101127142964,0.0574840645954333,-6.292266996812622,7.109148198967785,3.4807141284411776,-1704.2678642551439,-47.955689659918214,-25.569223080964942
CDH4,0.6613341672874883,-119.67364848033704,122.47087210536444,61.503038099463986,0.981474445475326,-2.4889735277599336,4.47644576724493,1.751520464273398,0.6738170008768853,-26.73407759254309,-49.20537351620117
CKMT1,-10.009537542605589,-58.39516272958072,42.069420859698745,24.933054073243888,0.3584125903105527,-1.0377766709120277,1.7146004700681579,0.7068604709768501,-27.927416093091633,-34.057591694967535,-40.53802907587712
BCL6B,-38.824965077450976,-230.4378790939192,154.8815268268343,98.40515793952147,-2.3875186049807855,-8.14607167378455,3.1108070731280844,2.7837532363325863,16.26163875601021,-74.0765575224829,-19.01303266521328
CLEC10A,-85.94527990133845,-361.79440489626535,175.1711580359434,135.7848262439548,0.5019499318220559,-7.126511166419827,8.371139713182002,3.919622372776175,-171.22281417463472,-43.21925296821281,-24.580212385178204
ALOX12,56.966160960042224,-142.8355289796323,268.7890353425693,104.51930815969406,-0.2741992155536449,-5.996269136730146,5.454435479537948,2.9048322528745634,-207.75464599714454,-26.18704163161759,-44.82604586510337
COMT,-15.261292012042231,-61.73903407680406,31.599873094368345,23.151704639410973,-0.705506679464061,-1.8972738059420677,0.552205914954409,0.6380068132040816,21.631676150303058,-111.80436935721947,-16.655409986371378
RTCA,-12.96228562906392,-36.92929929925863,12.131319540346924,12.160225770302159,0.3371417614517645,-0.3256473471114948,0.9808035434953206,0.34171035129260025,-38.44758232633977,-37.65208592910719,-37.25293526249245
DBT,23.546602088575025,-39.456200338885964,87.72942701167386,33.25617815793367,0.13640787164249507,-1.613923622520942,2.0291318891578793,0.9578371273625266,172.6190857246655,-19.444867309862687,-54.3578554694186
DAZAP2,-12.964399229843757,-43.73129307433447,18.638179651044492,16.232802686117903,-0.8493615694517954,-1.7601023717620288,0.07135091983189978,0.469220429666581,15.263698872332293,-612.9044051199877,-10.589258869292877
MCTS1,-15.609727189414418,-66.04156673511042,33.50409816344825,25.60962999003464,-0.0733294520259639,-1.5484188009084356,1.3029454743306443,0.7259644838936995,212.87118283506948,-50.686362580934265,-21.637620354255493
REM1,52.61789186350173,-158.34907891426835,258.49274806576153,109.23776637159575,0.5464480206628869,-5.318385996846707,6.485365549324214,3.065981410695631,96.29075387567852,-24.416369086669075,-48.603607977875804
RNF17,57.10256892479869,-149.55019609323224,260.13640133932375,103.96701120866246,-1.154595322278517,-7.0353808300129925,4.116091616527425,2.891788992975783,-49.45678180309147,-36.333058159526956,-36.97545415446165
TRAPPC10,-19.855892449583497,-44.66714367752732,5.326648729503245,12.892135660521417,-0.1766877961309984,-0.9169912185265877,0.5698640900498404,0.3770935602051875,112.37840351385734,-78.38209927146089,-5.80883286762773
CCM2,20.585387554704308,-55.43170871552885,96.8066272330849,38.72764920911365,0.2219806082594029,-1.827330281166624,2.3767589124472006,1.0813881334947644,92.7350713925811,-23.322394385577066,-52.97708259465856
TBRG4,-14.049070926613304,-59.14354066509632,34.81751385891417,22.73098953754957,-0.09424737129563505,-1.3839961738493802,1.194622787893118,0.6332628216761441,149.06591805668714,-49.508130319030755,-25.157232741528766
TMPRSS2,30.44564849867971,-94.7103662131316,154.42279011306536,64.46597388474459,0.09526781174713703,-3.761733330825611,3.531885459761141,1.8082921793829763,319.57959294257284,-26.8158090889892,-41.05096681033827
MX1,-14.811880320711298,-246.5461074459914,223.5668999859574,118.77917134700913,0.27828944922842025,-6.513125990406061,6.930125647219724,3.4502360750383247,-53.22472828840051,-35.57599385588376,-34.325591170088686
FAP,-14.358451669340349,-271.34073990311157,259.5117515344508,133.15159317713412,-0.30408788770452044,-8.092670375678885,7.4368965818353345,3.8365746751635568,47.21809795756262,-36.48574871484202,-32.06750546943915
NDUFA9,-5.1144847038522006,-35.37396380807639,25.763260630098568,15.451408293789935,0.0855980915305382,-0.784741220494099,0.9218599992312456,0.4439489616718143,-59.749985220494594,-38.37238174731014,-32.83026296729662
EGFL6,20.47598202913127,-78.45723562264743,127.31215020357676,52.591110831854174,-2.123229835999029,-4.977681634229155,0.8043174249755223,1.463752107714185,-9.643789702821714,-97.54511488425743,-25.576595603887462
LCK,3.934295312741918,-191.503956971694,201.40551756683993,97.98908787650153,1.3366552486916605,-4.033559901810778,6.983985988284664,2.78603619320759,2.9433882196571397,-27.420438313154357,-49.93244738386638
TSSK3,-46.898602847815,-231.55168361210443,125.98595682808582,97.36469643882478,-0.26088762943444427,-5.587775518665671,4.77030569374331,2.673073354058151,179.76552950970662,-48.54021911337999,-22.54671047668904
