gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
GNAI3,0.05089056661119859,-1.4716853083200965,,-0.6727463181853134,,-1.0209256625927987,,-0.947308749008661,,False,,1.0209256625927987,0.30628806523986585,True,False,False
CDC45,0.658979859310916,1.654228380313181,2.5102867059442144,1.4924375306414543,2.264769567012368,1.7931936646523179,2.721166116559966,1.7406641548645838,2.6414527398223773,False,2.264769567012368,1.7931936646523179,-0.0840061058031345,True,False,False
H19,0.27750661084460637,7.2700674892987855,26.197817295854474,4.375668847005033,15.767800391087796,6.041186036800374,21.769521159923713,5.708452788581048,20.570510991457333,True,15.767800391087796,6.041186036800374,0.16903301851148844,True,True,False
SCML2,0.8396714454497745,4.56497830079236,5.436624438678042,2.1055752267862378,2.5076179953438515,3.0347531889980326,3.6142150664328607,2.83144162233676,3.3720827803309223,True,2.5076179953438515,3.0347531889980326,0.33520972301855645,True,False,True
APOH,0.9036609800883866,4.823499207710778,5.337730978755987,1.6507129287545765,1.826694927773822,2.6159753853528978,2.894863718799755,2.391833146190807,2.64682574427067,True,1.826694927773822,2.6159753853528978,0.45766024359016455,True,False,True
NARF,0.5733520863549463,3.2186168238518427,5.6136829366297745,2.725811012658444,4.754166030837411,3.41413777080548,5.954696689970502,3.29135089736215,5.740540543397564,True,4.754166030837411,3.41413777080548,-0.060746885278394114,True,False,True
CAV2,-0.0075363789256883695,-1.1785668497597408,,-1.7914314332620451,,-2.093580769898886,,-2.057040943493522,,False,,2.093580769898886,-0.7763784636617579,True,False,False
KLF6,-0.1268409205797943,-0.840828643226294,6.629001424641487,-0.5605985922558712,4.419698230613239,-0.7401902433074683,5.835579243071027,-0.704979048431514,5.55797801852139,True,4.419698230613239,0.7401902433074683,0.11968954760231765,True,False,True
SCMH1,-0.047122868121096284,-0.25648589175917635,,0.6375341323136501,,0.6038079040358246,,0.6280348568354599,,False,,0.6375341323136501,-1.4856499043317881,False,False,False
COX5A,0.23464444317259597,-0.732171008956048,-3.120342417047948,-0.7387407620175143,-3.1483411753932877,-0.9535924280063355,-4.063988966083921,-0.9186240003830457,-3.9149616669478897,False,3.1483411753932877,0.9535924280063355,-0.30241762695028984,True,False,False
TBX2,0.05740848194470009,0.21285649233303972,,0.35641070423466137,,0.4032843146202524,,0.3986306325431688,,False,,0.4032843146202524,-0.8946300871540498,True,False,False
TBX4,0.301073951293532,1.2748477049413083,4.234334121115632,-1.0628023108242899,-3.5300374086103217,-0.8537921232592058,-2.835821961983026,-0.9368820617356945,-3.1118004653357794,False,2.835821961983026,1.0628023108242899,0.1663299806675972,False,False,False
NGFR,0.1005217375840507,0.8196888043775816,8.154343767607513,0.36011033004354753,3.5824125079656852,0.5341354172857476,5.313630963045513,0.4960791384715968,4.93504340846479,True,3.5824125079656852,0.5341354172857476,0.3483680459789428,True,False,True
WNT3,-0.05862281821244508,1.0054651373166312,,0.8688584728688276,,1.1203649297451328,,1.0764098625736538,,False,,1.1203649297451328,-0.11427526242744146,True,False,False
WNT9A,0.29412234675470716,0.7097800670033436,2.4132136671522195,-1.6329652661090481,-5.55199318966033,-1.5612523022719715,-5.308173008608653,-1.6220150539560185,-5.514763063238953,False,5.308173008608653,1.6329652661090481,-1.3006637436344852,False,False,False
FER,0.18213884457752838,1.5583851160441315,8.556028340131457,0.28055000497104177,1.540308469737899,0.6028813676713558,3.310009839305509,0.5234622799713526,2.8739738696900434,True,1.540308469737899,0.6028813676713558,0.6131371113183277,True,False,True
XPO6,-0.1170128946452752,-0.36590408358561405,3.1270406966245297,-0.14797267496510846,1.2645843469960119,-0.21440267665386742,1.8322995709475398,-0.1989858905511931,1.7005466889304737,False,1.2645843469960119,0.21440267665386742,0.414046778180595,True,False,False
TFE3,0.0948122073544736,1.0237900132243065,,0.6922223209603668,,0.9201718535982426,,0.8759844124205209,,False,,0.9201718535982426,0.10121036373438597,True,False,False
