term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
RNF212 Up,RNF212,Up,0.00020903813725802188,6.325797261281132,53.598441276804735,RPS25|COX7A2L|RPL36|UQCR11|CTSD|UQCRH|COX6B1,0.340107042914052
PSMD1 Up,PSMD1,Up,0.000242864212306521,6.165770609318996,51.31775852619204,PSMD4|PSMC1|PSMD2|KLHL21|TALDO1|CTSD|SOD1,0.340107042914052
ACHE Up,ACHE,Up,0.001392372898705578,5.295717748451387,34.82858980933441,NDUFB7|SNRPD2|CAV1|RPL36|UQCR11|CTSD,0.5255077200156014
CTRL Up,CTRL,Up,0.0014217914978760936,5.273198641158591,34.57023384128159,LDHB|ALDH2|CAV1|SIK1|HTR3A|SOD1,0.5255077200156014
FAAH2 Up,FAAH2,Up,0.0014217914978760936,5.273198641158591,34.57023384128159,ALDH2|CCDC85B|CAV1|KLHL21|TALDO1|SIK1,0.5255077200156014
TNIP1 Up,TNIP1,Up,0.0015129025852380757,5.2067626026308815,33.81128568671064,PER2|CCDC85B|KLHL21|SPRY2|SIK1|CTSD,0.5255077200156014
PSMA5 Up,PSMA5,Up,0.0015129025852380757,5.2067626026308815,33.81128568671064,PSMD4|PSMD2|KLHL21|SIK1|CTSD|SOD1,0.5255077200156014
CBR3 Up,CBR3,Up,0.0015129025852380757,5.2067626026308815,33.81128568671064,RPS9|COX7A2L|PSMD4|RPL36|TALDO1|ETFB,0.5255077200156014
FEZ1 Up,FEZ1,Up,0.00713732002223985,4.404255319148936,21.7676704141288,RPS9|COX7A2L|TALDO1|SIK1|HMGB1,0.7166346565713615
TCF4 Up,TCF4,Up,0.0072602522462910215,4.385370205173952,21.599442382777305,COX7A2L|NDUFB7|RPL36|ETFB|CTSD,0.7166346565713615
SMS Up,SMS,Up,0.0072602522462910215,4.385370205173952,21.599442382777305,COX7A2L|CAV1|KLHL21|RPL36|SIK1,0.7166346565713615
KCNN3 Up,KCNN3,Up,0.0073846582565567495,4.36664445924939,21.433022123664735,NDUFB7|SNRPD2|CCDC85B|RPL36|ETFB,0.7166346565713615
