term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
ASCL2 Down,ASCL2,Down,3.380248783891757e-05,7.153356376205203,73.64363331039306,CFD|EGR1|FASN|ELOVL2|ITGA6|MEOX2|CLDN1|KCNK3,0.07366407162296111
SAMD4B Down,SAMD4B,Down,3.380248783891757e-05,7.153356376205203,73.64363331039306,SQLE|RGS1|FASN|LMNA|CCNG1|ANP32E|ASNS|PF4,0.07366407162296111
GNG4 Down,GNG4,Down,0.0002143943440354238,6.298558682223748,53.20829329932491,CFD|FASN|ASNS|HMG20B|PLIN1|PTGS2|HACD2,0.1588190351201417
HDAC9 Down,HDAC9,Down,0.0002143943440354238,6.298558682223748,53.20829329932491,SQLE|IDI1|IMPA1|ELOVL2|FPR1|TM6SF1|EIF4E,0.1588190351201417
CDK9 Down,CDK9,Down,0.0002311316696911608,6.218216318785578,52.06215921744629,CFD|EGR1|NR4A1|ASNS|PLIN1|MEOX2|CLDN1,0.1588190351201417
NLK Down,NLK,Down,0.000242864212306521,6.165770609318996,51.31775852619204,EGR1|RGS1|ELOVL2|SLC16A6|FPR1|PLIN1|CLDN1,0.1588190351201417
EBP Down,EBP,Down,0.0013349334911803923,5.341330918967858,35.35359531787584,CFD|EGR1|ASNS|ITGA6|CLDN1|HACD2,0.21466604787671367
OGFOD1 Down,OGFOD1,Down,0.0013349334911803923,5.341330918967858,35.35359531787584,GGCT|SQLE|ELOVL2|CIDEA|SLC16A6|PLIN1,0.21466604787671367
GJD2 Down,GJD2,Down,0.0013634218801199898,5.318427695636495,35.0896970199704,EGR1|ASNS|ITGA6|PTGS2|CLDN1|PF4,0.21466604787671367
RPS17 Down,RPS17,Down,0.0013634218801199898,5.318427695636495,35.0896970199704,GGCT|SQLE|IDI1|ANP32E|ASNS|HAPLN1,0.21466604787671367
GATA2 Down,GATA2,Down,0.001392372898705578,5.295717748451387,34.82858980933441,CFD|ELOVL2|CIDEA|HMG20B|PLIN1|HACD2,0.21466604787671367
UTS2R Down,UTS2R,Down,0.001392372898705578,5.295717748451387,34.82858980933441,EGR1|NR4A1|LMNA|PTGS2|CLDN1|KCNK3,0.21466604787671367
CEACAM5 Down,CEACAM5,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CFD|FASN|HMG20B|PLIN1|KCNK3|PDLIM7,0.21466604787671367
CHRNE Down,CHRNE,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CFD|EGR1|NR4A1|GALE|ASNS|PLIN1,0.21466604787671367
IGFBP5 Down,IGFBP5,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,SQLE|FASN|SLC16A6|HMG20B|CLDN1|KCNK3,0.21466604787671367
LMBR1 Down,LMBR1,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CFD|EGR1|RNF125|ASNS|ITGA6|HACD2,0.21466604787671367
SAT2 Down,SAT2,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,RGS1|LMNA|FPR1|ITGA6|PTGS2|NPAS2,0.21466604787671367
CLIC2 Down,CLIC2,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,MAN1A2|FASN|CSPG4|PTGS2|KCNK3|HAPLN1,0.21466604787671367
POLB Down,POLB,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,NR4A1|RGS1|SLC16A6|HMG20B|ITGA6|PLIN1,0.21466604787671367
