term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
FOXO3 Down,FOXO3,Down,0.000242864212306521,6.165770609318996,51.31775852619204,UGDH|PEG3|GRK5|TRIM2|NRIP1|MAP7|TIMP4,0.21458838082503795
UCK1 Down,UCK1,Down,0.000242864212306521,6.165770609318996,51.31775852619204,UGDH|CDKN1A|TUBB2A|NFIL3|MAP7|RAD23B|CLPX,0.21458838082503795
TSPAN13 Down,TSPAN13,Down,0.000255072443694159,6.1141917710832665,50.58859624571247,CDKN1A|TUBB2A|PEG3|AOX1|ASAP2|DTX4|TIMP4,0.21458838082503795
ARSG Down,ARSG,Down,0.0011992590693281366,5.458834412580943,36.7164005980649,CDKN1A|PEG3|NFIL3|MDM2|MICAL2|CLPX,0.21458838082503795
GPX7 Down,GPX7,Down,0.0012793248930745198,5.387727148205643,35.88992828999936,UGDH|CYP26B1|CDKN1A|MAP7|MICAL2|TIMP4,0.21458838082503795
B3GNT5 Down,B3GNT5,Down,0.0013349334911803923,5.341330918967858,35.35359531787584,CDKN1A|GRK5|PPFIA1|MAP7|ASAP2|DTX4,0.21458838082503795
TNK1 Down,TNK1,Down,0.0013634218801199898,5.318427695636495,35.0896970199704,CDKN1A|TUBB2A|DDIT4|MAP7|AHSP|RAD23B,0.21458838082503795
CYP1B1 Down,CYP1B1,Down,0.001392372898705578,5.295717748451387,34.82858980933441,TUBB2A|DDIT4|DNMT3B|AHSP|NPAS2|TIMP4,0.21458838082503795
MPP3 Down,MPP3,Down,0.001392372898705578,5.295717748451387,34.82858980933441,CDKN1A|TUBB2A|CHKA|GSR|MDM2|SIX1,0.21458838082503795
KCNB2 Down,KCNB2,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,UGDH|PEG3|GSR|MAP7|MICAL2|DTX4,0.21458838082503795
GPN1 Down,GPN1,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,UGDH|TRIM2|MAP7|AOX1|AHSP|RAD23B,0.21458838082503795
GRM8 Down,GRM8,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,TUBB2A|ABLIM3|DNMT3B|MAP7|MICAL2|RAD23B,0.21458838082503795
LRAT Down,LRAT,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,PEG3|PPFIA1|MAP7|MICAL2|RAD23B|CLPX,0.21458838082503795
NOX3 Down,NOX3,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,UGDH|CDKN1A|TUBB2A|DDIT4|MICAL2|AHSP,0.21458838082503795
PDE7A Down,PDE7A,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CDKN1A|TUBB2A|DDIT4|DNMT3B|MAP7|SIX1,0.21458838082503795
TNNI3K Down,TNNI3K,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CDKN1A|TUBB2A|DDIT4|TAB2|NPAS2|TIMP4,0.21458838082503795
YRDC Down,YRDC,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CYP26B1|CDKN1A|TUBB2A|PSMD11|MAP7|IDE,0.21458838082503795
STK39 Down,STK39,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,CYP26B1|CDKN1A|TUBB2A|PEG3|NFIL3|MAP7,0.21458838082503795
ITGAV Down,ITGAV,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,PEG3|LGALSL|MICAL2|APBB2|TUBB4B|RAD23B,0.21458838082503795
MAOA Down,MAOA,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,PSMD11|PEG3|GRK5|MAP7|ASAP2|TUBB4B,0.21458838082503795
C15ORF53 Down,C15ORF53,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,PSMD11|PEG3|DNMT3B|MAP7|IDE|TUBB4B,0.21458838082503795
ERP27 Down,ERP27,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,CDKN1A|TUBB2A|PEG3|MAP7|MICAL2|RAD23B,0.21458838082503795
