term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
CTSS Down,CTSS,Down,0.0002254394150000306,6.244771108388911,52.44021000117409,PDLIM3|SLN|ZBTB38|PLEKHB1|CASQ2|GATA6|LMCD1,0.11177841310330702
FOLR3 Down,FOLR3,Down,0.0002254394150000306,6.244771108388911,52.44021000117409,PDLIM3|ZBTB38|CASQ2|GATA6|PDE8B|ISL1|LMCD1,0.11177841310330702
POU1F1 Down,POU1F1,Down,0.0002311316696911608,6.218216318785578,52.06215921744629,PCP4|PDLIM3|OAT|SLN|ZBTB38|PDE8B|MSLN,0.11177841310330702
CLK3 Down,CLK3,Down,0.00023693935717695896,6.1918837449948265,51.688027110808605,PCP4|PDLIM3|SLN|ZBTB38|GATA6|KLHL23|TMEM230,0.11177841310330702
SETD2 Down,SETD2,Down,0.00023693935717695896,6.1918837449948265,51.688027110808605,PCP4|PDLIM3|ZBTB38|GATA6|KLHL23|MSLN|HOXA5,0.11177841310330702
RAB39A Down,RAB39A,Down,0.000242864212306521,6.165770609318996,51.31775852619204,PCP4|OAT|SLN|PLEKHB1|PDE8B|TMEM230|PFN2,0.11177841310330702
C10ORF128 Down,C10ORF128,Down,0.00024890798563299854,6.139874180163298,50.95129930282405,CHRNA1|PCP4|PDLIM3|SLN|ZBTB38|CASQ2|PFN2,0.11177841310330702
ITGA1 Down,ITGA1,Down,0.0013349334911803923,5.341330918967858,35.35359531787584,CHRNA1|USP47|PCP4|SLN|GATA6|PDE8B,0.22200111908114095
KCNK5 Down,KCNK5,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,CHRNA1|NUAK1|SLN|SLC1A1|MSLN|OSBPL10,0.22200111908114095
SLC11A1 Down,SLC11A1,Down,0.0014217914978760936,5.273198641158591,34.57023384128159,USP47|NUAK1|ZBTB38|GATA6|MSLN|OSBPL10,0.22200111908114095
LAT Down,LAT,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,PCP4|PDLIM3|ZBTB38|CCDC47|KLHL23|ISL1,0.22200111908114095
DCTN2 Down,DCTN2,Down,0.0014516826489545571,5.250867978278287,34.314589991695016,PCP4|OAT|SLC1A1|GATA6|ADO|MSLN,0.22200111908114095
P2RY10 Down,P2RY10,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,PCP4|SLN|ZBTB38|GATA6|PDE8B|MSLN,0.22200111908114095
SEMA3E Down,SEMA3E,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,PCP4|RNF115|PDLIM3|ZBTB38|GATA6|MSLN,0.22200111908114095
SERPINC1 Down,SERPINC1,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,USP47|NUAK1|PDLIM3|SLC1A1|OLR1|OSBPL10,0.22200111908114095
TPD52L3 Down,TPD52L3,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,CHRNA1|PCP4|SLN|SLC1A1|GATA6|OSBPL10,0.22200111908114095
C1GALT1C1 Down,C1GALT1C1,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,PCP4|RNF115|PDLIM3|GATA6|PFN2|OSBPL10,0.22200111908114095
TNC Down,TNC,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,USP47|PCP4|NUAK1|PRKRIP1|PLEKHB1|OSBPL10,0.22200111908114095
PIK3R5 Down,PIK3R5,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,PCP4|NUAK1|ZBTB38|PLEKHB1|PFN2|OSBPL10,0.22200111908114095
HADH Down,HADH,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,PCP4|PDLIM3|SLN|PLEKHB1|MSLN|LMCD1,0.22200111908114095
CATSPER3 Down,CATSPER3,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,PCP4|NUAK1|PDLIM3|SLC1A1|ADO|MSLN,0.22200111908114095
CDC42SE1 Down,CDC42SE1,Down,0.0015442414069656942,5.184983295234746,33.56355046630411,PCP4|PLEKHB1|PDE8B|ISL1|STUM|PFN2,0.22200111908114095
DDX51 Down,DDX51,Down,0.0015442414069656942,5.184983295234746,33.56355046630411,PDLIM3|ZBTB38|CCDC47|SLC1A1|ADO|MSLN,0.22200111908114095
SUV39H2 Down,SUV39H2,Down,0.0015760728535172278,5.163383241397426,33.3183778032813,PCP4|PDLIM3|ZBTB38|PLEKHB1|ADO|MSLN,0.22200111908114095
CHI3L1 Down,CHI3L1,Down,0.0015760728535172278,5.163383241397426,33.3183778032813,PDLIM3|OAT|ZBTB38|CCDC47|KLHL23|ADO,0.22200111908114095
AIRE Down,AIRE,Down,0.00713732002223985,4.404255319148936,21.7676704141288,CHRNA1|PDLIM3|SLN|GATA6|ADO,0.3426739933630231
CHRNA1 Down,CHRNA1,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,PCP4|NUAK1|GATA6|ADO|LMCD1,0.3426739933630231
