perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
EI-156,BRD-K70549064,A375,10.0,6.0,0.0909,6610353,CPC014_A375_6H:BRD-K70549064:10.0,ITGA6|PTGS2,AEBP1|TSPAN4
-666,BRD-K12244279,HT29,10.0,6.0,0.0909,9549284,CPC018_HT29_6H:BRD-K12244279:10.0,EGR1|ITGA6|NR4A1|PTGS2,
PD-184352,BRD-K05104363,A375,0.12,24,0.0909,6918454,LJP005_A375_24H:BRD-K05104363:0.12,ANP32E|CYCS|EGR1,PCBP2
GDC-0980,BRD-A18328003,A549,1.11,24,0.0909,,LJP005_A549_24H:BRD-A18328003:1.11,ANP32E|ASNS,TSPAN4|TXNIP
PF-431396,BRD-K93788137,HEPG2,10,24,0.0909,11598628,LJP005_HEPG2_24H:BRD-K93788137:10,ITGA6,NR1D2|TSPAN4|TXNIP
GDC-0980,BRD-A18328003,HS578T,0.37,24,0.0909,,LJP005_HS578T_24H:BRD-A18328003:0.37,ASNS|CYCS|GALE,TXNIP
PLX-4720,BRD-K16478699,HT29,1.11,24,0.0909,24180719,LJP005_HT29_24H:BRD-K16478699:1.11,ANP32E|ASNS|ITGA6|PTGS2,
AZD-8330,BRD-K37687095,HT29,0.37,24,0.0909,16666708,LJP005_HT29_24H:BRD-K37687095:0.37,ANP32E|CYCS|PTGS2,TXNIP
mitoxantrone,BRD-K21680192,HT29,1.11,24,0.0909,5458171,LJP005_HT29_24H:BRD-K21680192:1.11,ITGA6|PTGS2,TSPAN4|TXNIP
PD-0325901,BRD-K49865102,HT29,1.11,24,0.0909,9826528,LJP005_HT29_24H:BRD-K49865102:1.11,ANP32E|CYCS|PTGS2,TXNIP
GSK-690693,BRD-A87137733,HT29,10,24,0.0909,16048642,LJP005_HT29_24H:BRD-A87137733:10,ANP32E|ITGA6|PTGS2,TXNIP
erlotinib,BRD-K70401845,MCF10A,1.11,24,0.0909,176871,LJP005_MCF10A_24H:BRD-K70401845:1.11,ANP32E|EGR1,ID3|TXNIP
WH-4-025,BRD-U60236422,MCF10A,10,24,0.0909,,LJP005_MCF10A_24H:BRD-U60236422:10,ASNS|EGR1|ITGA6,TXNIP
radicicol,BRD-A39996500,MCF10A,0.37,24,0.0909,5311380,LJP005_MCF10A_24H:BRD-A39996500:0.37,ANP32E|EGR1,ID3|TXNIP
torin-2,BRD-K68174511,MCF10A,10,3,0.0909,51358113,LJP005_MCF10A_3H:BRD-K68174511:10,ASNS|EGR1|ITGA6,TXNIP
YM-201636,BRD-K48488978,MCF7,10,24,0.0909,9956222,LJP005_MCF7_24H:BRD-K48488978:10,CYCS|GALE,DBP|TXNIP
NVP-AUY922,BRD-K65182930,MCF7,3.33,24,0.0909,,LJP005_MCF7_24H:BRD-K65182930:3.33,ASNS|GALE,NR1D2|TXNIP
GSK-1059615,BRD-K02708799,MCF7,10,24,0.0909,23658330,LJP005_MCF7_24H:BRD-K02708799:10,CYCS|GALE|GGCT,TXNIP
WH-4-025,BRD-U60236422,MDAMB231,3.33,24,0.0909,,LJP005_MDAMB231_24H:BRD-U60236422:3.33,CYCS|FOS|ITGA6,TXNIP
geldanamycin,BRD-A19500257,A549,10,24,0.0909,13017911,LJP006_A549_24H:BRD-A19500257:10,CYCS|GGCT|PTGS2,UBR2
GSK-1059615,BRD-K02708799,BT20,3.33,24,0.0909,23658330,LJP006_BT20_24H:BRD-K02708799:3.33,CYCS|GALE|HAPLN1,TXNIP
GSK-1059615,BRD-K02708799,BT20,1.11,24,0.0909,23658330,LJP006_BT20_24H:BRD-K02708799:1.11,CYCS|GALE|GGCT,TXNIP
