perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
MLN2238,BRD-K78659596,H1299,10.0,6.0,0.1136,25183872,CPC006_H1299_6H:BRD-K78659596:10.0,SLC1A1,COL5A1|COL5A2|COL6A1|COL6A2
VINBLASTINE SULFATE,BRD-A55594068,HA1E,10.0,24.0,0.1136,6710780,CPC003_HA1E_24H:BRD-A55594068:10.0,HOXA5|LMCD1|PCP4|SLC1A1,COL6A2
Malonoben,BRD-K38477985,HA1E,10.0,24.0,0.1136,16759147,CPC003_HA1E_24H:BRD-K38477985:10.0,GATA6|LMCD1,COL1A2|COL3A1|CYB561
L-sulforophane,BRD-A58955223,H1299,10.0,6.0,0.1136,5350,CPC006_H1299_6H:BRD-A58955223:10.0,OAT,COL1A2|COL3A1|COL6A1|COL6A2
BNTX maleate,BRD-A55484088,A375,10.0,6.0,0.1136,44369694,CPC005_A375_6H:BRD-A55484088:10.0,HOXA5,COL5A1|COL5A2|COL6A1|COL6A2
geldanamycin,BRD-A19500257,HCC515,10.0,6.0,0.1136,13017911,CPC004_HCC515_6H:BRD-A19500257:10.0,GATA6,COL1A2|COL3A1|COL5A1|COL6A2
HY-11001,BRD-K64800655,HA1E,10.0,6.0,0.1364,46191454,CPC014_HA1E_6H:BRD-K64800655:10.0,HOXA5|SLC1A1,COL1A2|COL3A1|CYB561|PCOLCE
HY-10459,BRD-K99545815,HA1E,10.0,6.0,0.1364,11713159,CPC014_HA1E_6H:BRD-K99545815:10.0,HOXA5|SLC1A1,COL1A2|COL3A1|COL5A2|PCOLCE
-666,BRD-K38615104,MCF7,10.0,6.0,0.1364,10172943,CPC014_MCF7_6H:BRD-K38615104:10.0,,COL1A2|COL3A1|COL6A1|COL6A2|KLK8|LOXL2
P8624,BRD-K83794624,MCF7,10.0,6.0,0.1364,11296583,CPC014_MCF7_6H:BRD-K83794624:10.0,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2
-666,BRD-U00779237,MCF7,10.0,6.0,0.1364,,CPC014_MCF7_6H:BRD-U00779237:10.0,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE
-666,BRD-K37865504,A549,10.0,24.0,0.1364,11507802,CPC016_A549_24H:BRD-K37865504:10.0,PDLIM3,COL1A2|COL3A1|COL6A1|COL6A2|LOXL2
-666,BRD-K17953061,MCF7,10.0,24.0,0.1364,44259,CPC019_MCF7_24H:BRD-K17953061:10.0,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|LOXL2
CGP-60474,BRD-K79090631,A375,3.33,24,0.1364,644215,LJP005_A375_24H:BRD-K79090631:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2
CGP-60474,BRD-K79090631,HA1E,3.33,24,0.1364,644215,LJP005_HA1E_24H:BRD-K79090631:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|CYB561
-666,BRD-K19220233,HA1E,10.0,6.0,0.1364,59588070,CPC014_HA1E_6H:BRD-K19220233:10.0,HOXA5|SLC1A1,COL1A2|COL3A1|COL5A2|PCOLCE
AT-7519,BRD-K13390322,HA1E,10,24,0.1364,11338033,LJP006_HA1E_24H:BRD-K13390322:10,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE
BMS-387032,BRD-K43389698,HA1E,3.33,24,0.1364,3025986,LJP006_HA1E_24H:BRD-K43389698:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE
AT-7519,BRD-K13390322,HA1E,3.33,24,0.1364,11338033,LJP006_HA1E_24H:BRD-K13390322:3.33,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE
JNK-9L,BRD-K19220233,HA1E,3.33,24,0.1364,59588070,LJP006_HA1E_24H:BRD-K19220233:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE
BMS-345541,BRD-K13566078,HA1E,10,24,0.1364,9813758,LJP006_HA1E_24H:BRD-K13566078:10,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2
alvocidib,BRD-K87909389,HA1E,3.33,24,0.1364,5287969,LJP006_HA1E_24H:BRD-K87909389:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE
JNK-9L,BRD-K19220233,HA1E,10,24,0.1364,59588070,LJP006_HA1E_24H:BRD-K19220233:10,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE
mitoxantrone,BRD-K21680192,HEPG2,10,24,0.1364,5458171,LJP005_HEPG2_24H:BRD-K21680192:10,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|SCPEP1
CGP-60474,BRD-K79090631,MCF10A,0.37,24,0.1364,644215,LJP005_MCF10A_24H:BRD-K79090631:0.37,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE
7241-4207,BRD-K69852452,MCF7,10.0,6.0,0.1364,5056826,CPC013_MCF7_6H:BRD-K69852452:10.0,PDLIM3,COL1A2|COL5A2|COL6A1|COL6A2|LOXL2
16-HYDROXYTRIPTOLIDE,BRD-A13122391,SNGM,0.08,6.0,0.1364,16220015,CPC006_SNGM_6H:BRD-A13122391:0.08,HOXA5,COL1A2|COL3A1|COL5A1|COL5A2|PCOLCE
528116.cdx,BRD-K49371609,HT29,0.09,6.0,0.1364,10275789,CPC006_HT29_6H:BRD-K49371609:0.09,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|KLK8
"Ingenol 3, 20-dibenzoate",BRD-A52650764,HA1E,10.0,6.0,0.1364,5225086,CPC006_HA1E_6H:BRD-A52650764:10.0,HOXA5|PCP4|PDLIM3,COL6A1|COL6A2|MMP3
Daunorubicin hydrochloride,BRD-A68009927,HCC515,10.0,24.0,0.1364,3085107,CPC003_HCC515_24H:BRD-A68009927:10.0,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|SCPEP1
S1216,BRD-K17210248,MCF7,10.0,6.0,0.1364,46931007,CPC013_MCF7_6H:BRD-K17210248:10.0,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|KLK8
