up_hits,dn_hits,bg,coherence,pval,drug,targets
0,1,1,-0.5,0.01841846758349705,BEPRIDIL,TNNC1
0,1,1,-0.5,0.01841846758349705,LEVOSIMENDAN,TNNC1
0,0,1,0.0,1.0,LIOTHYRONINE,THRSP
0,0,1,0.0,1.0,STREPTOZOCIN,THRSP
0,0,1,0.0,1.0,DEXAMETHASONE,THRSP
0,0,1,0.0,1.0,TESTOSTERONE,APOA1
0,0,1,0.0,1.0,GLUCAGON (RDNA),APOA1
0,0,1,0.0,1.0,DEHYDRATED ALCOHOL,APOA1
0,0,1,0.0,1.0,TRETINOIN,APOA1
0,0,1,0.0,1.0,FUROSEMIDE,APOA1
0,0,1,0.0,1.0,LAMIVUDINE,APOA1
0,0,1,0.0,1.0,PROGESTIN,APOA1
0,0,1,0.0,1.0,DIGITOXIN,TOP2A
0,0,1,0.0,1.0,EPIRUBICIN,TOP2A
0,0,1,0.0,1.0,PEFLOXACIN,TOP2A
0,0,1,0.0,1.0,IDARUBICIN,TOP2A
0,0,1,0.0,1.0,GENISTEIN,TOP2A
0,0,2,0.0,1.0,DOXORUBICIN HYDROCHLORIDE,SERPINA6|TOP2A
0,0,2,0.0,1.0,DAUNORUBICIN LIPOSOMAL,SERPINA6|TOP2A
0,0,1,0.0,1.0,CAMPTOTHECIN,TOP2A
0,0,1,0.0,1.0,TENIPOSIDE,TOP2A
0,0,1,0.0,1.0,DEXRAZOXANE,TOP2A
0,0,1,0.0,1.0,ETOPOSIDE,TOP2A
0,0,1,0.0,1.0,DACTINOMYCIN,TOP2A
0,0,1,0.0,1.0,PODOFILOX,TOP2A
0,0,1,0.0,1.0,FLUOROURACIL,TOP2A
0,0,1,0.0,1.0,PIXANTRONE,TOP2A
0,0,1,0.0,1.0,DAUNORUBICIN CITRATE,TOP2A
0,0,1,0.0,1.0,ETOPOSIDE PHOSPHATE,TOP2A
0,0,1,0.0,1.0,DEXRAZOXANE HYDROCHLORIDE,TOP2A
0,0,1,0.0,1.0,AMSACRINE,TOP2A
0,0,1,0.0,1.0,HYDROQUINONE,TOP2A
0,0,1,0.0,1.0,ENOXACIN,TOP2A
0,0,1,0.0,1.0,VINCRISTINE,TOP2A
0,0,1,0.0,1.0,CINOXACIN,TOP2A
0,0,1,0.0,1.0,QUERCETIN,TOP2A
0,0,1,0.0,1.0,MITOXANTRONE HYDROCHLORIDE,TOP2A
0,0,1,0.0,1.0,NALIDIXIC ACID,TOP2A
0,0,1,0.0,1.0,DAUNORUBICIN HYDROCHLORIDE,TOP2A
0,0,1,0.0,1.0,MITOXANTRONE,TOP2A
0,0,1,0.0,1.0,VALRUBICIN,TOP2A
0,0,1,0.0,1.0,PACLITAXEL,TOP2A
0,0,1,0.0,1.0,CICLESONIDE,SERPINA6
0,0,1,0.0,1.0,ALCLOMETASONE,SERPINA6
0,0,1,0.0,1.0,RIMEXOLONE,SERPINA6
0,0,1,0.0,1.0,PARAMETHASONE,SERPINA6
0,0,1,0.0,1.0,TRIAMCINOLONE,SERPINA6
0,0,1,0.0,1.0,BECLOMETHASONE,SERPINA6
0,0,1,0.0,1.0,MAVACAMTEN,MYH7
0,0,1,0.0,1.0,DOXEPIN HYDROCHLORIDE,DDIT4
0,0,1,0.0,1.0,DESIPRAMINE,DDIT4
0,0,1,0.0,1.0,CLOMIPRAMINE,DDIT4
0,0,1,0.0,1.0,TRIMIPRAMINE,DDIT4
0,0,1,0.0,1.0,NORTRIPTYLINE,DDIT4
0,0,1,0.0,1.0,AMITRIPTYLINE HYDROCHLORIDE,DDIT4
0,0,1,0.0,1.0,DANICOPAN,CFD
0,0,1,0.0,1.0,ATALUREN,RPL36
