up_hits,dn_hits,bg,coherence,pval,drug,targets
0,1,1,-0.5,0.015617679212868966,DIGITOXIN,TOP2A
0,1,1,-0.5,0.015617679212868966,EPIRUBICIN,TOP2A
0,1,1,-0.5,0.015617679212868966,PEFLOXACIN,TOP2A
0,1,1,-0.5,0.015617679212868966,IDARUBICIN,TOP2A
0,1,1,-0.5,0.015617679212868966,GENISTEIN,TOP2A
0,1,1,-0.5,0.015617679212868966,CAMPTOTHECIN,TOP2A
0,1,1,-0.5,0.015617679212868966,TENIPOSIDE,TOP2A
0,1,1,-0.5,0.015617679212868966,DEXRAZOXANE,TOP2A
0,1,1,-0.5,0.015617679212868966,ETOPOSIDE,TOP2A
0,1,1,-0.5,0.015617679212868966,DACTINOMYCIN,TOP2A
0,1,1,-0.5,0.015617679212868966,PODOFILOX,TOP2A
0,1,1,-0.5,0.015617679212868966,FLUOROURACIL,TOP2A
0,1,1,-0.5,0.015617679212868966,PIXANTRONE,TOP2A
0,1,1,-0.5,0.015617679212868966,DAUNORUBICIN CITRATE,TOP2A
0,1,1,-0.5,0.015617679212868966,ETOPOSIDE PHOSPHATE,TOP2A
0,1,1,-0.5,0.015617679212868966,DEXRAZOXANE HYDROCHLORIDE,TOP2A
0,1,1,-0.5,0.015617679212868966,AMSACRINE,TOP2A
0,1,1,-0.5,0.015617679212868966,HYDROQUINONE,TOP2A
0,1,1,-0.5,0.015617679212868966,ENOXACIN,TOP2A
0,1,1,-0.5,0.015617679212868966,VINCRISTINE,TOP2A
0,1,1,-0.5,0.015617679212868966,CINOXACIN,TOP2A
0,1,1,-0.5,0.015617679212868966,QUERCETIN,TOP2A
0,1,1,-0.5,0.015617679212868966,MITOXANTRONE HYDROCHLORIDE,TOP2A
0,1,1,-0.5,0.015617679212868966,NALIDIXIC ACID,TOP2A
0,1,1,-0.5,0.015617679212868966,DAUNORUBICIN HYDROCHLORIDE,TOP2A
0,1,1,-0.5,0.015617679212868966,MITOXANTRONE,TOP2A
0,1,1,-0.5,0.015617679212868966,VALRUBICIN,TOP2A
0,1,1,-0.5,0.015617679212868966,PACLITAXEL,TOP2A
0,1,2,-0.5,0.03099224690529604,DOXORUBICIN HYDROCHLORIDE,SERPINA6|TOP2A
0,1,2,-0.5,0.03099224690529604,DAUNORUBICIN LIPOSOMAL,SERPINA6|TOP2A
0,0,1,0.0,1.0,LIOTHYRONINE,THRSP
0,0,1,0.0,1.0,STREPTOZOCIN,THRSP
0,0,1,0.0,1.0,DEXAMETHASONE,THRSP
0,0,1,0.0,1.0,TESTOSTERONE,APOA1
0,0,1,0.0,1.0,GLUCAGON (RDNA),APOA1
0,0,1,0.0,1.0,DEHYDRATED ALCOHOL,APOA1
0,0,1,0.0,1.0,TRETINOIN,APOA1
0,0,1,0.0,1.0,FUROSEMIDE,APOA1
0,0,1,0.0,1.0,LAMIVUDINE,APOA1
0,0,1,0.0,1.0,PROGESTIN,APOA1
0,0,1,0.0,1.0,CICLESONIDE,SERPINA6
0,0,1,0.0,1.0,ALCLOMETASONE,SERPINA6
0,0,1,0.0,1.0,RIMEXOLONE,SERPINA6
0,0,1,0.0,1.0,PARAMETHASONE,SERPINA6
0,0,1,0.0,1.0,TRIAMCINOLONE,SERPINA6
0,0,1,0.0,1.0,BECLOMETHASONE,SERPINA6
0,0,1,0.0,1.0,BEPRIDIL,TNNC1
0,0,1,0.0,1.0,LEVOSIMENDAN,TNNC1
0,0,1,0.0,1.0,MAVACAMTEN,MYH7
0,0,1,0.0,1.0,DOXEPIN HYDROCHLORIDE,DDIT4
0,0,1,0.0,1.0,DESIPRAMINE,DDIT4
0,0,1,0.0,1.0,CLOMIPRAMINE,DDIT4
0,0,1,0.0,1.0,TRIMIPRAMINE,DDIT4
0,0,1,0.0,1.0,NORTRIPTYLINE,DDIT4
0,0,1,0.0,1.0,AMITRIPTYLINE HYDROCHLORIDE,DDIT4
0,0,1,0.0,1.0,DANICOPAN,CFD
0,0,1,0.0,1.0,ATALUREN,RPL36
