gene,mean_z,n
LRRC30,5.236894159227951,2
METTL21E,4.919530859332514,2
ENHO,4.59398641077604,2
SEC14L5,4.425301895080482,2
PPP1R3C,4.424081687336849,2
CCDC134,4.415615934062095,2
NFIL3,4.247432633494765,2
DYRK2,4.140253597884444,2
MAP1LC3A,3.8711939601452965,2
BMAL1,3.854714300995261,2
NCOA1,3.7786099102652724,2
DCAF4,3.5306426446961865,2
RELT,3.4073340833824544,2
AUTS2,3.3804234427042124,2
AKAP17B,3.3169629307628608,2
STYXL2,3.312887536919047,2
TNFAIP2,3.29990043168305,2
DDIT4L,3.162481890495279,2
B4GALT5,3.147571635765444,2
GRIP2,3.1447545752293413,2
SOX4,3.1307831836222886,2
KLHL30,3.1016171894707654,2
PGAP4,3.085491582840345,2
DUSP13B,3.052220990800151,2
FYB1,3.005124218067995,2
SLC16A9,2.9281549214930864,2
PNMT,2.913833444508229,2
1110002E22RIK,2.9108135209505823,2
GRAMD1B,2.909361748586706,2
AMOTL1,2.902405187691528,2
GREM2,2.8907493488844547,2
SLC26A10,2.8797056514748918,2
GM12185,2.841432006669738,2
LSM6,2.8413154518357993,2
ADCY2,2.8293791124895717,2
CITED4,2.8193822662046375,2
HHATL,2.7676051064556644,2
RNF122,2.7524901856986244,2
CDKN1A,2.747583343800236,2
GRAMD4,2.745917569331854,2
SREBF1,2.737266585711246,2
PDZD7,2.729482370465521,2
ARHGEF10L,2.7102299256198736,2
FOSB,2.6806730130096983,2
ZBTB7B,2.680174984207029,2
TPPP3,2.675246727750143,2
SCAMP2,2.655890030789055,2
ARHGAP20,2.637070870664494,2
GTF2IRD1,2.6370181085701425,2
PLEKHF1,2.633478361301507,2
NPAS2,2.615525274878655,2
MT1,2.602474115581626,2
GADD45G,2.6011186309728176,2
BAHCC1,2.5838631402192433,2
CACNA1G,2.581949843485501,2
SMAD3,2.5620342582796063,2
GLT28D2,2.558981751796366,2
MPP3,2.558614769450566,2
STAT5A,2.552613573670742,2
AHDC1,2.544133016125153,2
MYORG,2.532887564743706,2
CLOCK,2.529133117514453,2
CXXC5,2.520017739361962,2
SMTN,2.5064819921159773,2
DENND2C,2.482653143635856,2
SPHK2,2.4788032526737647,2
MMP15,2.4722360506495744,2
MRAS,2.450783645400144,2
SPATA2,2.418636547235182,2
UBC,2.41435371713814,2
CCDC22,2.4115907056878,2
SYNPO2L,2.411221864020965,2
DUSP10,2.410806063162625,2
SLC45A4,2.402784479863256,2
RNF187,2.395660571405627,2
SH3BP5,2.392782258177271,2
JPT1,2.373653915784976,2
RPL11|GM57721,2.3645182358654737,2
SBK1,2.360571181226206,2
FAM20C,2.3280022195101555,2
CHRNB1,2.3164859767449792,2
TMEM100,2.315471963814618,2
WBP1L,2.3142726096948674,2
SH2D4A,2.3040626020444748,2
TRIOBP,2.2937711647581804,2
NACC2,2.288029214255286,2
KCNG4,2.276690019345518,2
CPTP,2.2530099983485536,2
ADAMTS3,2.2483105593213875,2
ZFP74,2.2428103083394237,2
LINGO3,2.242495764027921,2
SLC22A23,2.242070829299031,2
EXOC3L4,2.2343630468004276,2
MT2,2.2275315595063483,2
DPP8,2.2252807717193592,2
OSGEP,2.2189197003078887,2
LRRC38,2.2170071156682845,2
CDC42EP2,2.2118396980979482,2
VCF2,2.2086723773135972,2
MIF4GD,2.2082878144457116,2
SPON2,2.206983368241204,2
DPF3,2.1988066287940256,2
RARA,2.191966149997544,2
PPM1N,2.1868400042317107,2
TBC1D8,2.18232769883719,2
TMEM52,2.179906051718066,2
CIMAP1D,2.1784825989101884,2
SOBP,2.173778811582642,2
NAV2,2.158663657619874,2
MRTFA,2.1569113566287275,2
ADAMTS20,2.1540559454679853,2
H1F4,2.150102617344393,2
NACC1,2.1468063752246365,2
KIF28,2.1402840516712445,2
KSR1,2.137816890409213,2
ICE1,2.120798195303413,2
PRR33,2.1192566038199265,2
FAM169B,2.1132579377576937,2
ZFP36,2.1111844999449887,2
HOXC11,2.109375414270262,2
CNTFR,2.104798402330597,2
TECR,2.099353101335611,2
HS6ST1,2.098870990044488,2
RREB1,2.0922036849203094,2
PIM1,2.0868530970564922,2
SORT1,2.0863137726569567,2
RPS16,2.0861982448529606,2
