gene,mean_z,n
GM16867,4.524092281340914,3
IFI202B,4.310580156984142,2
FAM177A2,3.433910823249298,2
MYH4,3.137104029965061,3
CCL21D,2.7537617364096363,2
NPAS2,2.647354946750798,3
FOS,2.506942940672825,3
GGCT,2.423459716191589,3
DHDH,2.2829024808312015,3
UCP3,2.2714546508697038,3
CIDEA,2.2450310017091724,3
MEOX2,2.187253071991828,3
PTGS2,2.1304709940037916,3
PPARD|1810013A23RIK,2.1085080073775297,3
UCP1,2.1069818356345484,3
TMEM169,2.085430664973648,3
KIF12,2.041969809120188,3
PRPF40A,2.015374542713621,3
ITGA6,1.9891215113505065,3
ERICH4,1.9420938736120312,3
NR4A1,1.9211580357187437,3
ASNS,1.907439809995159,3
BMAL1,1.8793057632267836,3
SLC16A6,1.8769606857395662,3
EIF4EBP3,1.8766562007012328,3
PRXL2A,1.869747403945743,3
SLC10A1,1.8684299217588898,3
PIERCE1,1.8652905592856925,3
HYPK,1.839292642622511,3
NPNT,1.8243889399784414,3
HOXA9,1.8206691121591583,3
ANP32E,1.8150558406114679,3
EGR1,1.8118727529068959,3
NOS1,1.7675657247671441,3
HAPLN1,1.758548436816654,3
OTOP1,1.7515682806645987,3
ATP6-PS,1.7480683569808821,3
GPD2,1.7358051875319829,3
CLDN1,1.73184278830821,3
CCL28,1.7250020832278878,3
GALE,1.7234767568810827,3
ADIG,1.7165093928408535,3
FCRL2,1.7055898955451612,3
MRAP,1.6999150614007519,3
THRSP,1.6890881816846655,3
CYCS,1.687253218393325,3
LEO1,1.684516505122426,3
SREBF1,1.6836782603740612,3
KAP,1.6773003109096856,3
NFKBIZ,1.6758173629870516,3
IDI1,1.673894794622562,3
PLEKHA2,1.6695732526771676,3
NAT8L,1.6656355635956974,3
CFD,1.6632917948301003,3
ZFP692,1.6576516928250389,3
EIF4E,1.6569096798179708,3
LMNA,1.6551181254896135,3
GM26244,1.654652418848251,3
RGS1,1.6457458667768388,3
CCNG1,1.640420107520477,3
FPR1,1.6389404268129653,3
ELOVL2,1.6254952829716742,3
PLPP5,1.6195848889188287,3
EFCAB11,1.6180544106461656,3
PRSS35,1.6179066338414867,3
ITGB6,1.6079961121608246,3
POLN,1.6067109971705549,3
SQLE,1.6008631975221792,3
SERPINF2,1.595715205977686,3
PLIN1,1.5943569256231995,3
ARHGEF16,1.59144358284247,3
PI16,1.5910661685913299,3
MAN1A2,1.5896599380819845,3
AARS2,1.5884176448957532,3
PHOSPHO1,1.5876604055730066,3
HMG20B,1.5833761508776727,3
TM6SF1,1.582468443529163,3
LGALS12,1.5816813495646649,3
LOXL4,1.5809152972344267,3
PF4,1.5758972780654454,3
ADH4,1.5735568403921272,3
RNF125,1.5733090398382548,3
MVD,1.5727399269982316,3
RHPN1,1.5662366446701643,3
4632427E13RIK,1.5645994108385126,3
CRISPLD1,1.5611952419097141,3
KCNK3,1.5605669493951198,3
FASN,1.5579354307975164,3
RASD1,1.5572509170140396,3
ARL2BP,1.554808438781641,3
MEAF6,1.5546812718861354,3
ZPBP2,1.552858055628107,3
CCDC122,1.5514249438505585,3
PDLIM7,1.5475452087469443,3
IMPA1,1.5323240726570306,3
TOP6BL,1.5310026417673612,3
PNPLA3,1.5304414412523986,3
CSPG4,1.5289213021135302,3
HACD2,1.5184827778674015,3
TRPV4,1.5152134320642088,3
TMEM176A,1.5135762209432777,3
9130008F23RIK,1.5088867019625631,3
CCDC18,1.5080164851269646,3
CDKN1A,1.5061299253288247,3
BTG2,1.5056905448546651,3
NFIL3,1.496961994131449,3
MYOM3,1.4969313935394968,3
INAVA,1.4943941939701082,3
ZMAT2,1.4921450486276562,3
GM39460,1.4917059231125596,3
1700056E22RIK,1.4850089403292497,3
MMEL1,1.4782909557392578,2
H2AZ1,1.4781722306843903,3
TMED5,1.4754185866485976,3
PID1,1.4739068948892646,3
GM567,1.4708325090549177,3
CRADD,1.470183066250738,3
ND4L,1.4701666869412096,3
PRKAR2B,1.467537234739346,3
ATP9B,1.4659016026783398,3
PALM3,1.465478761633648,3
RTL8B,1.4619300463835598,3
SCAMP2,1.4598113183026868,3
CAR15,1.457966499881817,3
CDKAL1,1.4542666698386426,3
TUBB2B,1.452017567316988,3
COL4A3,1.4446406031207593,3
LSM12,1.4436066596134172,3
CD55,1.443312888214052,3
HP,1.442834185490576,3
AIFM3,1.4427607483455194,3
ALDH1B1,1.440102540123755,3
KLHDC4,1.4350541137750457,3
SEMA3C,1.4344553545887424,3
MSMO1,1.4335778862929862,3
DDIAS,1.4330468112724715,3
TPM3,1.43216495449378,3
JUNB,1.4303252763517957,3
PCYOX1L,1.4301277084789084,3
G3BP2,1.4266988304811095,3
MNDAL,1.4244172345854722,3
CXCL1,1.4216408381516776,3
MRS2,1.4204763946697299,3
9430037G07RIK,1.413628777024007,3
CIDEC,1.4123288452394274,3
GM20939,1.4121140475746674,3
GM2A,1.4106510934073402,3
DHRS9,1.4104150668218356,3
MTRES1,1.4074529759125338,3
