gene,mean_z,n
CLEC2D,1.8937563224294127,3
DSE,1.846949721947553,3
MUC16,1.7956768562447383,3
HPGD,1.7906682805725922,3
ROBO4,1.675276806151544,3
H2BC4,1.664074280228441,3
CCL6,1.6638036989813612,3
ADGRF5,1.6296370306971941,3
CYP2B10,1.6189246590816029,2
IQSEC1,1.5817208163100538,3
SMAD7,1.581624698009332,3
THRB,1.5764258202486807,3
CAST,1.5755656488357221,3
LARS2,1.5749431596568828,3
NHSL2,1.5739603145332477,3
SDK1,1.5457900899358645,3
HSD17B11,1.5324158232411331,3
ARHGDIG,1.5171970916288977,2
PRCD,1.5092549885207298,2
MARCHF2,1.505726296119385,3
MANEA,1.5046577920409467,3
TPP1,1.4891080271194912,3
SELENOP,1.473799861169313,3
TYROBP,1.4663874947993065,3
EGFR,1.4563254527888556,3
CMTR1,1.4530736929005483,3
PXMP4,1.4520478179906033,3
ERG,1.448312006586171,3
TRIM26,1.4401608327329896,3
DCN,1.4393215591773645,3
ACOT13,1.428054456007142,3
NDRG2,1.4264755209523425,3
OPLAH,1.425164666263601,3
MYZAP,1.4248215120000631,3
AGFG1,1.4209093183123693,3
MRIP-PS,1.4194735201578974,3
MFSD6L,1.4143789001090405,2
GP1BA,1.4079899930051218,2
SPTBN1,1.406255959891161,3
PECAM1,1.4019578988930765,3
PIRB,1.4017265194692314,3
DRAXIN,1.4008933295194546,3
ADGRE5,1.3902769815823666,3
ADGRA3,1.3896796745283415,3
OAT,1.3881312439419649,3
ACO2,1.3869607202169003,3
PPP1R3B,1.3856027528497465,3
EIF2S3Y,1.381384060151266,2
PRKCZ,1.3744896454934967,3
TXNIP,1.3720913832126262,3
NFIA,1.3618913086859736,3
ANO10,1.3607988271199243,3
NECTIN3,1.352424332190959,3
CACHD1,1.348321641982415,3
TNFSF12,1.3405512334242642,3
IDH3B,1.3396630172517965,3
CTSD,1.334358452271293,3
NFE2L2,1.3317262682342692,3
NKAIN4,1.3298065396224326,3
OLFML2A,1.3284504050383272,3
KLHL2,1.3244805006772251,3
HDAC11,1.3228609791474366,3
PLET1OS,1.3215049788799682,2
BAMBI,1.3214744347726557,3
LEPR,1.32106347355593,3
CAR14,1.3177341113705383,3
SERINC3,1.3173564691273656,3
LGALS1,1.3111228403230826,3
KLRC1,1.3104718249776537,3
BSG,1.3098041272468333,3
TGFBR3,1.3096209919074413,3
TRPC6,1.306451025707322,3
CCN5,1.3060392103802134,2
SLIT3,1.305816791274223,3
FAM131C,1.304024491480853,2
EPN2,1.3030657336169689,3
PPP1R11,1.3030363887552463,3
PLAC9,1.302772820547853,3
LSS,1.3010829483793518,3
TRIM3,1.2991176222906395,3
HSDL2,1.2986110428438964,3
ITGB1,1.2985700716925332,3
DNAJB13,1.297721972489022,3
ALDH1A2,1.2960954475824982,3
RN7SK,1.292534663905217,3
S100A11,1.2925299221366782,3
SYT12,1.291599243677578,3
PMEL,1.2906334350545248,2
RABAC1,1.2868017668725393,3
DENND2A,1.2831143906659366,3
IFITM2,1.2812352178897477,3
BBS2,1.2745028030453538,3
C1QTNF3,1.2737952323137367,2
PRSS27,1.2717604202228407,2
RSPH3B,1.2678443242343984,3
AVPI1,1.2651151629211543,3
IFI27L2A,1.2627940552139996,3
ITGAM,1.2627234604668152,3
ARHGAP35,1.2624915284390361,3
PF4,1.2621782529863546,3
ETFDH,1.2595562571497383,3
BC004004,1.2579509111244545,3
IDH1,1.2564039934429576,3
F730311O21RIK,1.2558378495175935,3
TMEM248,1.2548715986295687,3
EIF4EBP1,1.2526800731941503,3
DBT,1.251799202380601,3
CLEC1A,1.246910625588941,3
C2,1.2463625930296767,3
ZFAND2A,1.246122345497237,3
CYP4B1,1.245778246214758,3
GP5,1.244977666951243,3
YIF1A,1.2435135068899317,3
LAMP1,1.2343702530823573,3
LAMC2,1.2341629412219346,3
SLC39A7,1.233030798964527,3
CMPK2,1.2330052933841917,3
TNS3,1.2322292865156357,3
ASAH2,1.2293819171414826,3
IGFBP5,1.2274819764585188,3
UPK3B,1.2259147903764385,3
SPIC,1.2256966685339947,3
PLEKHA2,1.2256251121744424,3
CAT,1.2230216755936043,3
LAMC1,1.2217463814798653,3
CCNG1,1.22127485345943,3
IL6ST,1.2206424433052108,3
TSKU,1.2171816252893528,3
FAM114A1,1.2143682400591653,3
HIP1,1.2138509328981721,3
SGK1,1.2060081786892687,3
ABCA9,1.2039838097922104,3
DAG1,1.2034401680662354,3
CLEC16A,1.2033420813047875,3
CNN2,1.2017487018562354,3
C1QTNF1,1.2013531155528856,3
SH2B3,1.1997727936882736,3
ABCA1,1.1983596471059696,3
RO60,1.1976384001876232,3
TPSB2,1.1966918144690244,3
SPG11,1.196489278319299,3
DSG2,1.196390321106055,3
GOSR1,1.1949199775217185,3
MAGI1|4930511A08RIK,1.1912235147760823,3
SERPING1,1.190721427867248,3
CFH,1.1902320267371536,3
TOB1,1.1851697055930182,3
MCEE,1.1831294155297492,3
MPL,1.1830385945770159,2
RBP1,1.1823588685395827,3
SELENON,1.1808237125136858,3
MFSD11,1.1792931746124982,3
SSR4,1.1783359828921174,3
IRAK2,1.1782052511688903,3
GPX4,1.1768028184961203,3
SDC2,1.174237580550761,3
PPP1R9A,1.170853019249514,3
PIGR,1.170060053442054,3
SLC7A4,1.1687225183205097,3
2310069G16RIK,1.1684944024057766,2
ABCA3,1.1684165693315745,3
ATP6AP1,1.1678753891432174,3
NDUFB11,1.1665553579372867,3
TMEM43,1.1654325217174468,3
B3GNTL1,1.1636751086682597,3
FEZ2,1.162908996392457,3
C4B,1.162448784894384,3
FAHD1,1.1619615399993477,3
TRAV7D-2,1.1608862831061084,2
COX5B,1.158939680410372,3
HACL1,1.1561922593725082,3
PYGB,1.1556169970845571,3
IGKV9-120,1.1534328906603077,3
ANXA8,1.152888895343856,3
ISLR2,1.1516796434768501,2
PTPRB,1.1479923309868199,3
ZFP970,1.147140910499273,3
CUX2,1.1470496488973199,2
CC2D2B,1.1467987102064732,2
GPI-PS,1.1467595574792393,2
PRKCG,1.1462699465863646,2
CARD6,1.144557488225092,3
MRPS36,1.1442102382511103,3
INSIG1,1.1429773475609233,3
H3C15,1.1412544807028264,3
ATP5PO,1.1411648440581075,3
ARHGDIB,1.1405650535237317,3
KATNAL1,1.1392029187530992,3
CLDN12,1.138973229105183,3
D17H6S53E,1.1375087286413375,3
SYNE2,1.1336416974932793,3
MMRN2,1.132881289300496,3
GORASP1,1.1322451564943068,3
BCAR3,1.1315262258091485,3
URB1,1.1314517638367285,3
DDIT3,1.131201161783346,3
CCDC127,1.1297523053684364,3
APOC1,1.1296993076504784,3
LILRB4B,1.1295929003361127,3
CDKL2,1.1285979019566108,3
CPNE5,1.1268151566780837,3
CAMK1,1.1265650066572508,3
NDUFV3,1.1257429015807663,3
DENND5A,1.125075975090953,3
MPDZ,1.1241844079698646,3
HSD3B7,1.123872955380042,3
LYNX1,1.1218902666362174,3
PRLR,1.1214197096819225,3
TOLLIP,1.1207715975581383,3
BEND6,1.1207340975891118,3
C1RA,1.1189928943124146,3
MAPRE2,1.1187812470745089,3
ENTPD4,1.1185690198613192,3
SEPTIN4,1.1184335728910126,3
ALOX5,1.1172001023795566,3
DOK4,1.1170081114785877,3
BGN,1.1153481278962607,3
ECH1,1.1133781743569766,3
KIF16B,1.1131454531351828,3
ZFP524,1.1127379322195095,3
GM22442,1.1117785540995013,3
SLC26A11,1.111048708640783,3
ALOX5AP,1.110676907183918,3
BICRAL,1.1105726501433195,3
HOMER2,1.1104859075790694,3
TMEM147,1.1100804283975532,3
SEMA5A,1.1093171669009658,3
9530034E10RIK,1.1083524857507325,2
GM2808,1.107960627770254,2
RAB23,1.106322723163483,3
NPC2,1.1057800489565033,3
HBA-A1,1.1050970204132564,3
VSIR,1.102730057325662,3
ORAI3,1.1014671778910623,3
HSD17B10,1.1009745835995755,3
PI4KB,1.1007979491260451,3
GM4366,1.1006887846903537,3
BBLN,1.0981599822343375,3
PCDHGA10,1.0974099944144509,3
DHX32,1.0972744438508657,3
MRPS21,1.0968652687097413,3
GM5790,1.0958074973155156,2
ALAS1,1.095782285033689,3
COQ6,1.09373150994618,3
DES,1.0911398318640027,3
RPN1,1.0908163068914571,3
KDELR1,1.0903023128719882,3
STON1,1.0902112447706989,3
DHDH,1.0899524214264271,3
RN7S2,1.0894656465246906,3
FCER1G,1.0890438671729694,3
SRR,1.0876989151116945,3
CRIM1,1.0867930453429318,3
TGFBR2,1.0856811211184716,3
B3GNT8,1.084408702697105,3
ADAMTS1,1.0837354016648013,3
SUN2,1.0836705800096473,3
TJP1,1.0816055801383564,3
CLDN22,1.079745349054972,2
NID1,1.0797397507126785,3
TNS2,1.0780672988095383,3
PDPN,1.0761300118108525,3
MFN2,1.0759565150436592,3
SLC23A2,1.0746317785029855,3
STMP1,1.0744802930982862,3
GLP1R,1.0736670088326656,3
LRRC51,1.0734545933040163,3
PPCDC,1.072990052327535,3
NFAM1,1.0719533505108756,3
VSTM4,1.0712311691472793,3
HOXB2,1.0703183854565557,3
ZFP46,1.0699289239329905,3
2810025M15RIK,1.0687255695706297,3
CCL9,1.0680447282329057,3
RN18S|RN18S-RS5,1.068026053307821,3
POLN,1.0663422165323762,3
CMBL,1.065565998454805,3
HYAL1,1.0638856759331399,3
GM13328,1.0638639848805629,2
RAMP2,1.063226513164513,3
DOCK8,1.0607362213191047,3
LMF1,1.0606612170524545,3
SPECC1L,1.0603128088876324,3
PRKAG3,1.060166726098511,2
PLA2G2E,1.05923903531518,3
U2AF1L4,1.0584019405681797,3
KIT,1.057814915144979,3
FOXK1,1.0569092176648913,3
PEMT,1.0568883725672749,3
PCDH17,1.056345965605713,3
LYVE1,1.0563158498868592,3
SAMM50,1.0554511163005456,3
VWA8,1.0554360091515458,3
LY6C1,1.0552500585480484,3
ACAA2,1.0547253323671113,3
SLC5A6,1.0539294506176233,3
GRK5,1.0537614162612312,3
TIMM8B,1.0529057613374326,3
H1F0,1.0515687831101823,3
BACE2,1.0512279114178622,3
KALRN,1.050482355622379,3
LBH,1.0504003478320365,3
RRM2B,1.0501550701429232,3
BABAM2,1.050079514740435,3
PDXDC1,1.0497573990763134,3
GPX4-PS2,1.049733975134855,3
PTPN12,1.048314300551551,3
FBXO24,1.0480889664643909,2
NCOA4,1.0476734169102309,3
ZFP185,1.0465555618351772,3
RBMS3,1.0464985672714349,3
CARHSP1,1.0454190687730565,3
KAZALD1,1.0448892638478078,3
UBTD1,1.0447941221234558,3
EZH1,1.044701508446019,3
SEC14L1,1.0442932659008681,3
GID8,1.0442498115336694,3
DCAF11,1.0440312828545084,3
TMCO1,1.042297061591368,3
PCDHB18,1.0422254558143544,2
HYI,1.0420661137839728,3
PHF13,1.0419200038594305,3
HIPK1,1.041793448199152,3
JAG1,1.041445344637645,3
GRCC10,1.0408113129657757,3
DNAJA3,1.04061835642553,3
GM26397,1.039194212468413,2
RETSAT,1.0375967656802605,3
GP1BB,1.0371538214890061,2
SDS,1.0361273619694182,2
MTUS1,1.035946673478309,3
TSC22D1,1.0322281728985263,3
FBLN2,1.0319477271984963,3
MPC1,1.0315037893155754,3
NDUFS8,1.0314529951445413,3
DNAJB9,1.030712567465618,3
NDUFA12-PS,1.0301261976116025,3
KRT87,1.0291628430350739,2
GBP2,1.0287384224454976,3
ADCK2,1.0280409443543665,3
GM17040,1.028003088680403,2
GEM,1.0279943800065166,3
NDUFA12,1.027400210837059,3
NR1H3,1.0265942023178793,3
HADHA,1.026528237409799,3
NR2F6,1.0259249447445298,3
ALG9,1.0255713927081767,3
SFT2D1,1.0253056822433726,3
SLC39A1,1.0252706452525693,3
ISOC2B,1.025099543654603,3
PRDM16,1.0249047795698134,3
DPT,1.0245422512043536,3
NFIB,1.0237268865565157,3
CTLA2A,1.0236389193918185,3
MAMLD1,1.0235166323297604,3
EMC3,1.0233757309688236,3
DUSP3,1.0233474630858457,3
SFTPC,1.0230013444521995,2
PLSCR2,1.0219722818852326,3
GM6375,1.0217852406422896,2
NDUFA3,1.0217757502563805,3
SHISA5,1.0217161633098468,3
RALB,1.0211695311960038,3
ZFP462,1.0210745244623325,3
1810021B22RIK,1.0206301933636628,3
TENM3,1.0205359865510581,3
FOXRED2,1.0204026977125806,3
RBFA,1.0193963616408652,3
CYB5D2,1.0188834353613527,3
DIDO1,1.0180789271281434,3
TMEM132D,1.017918470777681,2
PARD3,1.017507997623992,3
TLR5,1.0169688048263281,3
CLDN18,1.0163162449883214,2
TRPM4,1.016110575952755,3
S100A13,1.0149318107392704,3
WFS1,1.0137594600111244,3
CBR2,1.0136047712447573,3
ZFP108,1.013275941900849,3
CHI3L1,1.013209497865038,3
MTFP1,1.0126859152747085,3
CHRNA1OS,1.012532797507681,2
XPNPEP1,1.0123079499918781,3
SERPINA9,1.0111602517240919,3
AK1,1.0095070068653142,3
GSTZ1,1.008042318754588,3
GNPTG,1.0079338089459904,3
ACP5,1.0076708807295554,3
COX1,1.0061285753910985,3
CAV1,1.0044643374566933,3
DTD1,1.0042656838408688,3
ERCC1,1.0038800440500504,3
TMEM38B,1.0034009795918453,3
MYRIP,1.003285780544666,3
ITGB8,1.002942379775847,3
SFXN5,1.0028776569192956,3
SACM1L,1.0027433235091232,3
DDT,1.001987294837224,3
PLBD1,1.0010048396666973,3
CTSZ,1.0003331769049426,3
GGH,0.9997903738992893,3
RRAS,0.9968741816725718,3
TGOLN1,0.9966618803555081,3
PDHX,0.9960763699242089,3
QPCTL,0.9948838591121735,3
ND3,0.9940802995584382,3
FAM171A1,0.9938903686308739,3
OSMR,0.9935367173739857,3
THEM4,0.993471348152914,3
SCARB2,0.993445984976488,3
TSHZ2,0.993423840345249,3
RTN4RL1,0.9932075045519936,3
SPART,0.9930611947499793,3
POLDIP2,0.9930548468513031,3
HC,0.9930069465433017,3
CYCS,0.9918980586152388,3
IGF2R,0.9914809276467683,3
COX6C,0.9914785687918696,3
NDUFB4C,0.9910747446749258,3
VSIG2,0.9908653087840598,2
GM5144,0.9908264279237687,2
SQSTM1,0.9905689931105194,3
KLHDC2,0.9899761977974814,3
GABARAP,0.9895012435226609,3
DNAJC15,0.9893970489045611,3
EMCN,0.9879553581522753,3
RCAN1,0.9870816145921596,3
TRIM14,0.9868702865464801,3
FAM222B,0.9868021351096633,3
TNFAIP2,0.9864089830521494,3
AK3,0.9855463588260314,3
ACOT9,0.9851616804011352,3
EPHX1,0.984573341099507,3
C9ORF72,0.9845104631883638,3
C2CD2,0.9842493348427014,3
ZDHHC5,0.9840335409789581,3
JAM3,0.9838815698183717,3
GM16364,0.9836700502476837,2
POR,0.9834150103385347,3
SDF4,0.9833387582671668,3
FADD,0.9831954052032909,3
HTRA3,0.9828685021586939,3
IRF2BP2,0.9828372743104262,3
GPR152,0.9825256244888136,2
C1QA,0.9817951651407227,3
IL3RA,0.9812373017913432,3
CIDEC,0.9811597642856166,3
BLOC1S1,0.9811447331303339,3
RHOJ,0.9809737609489861,3
DECR2,0.9806598542928358,3
ELOA,0.9806289037591056,3
NOA1,0.9804504873213841,3
TMEM53,0.9803149681493671,3
PNP2,0.979363742241321,3
COPZ2,0.9782396236738963,3
MRC2,0.9778415699991077,3
CD68,0.9775496289439106,3
GRPEL1,0.9774299005993177,3
IFNLR1,0.9771338011009517,3
CST3,0.9770966461986866,3
HRCT1,0.976873945971901,3
TREML1,0.976645274800271,2
NDUFS6,0.9765639459559049,3
ENPP5,0.9757190180799057,3
CSRP2,0.9755369920653679,3
CEPT1,0.9754054943502842,3
MPP3,0.9746539022980549,2
ANKS6,0.9739558102472056,3
PECR,0.9738622039481113,3
NPEPL1,0.972520867470822,3
VNN3,0.9714572126670656,3
ALDH1L1,0.9713636924744863,3
MRM3,0.9707920438850913,3
GM2541,0.970553803980297,2
EPS8,0.9705015927216637,3
ATP5MF,0.9703930051531923,3
MS4A4D,0.9695376904933274,3
TGFA,0.9693770224343058,3
MROH7,0.9693434723373319,2
F11R,0.9693361574464584,3
DDRGK1,0.969019002412724,3
S100A4,0.9688648601494578,3
SNX7,0.9688357942787297,3
ENTPD6,0.9686955529695543,3
SMAGP,0.9685236349272518,3
TWSG1,0.9681552163468506,3
SMIM1,0.9673473401655471,3
RARRES2,0.9670802532242524,3
ATP6V0E,0.9669667510838194,3
FDX1,0.9669222361796382,3
FCGR1,0.9668385393857181,3
STYXL1,0.9665217354855956,2
CD302,0.9664995070190256,3
ENTREP1,0.9656781320431018,3
SDHD,0.9650338530968084,3
ZCCHC24,0.9641069202109959,3
IFT46,0.9640820669858677,3
GUCY1A1,0.9640673717290635,3
ITGA6,0.9639596125212707,3
HSD17B12,0.9636225350734405,3
LAPTM4B,0.9631400892992699,3
TLCD1,0.9627661026496789,3
PLCH2,0.9622992620124758,3
ISCA1,0.9622705230189547,3
CECR2,0.961658116581004,3
H3F4,0.9602015559557047,2
GPAT3,0.9598622955543488,3
FADS2,0.9592657437314985,3
ZFP516,0.9585983910993021,3
DPF3,0.9585119813627131,3
ATF4,0.9582879401520183,3
HMOX1,0.9580880552591841,3
GLB1L2,0.9580666960705081,3
SMIM22,0.956742505742753,2
COQ9,0.9562189300406718,3
GPNMB,0.9554381677548512,3
WDR35,0.9540429213433375,3
PRSS12,0.9527946980057812,3
CCN1,0.9523727369175138,3
FEM1A,0.9523133210513701,3
DAZAP2,0.9517536487434434,3
GFRA3,0.9512915704573548,2
AACS,0.950897797713262,3
TAL1,0.9506687724253838,3
TPSAB1,0.9506304033684659,2
FLRT1,0.9489875141584238,3
MYL6,0.9489283260670293,3
MICOS13,0.9489082346581225,3
MLST8,0.9489078077187868,3
FABP3,0.9486652090156057,3
RUFY4,0.9483868404736474,3
CELA1,0.9481564691550606,3
