sample_id,geo_accession,geo_series_accession,geo_pubmed_id,geo_sample_title,geo_subject_id,donor_or_line_id,ipsc_line_id,geo_source_name_ch1,geo_cell_line,geo_cell_type,geo_treatment,geo_title_organoid_type,geo_title_microglia_condition,geo_title_spaceflight_condition,geo_title_replicate,geo_biosample_accession,geo_sra_accession,geo_metadata_status,geo_metadata_source
GSM8115892,GSM8115892,GSE259421,39441987,"Subject1, Cortical organoid, without microglia, Ground1",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",cortical_neural_organoid,without_microglia,Ground,1,SAMN40179199,SRX23771853,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115893,GSM8115893,GSE259421,39441987,"Subject1, Cortical organoid, without microglia, Ground2",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",cortical_neural_organoid,without_microglia,Ground,2,SAMN40179198,SRX23771854,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115894,GSM8115894,GSE259421,39441987,"Subject1, Cortical organoid, without microglia, Ground3",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",cortical_neural_organoid,without_microglia,Ground,3,SAMN40179197,SRX23771871,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115895,GSM8115895,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, Ground1",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",cortical_neural_organoid,with_microglia,Ground,1,SAMN40179196,SRX23771872,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115896,GSM8115896,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, Ground2",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",cortical_neural_organoid,with_microglia,Ground,2,SAMN40179195,SRX23771873,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115897,GSM8115897,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, Ground3",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",cortical_neural_organoid,with_microglia,Ground,3,SAMN40179194,SRX23771874,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115898,GSM8115898,GSE259421,39441987,"Subject2, Cortical organoid, without microglia, Ground1",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",cortical_neural_organoid,without_microglia,Ground,1,SAMN40179193,SRX23771875,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115899,GSM8115899,GSE259421,39441987,"Subject2, Cortical organoid, without microglia, Ground2",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",cortical_neural_organoid,without_microglia,Ground,2,SAMN40179192,SRX23771876,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115900,GSM8115900,GSE259421,39441987,"Subject2, Cortical organoid, with microglia, Ground1",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",cortical_neural_organoid,with_microglia,Ground,1,SAMN40179191,SRX23771877,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115901,GSM8115901,GSE259421,39441987,"Subject2, Cortical organoid, with microglia, Ground2",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",cortical_neural_organoid,with_microglia,Ground,2,SAMN40179190,SRX23771878,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
