"","GSM8115892","GSM8115893","GSM8115894","GSM8115895","GSM8115896","GSM8115897","GSM8115898","GSM8115899","GSM8115900","GSM8115901","GSM8115902","GSM8115903","GSM8115904","GSM8115905","GSM8115906","GSM8115907","GSM8115908","GSM8115909","GSM8115910"
"ENSG00000000003",3842.0614067664,5162.63550637744,4938.08154926425,6092.28679418368,5154.88567210761,5675.90993659448,1758.79660917928,1606.61624651848,2246.52138933539,1983.6543581553,3468.99105815681,4022.71766840596,4996.53801137933,6663.81247549934,4842.60864855518,1429.85273653813,1654.99001351534,1764.04959667765,2023.37499260435
"ENSG00000000005",11.9507173653039,8.33307084152998,19.2388604136818,15.1573177351298,17.1960125870774,43.8716954769372,82.7572797784115,7.86086164149975,19.9431407601555,13.9873929722983,30.1746016572995,27.9649094599706,51.2054983297199,11.543226808013,36.6903389960049,27.4658295496746,21.3936354259854,18.0798813725396,32.985081961179
"ENSG00000000419",4720.5979478925,3597.10048335561,3920.82228577958,3213.38440848291,3206.24431161777,3675.80628230203,2518.3377045433,2776.09842810421,3002.52274002918,2873.43663782593,3302.4456553152,3481.29239952132,3688.85276286731,3443.28016887491,2857.60402082124,2950.96460644808,2258.27476776708,2735.0142534517,2635.4166679673
"ENSG00000000457",116.034176231075,112.532787601948,159.601742445299,102.77544429083,170.706382199585,138.860299000357,113.446804505779,148.141938377754,115.992753692477,145.233608787377,172.13235299778,129.092470019337,157.801651623528,106.177516954358,166.128733884128,150.978466438625,146.846574049128,121.346649193595,160.758471332656
"ENSG00000000460",255.288643835256,226.760445269095,141.516598769232,483.622220478297,169.59411902488,238.607223306593,140.415618475174,130.830700895977,135.167570789402,144.096015126269,279.946266140306,424.712818373062,315.887195411419,206.643302670985,277.24487698328,177.806405436817,145.47429606863,136.083494722281,126.422980489519
"ENSG00000000938",2.90226374883827,0,2.45547542167542,1.33155475342186,0,0.910703746251956,0,3.80423440652806,8.00531325466413,1.55146816888364,4.35444479678928,0.879907178280938,4.92803560185524,11.6297387090665,2.40912061452181,0,3.60563786346226,4.11483370068872,6.06589185721062
"ENSG00000000971",1.02089399488045,0,2.35576858427549,2.72033992563646,3.9227709571421,2.2239487208586,9.49851165465219,13.7834074798868,5.34837567119009,8.95692139233118,6.62218471142423,0.781475914507001,4.06474946575692,0,17.7698012478645,10.4088546696304,13.6012309881692,2.64372014915496,10.4468306149076
"ENSG00000001036",280.790737224684,426.44703981876,514.01360402349,276.734388326103,253.418174505007,402.079563347117,583.562494446888,715.867169402388,811.56594973457,944.21152359017,474.877678632107,359.203158532148,569.343435798428,725.944798950209,427.210413083879,333.483910033206,421.560434626109,569.144481307068,674.072454759518
"ENSG00000001084",183.684195931672,254.898240543447,342.184267899974,131.417071084845,192.393388517784,285.068492095695,118.22234356696,284.484082588381,200.714170389668,172.072978507939,192.121943533542,222.019176377337,241.779903316158,271.724132494452,173.33268471536,121.974510336156,172.585305508329,165.66549616999,131.16407447628
"ENSG00000001167",450.133097418054,764.043880875922,468.455329111983,663.858780746403,392.548855930138,437.319308023151,502.905000391098,469.342790760416,497.315823560026,546.200692743452,559.863526608557,609.67878865126,508.416505941477,455.559084041462,491.976566042984,370.163888780781,520.145875173006,460.442808497092,519.142101212117
"ENSG00000001460",105.697649136217,179.676395392871,240.03276132185,151.716271142506,161.185120850371,241.113838112905,109.988644320188,69.0637051940197,87.1684934100859,46.7887715894742,247.065088801957,172.890948089482,177.212931278304,228.921100636675,232.732785429523,128.885562552118,87.4835602019164,51.9780593286248,54.225335893339
"ENSG00000001461",403.538509802203,288.999937659786,413.155082249546,380.502984419053,381.355293145772,307.348767825589,361.903140634381,241.926209499193,249.032822662788,306.465223236152,437.231095749449,358.116775475615,326.539611107844,240.243360417859,309.532863182655,408.249535628197,525.878672456155,397.398287470491,357.495522305759
"ENSG00000001497",841.029273602247,980.220253790986,558.18567734964,1212.95560214693,450.774518095898,657.942765466021,705.050221427345,811.336585612291,729.092330465689,810.608558920321,682.08212167001,695.907193668439,620.947709473879,839.715254807431,924.501971710897,809.436604912663,816.650534629362,853.824069240864,888.070351565022
"ENSG00000001561",135.564149878916,155.503711162626,182.354954360904,152.637603669839,132.620266134262,207.6739417689,195.390883582654,215.075101253509,185.918256369956,180.631713852898,183.029197500587,266.944015757689,253.181611608876,223.611345573354,154.112445110247,275.600715464519,257.092776367688,192.838518676869,142.954051268427
"ENSG00000001617",133.000615357412,66.9034814061809,151.334793819511,86.3328053793033,132.349421864629,50.7860131057569,117.065533808028,93.1419305113073,81.3530501492932,74.7470598416908,93.6699395146076,64.0408189676974,56.4921784575652,73.0463360956651,96.9659810522322,160.956138457932,102.589487688803,90.5072481397503,88.5542360681048
"ENSG00000001626",0,0,0,0,0,0,1.01686937278794,11.612157544001,4.19990849763759,0,6.65787897689275,0,1.20387133276824,0,3.38959327281001,0,12.3184742899219,0,12.6654430747275
"ENSG00000001629",314.291997845712,229.95345803565,385.963535218139,425.042509457259,353.19149576537,417.818714065377,480.738365842971,437.13334866356,400.81338415011,371.066604043352,400.109449313817,388.706632912839,311.28258266275,375.700841206547,365.547656728376,752.861490945022,562.984781795182,537.4651754069,660.120045461488
"ENSG00000001630",4447.50279691913,3341.57161692949,5234.6469902625,3114.44535871878,4541.81219776911,5583.18186356402,6364.59764742672,4973.77928734447,6153.23673078559,5957.20864659494,3911.1050191609,3066.43580419964,3913.65004668883,5039.24569917576,3146.4017928485,3415.22271821917,4347.17811242023,3514.82578164856,3999.20013506449
"ENSG00000001631",290.364126767978,277.43688767587,409.364655199108,673.162782380999,375.506193937735,572.506222931958,583.441992149992,450.971480262044,475.389065137719,472.542055442301,504.518449307204,510.757669176666,530.09032006031,355.311165785798,458.903895750117,709.952567414369,678.933727736923,681.814394810759,684.153491066251
"ENSG00000002016",63.29880716777,100.718820675975,84.4688154052718,30.5546592936072,90.9637738176871,95.3894985188963,76.875883223083,148.451468786295,104.936171247162,124.410618096431,86.0374548167106,134.34506119288,109.578303412969,103.191365867199,79.1108135519939,63.7546834746042,154.645973643654,117.142177585585,101.055557592263
"ENSG00000002330",2706.60024916558,2898.66381951655,2133.89480868907,3735.5870439359,2483.06410128944,2448.4367611609,3390.74512248061,3757.25441966312,3244.71498415581,3223.5068898854,2386.07375144365,2189.40861808,2488.56394879084,2818.61620790295,2550.22133992792,3197.05955948073,2918.50138327513,3220.1172469143,3301.47641129955
"ENSG00000002549",931.982149575758,1357.58350135514,952.042263549273,1539.94845620661,832.985698533343,1079.3451238814,701.421030465594,909.563079278499,911.8329744974,1038.41927873708,792.572768457571,946.818544326494,1140.79328934527,1683.08225882698,904.193288955878,568.676393260299,749.900786634496,817.144465548251,1116.01638703038
