"","GSM8115892","GSM8115893","GSM8115894","GSM8115895","GSM8115896","GSM8115897","GSM8115898","GSM8115899","GSM8115900","GSM8115901","GSM8115902","GSM8115903","GSM8115904","GSM8115905","GSM8115906","GSM8115907","GSM8115908","GSM8115909","GSM8115910"
"ENSG00000000003",3464,5321,5038,7785,5205,5381,1677,1653,2214,1938,4831,4750,6018,6723,7417,1447,1693,1755,2282
"ENSG00000000005",15,8,25,26,17,47,90,11,19,14,48,36,70,15,59,27,25,20,40
"ENSG00000000419",4050,3603,3991,3857,3314,3367,2696,2933,3223,2841,4610,3978,4484,3637,4299,3110,2547,2804,3070
"ENSG00000000457",98,123,146,116,146,113,123,117,141,135,201,183,142,125,230,162,173,168,190
"ENSG00000000460",229,256,160,516,179,239,146,133,170,151,344,415,360,243,378,165,156,152,144
"ENSG00000000938",5,0,5,0,0,3,2,2,4,2,10,2,7,6,5,0,5,5,9
"ENSG00000000971",0,0,0,0,0,2,1,2,1,2,2,0,0,0,3,3,2,1,3
"ENSG00000001036",151,220,316,187,148,210,357,460,501,509,370,247,398,467,378,252,285,371,476
"ENSG00000001084",159,217,330,166,191,272,164,295,227,171,252,282,299,281,264,148,157,184,184
"ENSG00000001167",390,526,371,621,330,380,502,459,479,447,592,612,439,474,621,428,554,524,564
"ENSG00000001460",123,170,285,157,164,194,159,97,99,60,369,230,261,288,311,165,142,44,91
"ENSG00000001461",412,363,511,405,447,271,496,371,360,294,607,380,402,258,581,574,671,409,433
"ENSG00000001497",594,1005,653,1265,522,662,808,856,826,795,1016,864,808,949,1381,637,980,933,1126
"ENSG00000001561",127,155,201,186,144,194,205,242,196,175,250,306,309,252,242,271,273,196,172
"ENSG00000001617",138,105,144,129,165,60,136,116,99,96,161,83,89,86,178,218,117,116,125
"ENSG00000001626",0,0,0,0,0,0,2,10,4,0,7,5,5,3,7,1,8,3,12
"ENSG00000001629",396,345,408,602,443,456,576,520,480,439,559,497,524,544,567,838,609,719,650
"ENSG00000001630",130,79,111,174,203,144,317,252,289,256,224,152,192,75,231,176,214,213,234
"ENSG00000001631",117,126,156,116,153,180,166,215,173,172,234,232,232,174,264,326,386,337,348
"ENSG00000002016",125,175,134,120,146,125,161,204,147,177,198,208,149,196,225,185,231,213,222
"ENSG00000002079",1,2,4,0,4,5,5,2,2,0,1,9,3,0,4,6,11,5,6
"ENSG00000002330",379,370,355,843,481,359,610,749,609,576,611,562,671,537,708,615,593,660,594
"ENSG00000002549",825,1290,973,1867,869,954,758,995,963,1020,1101,1168,1355,1831,1372,655,837,869,1353
"ENSG00000002586",0,13,0,10,0,2,0,0,0,0,0,0,1,8,0,1,0,0,0
"ENSG00000002587",151,176,160,83,117,126,131,118,106,68,179,182,337,582,217,83,102,72,88
"ENSG00000002726",0,0,0,0,2,0,2,1,1,1,1,0,1,0,0,2,1,2,1
"ENSG00000002745",16,10,4,3,9,10,93,11,20,25,8,5,5,2,8,28,57,19,21
"ENSG00000002746",2236,3232,3993,4558,4056,5180,308,273,267,270,3294,2998,4372,2595,4231,213,236,259,248
"ENSG00000002822",13,15,16,0,26,18,16,8,8,12,28,17,16,5,21,4,6,12,32
"ENSG00000002834",1032,1291,1012,1439,1077,846,1404,1326,1508,1255,1502,928,1079,1118,1687,1090,995,1070,1006
"ENSG00000002919",764,861,761,1139,697,518,569,629,624,626,1296,761,777,712,1329,603,653,643,763
"ENSG00000002933",141,50,490,185,212,162,39,18,20,17,344,105,259,60,193,39,36,13,18
"ENSG00000003056",1208,1510,1639,1865,1260,1563,1077,1326,1031,1134,2376,2170,2297,1945,2559,1017,1221,1250,1549
"ENSG00000003096",500,731,871,897,652,704,500,263,407,256,820,454,792,681,1184,275,375,184,244
"ENSG00000003137",313,170,264,202,226,137,80,36,19,25,244,132,120,301,215,133,139,33,28
"ENSG00000003147",566,754,683,714,423,424,669,615,485,455,907,725,581,832,786,739,877,519,727
"ENSG00000003249",944,1548,1054,2021,1058,1074,1179,1274,1100,1012,1272,1161,1423,1222,1788,866,935,1007,1135
"ENSG00000003393",584,752,680,780,607,628,770,705,722,711,929,692,778,774,911,702,848,728,938
"ENSG00000003400",0,3,0,0,0,0,7,6,4,2,2,0,1,1,1,2,4,1,3
"ENSG00000003402",441,297,411,355,524,297,190,183,187,141,404,342,355,194,312,125,112,135,116
"ENSG00000003436",9,27,13,16,32,12,70,30,112,73,44,15,33,8,80,27,14,38,36
"ENSG00000003509",229,330,385,425,247,305,348,344,332,322,458,445,440,594,536,354,477,362,455
"ENSG00000003756",466,601,548,785,597,642,1033,1116,975,939,804,976,708,864,1037,1333,1308,1491,1604
"ENSG00000003987",255,298,312,341,295,294,578,574,535,583,588,447,463,442,742,792,1020,804,903
"ENSG00000003989",34,11,28,26,45,19,57,97,93,98,49,37,40,5,63,82,34,76,64
"ENSG00000004059",6335,5307,5288,8150,5783,5142,6417,8101,6697,6801,7710,6649,6340,6040,8504,6086,5996,6453,6899
"ENSG00000004139",108,146,102,245,134,110,187,175,168,163,145,147,137,166,239,183,195,204,203
"ENSG00000004142",2647,3720,2958,4630,2463,2354,2744,3342,3052,3280,3841,2868,2985,3913,4598,2564,2813,2827,3472
"ENSG00000004399",480,414,432,485,442,311,156,104,123,78,492,323,316,177,491,101,131,104,99
"ENSG00000004455",1851,2144,2279,2908,2259,1945,924,941,984,905,2933,1968,2036,1919,3371,975,1189,1088,1290
"ENSG00000004468",1,0,4,3,1,1,12,25,47,43,2,5,6,4,9,18,13,30,26
"ENSG00000004478",2453,2521,3238,3293,2779,2126,2996,2333,2564,2085,2402,1223,1834,2573,2761,1429,2158,1385,1732
"ENSG00000004487",4616,8689,5480,9949,5592,5521,4430,4383,4717,4701,6410,6128,5877,6317,9335,2727,4186,4058,5096
"ENSG00000004534",1076,1859,1419,1749,1448,1244,2113,1851,1946,1770,1523,1427,1301,1705,1870,1505,2062,1865,2230
"ENSG00000004660",121,122,99,181,118,83,118,159,140,126,199,193,133,162,190,236,186,194,159
"ENSG00000004700",215,284,266,291,227,281,225,247,305,285,378,420,381,332,456,170,239,281,315
"ENSG00000004766",143,180,240,149,182,171,271,250,220,194,236,228,265,328,205,274,272,309,319
"ENSG00000004776",1,0,1,1,2,2,5,13,17,14,9,2,7,5,1,6,8,18,12
"ENSG00000004777",558,545,440,594,673,430,1393,1272,1311,1172,820,705,586,475,1011,1192,991,1060,1055
"ENSG00000004779",8658,3596,8921,5532,7704,7894,7189,9482,7676,7211,9062,8336,10352,5744,8710,9738,7112,7286,7399
"ENSG00000004799",49,54,331,68,153,81,86,30,51,40,129,62,192,246,164,26,35,38,46
"ENSG00000004809",0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0
"ENSG00000004838",24,36,38,43,40,34,90,88,88,73,78,51,54,96,86,57,77,61,79
"ENSG00000004846",4,8,4,6,8,6,16,11,14,9,11,11,5,10,6,5,9,12,15
"ENSG00000004848",961,1505,890,2016,965,1032,1852,1704,2065,1837,698,935,870,1410,816,1542,1323,2145,2036
