"","GSM8115911","GSM8115912","GSM8115913","GSM8115914","GSM8115915","GSM8115916","GSM8115917","GSM8115918","GSM8115919","GSM8115920","GSM8115921","GSM8115922","GSM8115923","GSM8115924","GSM8115925","GSM8115926","GSM8115927","GSM8115928","GSM8115929","GSM8115930","GSM8115931","GSM8115932","GSM8115933"
"ENSG00000000003",1965,1216,2837,1832,2069,3766,4238,4135,4003,4194,3146,4728,2402,2123,1421,2242,2043,3294,2192,2415,2901,2921,2903
"ENSG00000000005",0,0,0,1,1,17,11,23,25,13,16,37,3,6,0,1,4,19,18,25,17,29,13
"ENSG00000000419",4117,3435,4149,3819,4209,3092,3097,2984,3846,3412,3317,3787,3963,2734,3560,4339,3582,3490,2973,3385,3214,3081,3315
"ENSG00000000457",119,96,141,124,99,104,98,98,58,109,74,106,163,150,138,141,118,142,165,127,164,200,155
"ENSG00000000460",125,34,67,67,84,108,72,99,84,103,74,83,149,142,79,139,131,150,153,155,126,189,173
"ENSG00000000938",2,5,10,1,0,7,0,2,6,4,4,10,6,3,0,7,3,7,8,6,1,17,8
"ENSG00000000971",52,90,28,49,63,8,2,2,1,6,21,3,42,30,24,42,71,4,4,2,1,2,6
"ENSG00000001036",861,650,1405,781,877,1309,1555,1346,1406,1185,1150,1655,1118,964,863,1106,902,1382,1246,1256,1111,1455,1098
"ENSG00000001084",353,663,469,673,623,347,306,275,269,303,306,336,322,271,1068,1117,534,402,490,361,277,395,463
"ENSG00000001167",176,183,203,108,159,168,137,150,110,139,133,130,220,243,175,188,159,192,238,244,162,263,174
"ENSG00000001460",408,431,469,438,396,504,487,450,411,423,319,532,443,301,578,526,394,521,375,397,336,475,433
"ENSG00000001461",575,477,549,472,487,515,498,456,419,534,419,455,630,687,625,686,578,542,525,603,501,625,537
"ENSG00000001497",942,508,1166,631,492,793,917,781,606,742,799,943,1145,1014,755,868,758,919,1137,925,746,1429,1105
"ENSG00000001561",724,481,561,582,665,413,333,432,460,420,393,497,670,641,436,805,514,471,449,558,373,504,408
"ENSG00000001617",115,189,117,131,168,120,84,108,67,104,142,124,195,182,165,183,190,102,157,158,131,168,160
"ENSG00000001626",248,165,208,210,241,26,18,9,23,24,35,17,206,204,78,249,210,15,79,48,20,39,41
"ENSG00000001629",589,817,631,630,775,690,536,582,582,548,818,576,536,672,618,644,561,523,507,609,692,563,645
"ENSG00000001630",142,125,59,144,119,207,69,153,89,214,144,191,153,161,38,114,93,109,134,188,167,160,199
"ENSG00000001631",116,150,132,99,130,155,119,146,108,110,201,172,113,233,144,181,130,302,219,251,220,230,298
"ENSG00000002016",113,114,107,93,99,107,104,132,128,91,156,132,155,174,87,153,108,152,187,135,165,220,130
"ENSG00000002079",0,1,0,1,4,0,0,3,0,0,2,0,2,2,11,0,0,0,2,5,3,0,5
"ENSG00000002330",471,569,847,507,456,821,902,771,1068,740,725,839,678,657,706,579,638,1064,793,922,902,1141,932
"ENSG00000002549",1042,688,1462,765,863,1100,1394,1272,1220,962,1181,1436,1140,1093,1029,992,828,1244,1122,1249,923,1405,1107
"ENSG00000002586",1,1,19,1,0,0,25,0,21,0,1,1,1,0,9,0,0,9,0,2,0,0,0
"ENSG00000002587",66,56,188,203,79,59,41,60,72,39,34,41,96,60,48,69,76,19,49,49,35,53,40
"ENSG00000002726",73,39,105,102,53,53,37,58,35,46,30,35,108,66,72,75,88,54,48,76,47,78,56
"ENSG00000002745",0,1,0,0,0,4,0,0,11,2,0,0,0,0,0,1,0,0,0,3,0,0,2
"ENSG00000002746",95,90,77,94,62,174,68,178,158,159,183,203,109,191,102,144,102,178,170,211,205,199,228
"ENSG00000002822",15,24,21,15,17,21,3,9,12,27,19,14,38,25,2,32,33,15,34,36,29,63,34
"ENSG00000002834",1353,1139,2062,1205,1196,1482,1380,1526,1305,1512,1612,1574,1480,1450,1360,1366,1281,1366,1411,1453,1253,1986,1599
"ENSG00000002919",803,512,1077,739,725,613,677,718,609,645,587,772,1127,789,883,865,804,659,761,792,605,1097,743
"ENSG00000002933",13296,10508,15762,11722,13488,3401,3758,3372,3001,3000,4384,4339,12471,8216,8191,10374,11035,3500,4819,5857,3657,5027,4306
"ENSG00000003056",2297,1294,2668,1928,1553,1842,2097,2123,1589,1894,1645,2232,2746,2673,2130,2443,1918,1977,2634,2674,1807,2974,2495
"ENSG00000003096",88,71,72,69,74,391,252,349,360,335,230,359,87,103,66,123,83,311,272,252,214,328,274
"ENSG00000003137",16,18,7,17,7,3,1,10,9,7,9,3,14,5,39,14,18,18,12,17,10,14,20
"ENSG00000003147",2839,2029,3216,2213,2024,683,970,763,853,761,852,964,2507,2107,2320,2725,2061,1026,1309,1396,868,1411,1091
"ENSG00000003249",2302,1791,2805,1922,1623,1647,1531,1726,1931,1590,1480,1850,2116,1741,1802,1590,1566,1326,1710,1678,1264,2059,1486
"ENSG00000003393",549,436,430,465,460,444,379,477,473,424,478,510,699,662,684,636,458,547,560,590,496,719,547
"ENSG00000003400",1,1,1,0,4,2,0,1,0,6,5,1,3,1,1,3,5,0,1,5,0,0,1
"ENSG00000003402",586,454,639,521,544,563,488,518,445,679,482,612,594,396,418,637,570,494,295,358,445,365,526
"ENSG00000003436",221,101,99,139,142,233,156,165,213,259,150,205,137,58,211,225,162,109,65,50,101,84,99
"ENSG00000003509",421,332,627,409,350,435,579,400,509,403,392,478,469,464,527,570,371,396,530,527,366,682,495
"ENSG00000003756",671,496,612,434,481,717,541,781,768,729,840,719,803,919,585,678,581,929,980,918,941,1225,1067
"ENSG00000003987",336,211,441,275,190,266,179,326,237,297,287,267,441,489,416,387,293,450,535,560,401,527,499
"ENSG00000003989",692,821,876,500,809,196,189,180,303,195,357,195,357,840,662,863,605,134,229,217,271,168,226
"ENSG00000004059",6083,4856,7309,5506,5661,6070,5872,6376,5507,6191,6622,7541,6953,6525,4340,6241,6120,4831,6460,6448,6041,7695,6621
"ENSG00000004139",148,103,188,127,76,175,187,205,192,181,136,182,186,140,212,124,106,127,157,182,147,289,156
"ENSG00000004142",2894,2001,4734,2412,2417,2867,3585,3356,3178,3013,3012,3694,3338,3077,3906,3427,2710,3017,3504,3408,2694,4597,3250
"ENSG00000004399",176,238,129,206,207,158,124,140,98,163,133,160,172,107,179,268,230,128,158,169,131,187,215
"ENSG00000004455",2769,1647,3344,2392,2607,1759,2058,2059,1693,1906,1648,2366,2962,2170,2368,3326,2894,2073,2030,2186,1916,2786,2114
"ENSG00000004468",4,3,0,2,0,4,0,7,0,4,5,6,3,0,1,7,0,0,2,4,0,3,3
"ENSG00000004478",1613,1123,2440,1659,1193,2412,2816,2005,2268,2414,1774,2609,1591,1311,2001,2009,1586,1841,1653,1607,1401,2165,1787
"ENSG00000004487",3348,2489,4385,2770,2217,3374,3595,3599,3233,3473,3171,3814,4254,4070,3534,3656,2800,3924,3763,3929,2925,4898,3774
"ENSG00000004534",1270,1143,1341,973,829,1129,1100,1030,1141,1128,1094,1212,1234,1295,1386,1327,1042,1452,1582,1120,1011,1416,1277
"ENSG00000004660",131,202,212,198,198,201,160,188,231,215,275,180,281,270,227,221,257,230,281,255,266,314,278
"ENSG00000004700",220,84,233,126,127,192,197,211,215,206,119,224,261,292,199,266,146,227,242,244,177,365,227
"ENSG00000004766",324,207,273,191,225,238,209,232,162,221,247,269,292,233,226,273,206,132,229,180,175,227,212
"ENSG00000004776",37,51,6,31,35,54,17,49,27,51,35,49,27,13,5,45,55,12,19,23,56,49,65
"ENSG00000004777",198,213,148,181,134,389,282,429,221,399,444,452,313,403,145,225,219,239,385,420,414,455,485
"ENSG00000004779",7890,7549,5190,7794,9679,6539,3954,6844,4666,7287,7973,8417,8364,7773,4466,9506,8587,4733,8335,8684,8383,8519,8212
"ENSG00000004799",1698,1424,1427,1343,1390,4674,3976,3354,4004,4021,2727,4822,1378,660,1483,2569,1622,3771,1552,1465,2271,1969,2977
"ENSG00000004809",0,0,0,1,0,1,0,1,0,3,0,1,0,0,0,1,3,0,0,0,1,1,4
"ENSG00000004838",152,74,146,153,119,885,1100,643,963,734,614,1073,140,47,136,79,135,531,359,367,407,515,442
"ENSG00000004846",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,2,2,1
"ENSG00000004848",761,574,1009,520,426,410,503,435,410,397,369,406,967,1051,798,811,801,456,480,525,491,729,549
"ENSG00000004864",989,716,1044,772,733,500,672,597,546,441,517,674,1015,626,803,875,816,663,575,622,535,702,560
"ENSG00000004866",1157,743,1543,850,780,1193,1068,1201,1250,1330,1126,1357,1178,1586,1015,1123,1001,1287,1452,1417,1046,1612,1254
"ENSG00000004897",1069,947,1140,889,984,1147,1003,1271,1107,1134,1240,1164,1165,1251,1102,1161,1040,1070,2005,1181,1285,1440,1245
"ENSG00000004939",0,1,0,5,0,1,3,0,0,0,0,3,3,1,0,1,0,0,12,3,4,3,3
"ENSG00000004948",0,0,0,1,2,6,3,2,0,1,4,2,0,2,0,4,1,0,0,3,4,3,6
"ENSG00000004961",1238,749,1542,926,1122,778,764,971,800,786,830,971,1302,1161,1125,1384,1285,885,1076,1148,831,1331,998
"ENSG00000004975",849,629,1218,736,580,992,1006,1029,995,876,946,1131,914,691,585,696,691,799,859,917,762,1121,958
"ENSG00000005001",345,273,513,347,340,85,64,82,67,67,119,118,414,215,295,343,370,117,150,163,68,201,128
"ENSG00000005007",380,454,513,291,341,267,302,221,311,232,278,237,455,336,466,345,375,294,374,344,314,403,346
"ENSG00000005020",282,311,281,296,317,177,121,167,152,165,179,163,270,298,271,351,261,161,190,194,186,167,182
"ENSG00000005022",6800,4824,9987,6974,8810,3582,4636,4460,4064,3785,4511,4662,5771,4523,6851,8981,7342,4103,4859,5090,4663,5518,4556
"ENSG00000005059",856,463,956,643,661,1581,2040,2006,1812,1807,1712,2199,963,603,723,829,730,1754,1384,1273,1518,1535,1538
"ENSG00000005073",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005075",3288,3916,2183,3190,3556,3281,1780,3240,2017,3107,3887,3730,3736,3543,1882,3401,3565,1907,3414,3666,4318,3810,3948
"ENSG00000005100",233,307,200,194,255,169,110,194,144,183,248,178,218,301,184,262,172,144,241,298,253,211,274
"ENSG00000005102",3,7,0,6,4,7,5,2,13,5,4,4,0,2,0,2,0,3,1,1,3,4,1
"ENSG00000005108",547,544,874,419,822,398,316,430,344,384,431,348,540,1027,540,652,592,357,349,517,420,495,367
"ENSG00000005156",278,252,296,221,270,371,272,318,244,360,317,332,271,304,232,292,253,319,352,389,331,441,370
"ENSG00000005175",1137,947,1000,895,748,1033,898,1029,1096,1079,940,1299,1082,1227,836,1096,845,1014,1211,1392,1132,1274,1216
"ENSG00000005187",17,12,9,19,19,15,16,9,10,3,7,11,20,9,12,37,31,0,8,8,10,14,19
"ENSG00000005189",123,84,202,81,69,167,182,160,117,123,135,157,124,134,139,129,92,194,205,172,197,252,158
"ENSG00000005194",2556,1830,3906,2455,2414,1909,2803,2308,2441,1999,1945,2696,3023,2488,3162,2940,2646,2385,2379,2648,1949,3221,2285
"ENSG00000005206",566,614,711,594,662,766,705,755,602,780,881,839,716,752,543,657,657,654,661,727,801,961,952
"ENSG00000005238",418,285,677,361,325,442,480,404,348,367,407,506,584,817,508,596,420,490,644,592,382,695,538
