task_id,source_id,contrast_id,gene_symbol,ensembl_id,predicted_log2fc_leo_or_iss_minus_ground
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_with_microglia_leo_or_iss_vs_ground,ATP1A2,ENSG00000018625,1.34616272438
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_with_microglia_leo_or_iss_vs_ground,PTPRH,ENSG00000080031,2.80260209733
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_with_microglia_leo_or_iss_vs_ground,PPP1R13B,ENSG00000088808,0.812231892093
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_with_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.0365830697119
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_with_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,0.392278045142
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_without_microglia_leo_or_iss_vs_ground,PAX6,ENSG00000007372,-0.959924951683
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_without_microglia_leo_or_iss_vs_ground,UTP18,ENSG00000011260,-0.863404200275
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_without_microglia_leo_or_iss_vs_ground,BID,ENSG00000015475,-0.873608537435
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_without_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.311413771312
draft_human_organoid_spaceflight,OSD-863,osd_863_no_known_diseases_without_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,1.1397894124
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_with_microglia_leo_or_iss_vs_ground,CXCL2,ENSG00000081041,-3.5852053546
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_with_microglia_leo_or_iss_vs_ground,LUC7L3,ENSG00000108848,0.926972300712
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_with_microglia_leo_or_iss_vs_ground,POMC,ENSG00000115138,-6.42828540123
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_with_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.159366113707
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_with_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,0.594555708784
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_without_microglia_leo_or_iss_vs_ground,NFIX,ENSG00000008441,-1.50170164906
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_without_microglia_leo_or_iss_vs_ground,SEMA3B,ENSG00000012171,1.53634611228
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_without_microglia_leo_or_iss_vs_ground,TRIT1,ENSG00000043514,0.923169309514
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_without_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.125495075433
draft_human_organoid_spaceflight,OSD-863,osd_863_primary_progressive_multiple_sclerosis_without_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,-0.890923816791
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_with_microglia_leo_or_iss_vs_ground,TNFRSF12A,ENSG00000006327,-0.647607956611
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_with_microglia_leo_or_iss_vs_ground,EXTL3,ENSG00000012232,-0.812090760272
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_with_microglia_leo_or_iss_vs_ground,ELN,ENSG00000049540,-1.53116395285
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_with_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.259120644668
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_with_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,1.58607910701
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_without_microglia_leo_or_iss_vs_ground,CAMK1G,ENSG00000008118,1.19717822123
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_without_microglia_leo_or_iss_vs_ground,ZNF200,ENSG00000010539,1.13998824206
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_without_microglia_leo_or_iss_vs_ground,SEMA3B,ENSG00000012171,0.729151066648
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_without_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,0.181497483875
draft_human_organoid_spaceflight,OSD-871,osd_871_no_known_diseases_without_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,2.96602606249
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_with_microglia_leo_or_iss_vs_ground,CFH,ENSG00000000971,-1.36745780658
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_with_microglia_leo_or_iss_vs_ground,PON1,ENSG00000005421,3.56568769531
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_with_microglia_leo_or_iss_vs_ground,TAC1,ENSG00000006128,1.11090750676
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_with_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.642219779803
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_with_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,-0.0425238041052
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_without_microglia_leo_or_iss_vs_ground,TSPAN6,ENSG00000000003,-0.665832497011
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_without_microglia_leo_or_iss_vs_ground,FIRRM,ENSG00000000460,0.941378538185
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_without_microglia_leo_or_iss_vs_ground,CFH,ENSG00000000971,-1.13920207358
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_without_microglia_leo_or_iss_vs_ground,TNMD,ENSG00000000005,-0.040245883475
draft_human_organoid_spaceflight,OSD-871,osd_871_sporadic_parkinson_disease_without_microglia_leo_or_iss_vs_ground,DPM1,ENSG00000000419,-0.129083386478
