baseline_id,variant_id,transform,scaling,top_variable_genes,task_id,status,validation_ok,release_status,n_predictions,macro_f1,balanced_accuracy,auroc,calibration_error,mission_discrimination,output_dir,predictions,metrics,run_manifest,fold_family,claim_boundary
organoid_nearest_centroid,tvg100_log1p_zscore,log1p,zscore,100,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5868055556,0.5897727273,0.5778409091,0.07292963702,,v9/human_organoid/reports/sensitivity/tvg100_log1p_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg100_log1p_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg100_log1p_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg100_log1p_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg500_log1p_zscore,log1p,zscore,500,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5101692505,0.5159090909,0.5676136364,0.024255169,,v9/human_organoid/reports/sensitivity/tvg500_log1p_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg500_log1p_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg500_log1p_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg500_log1p_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5194508009,0.5295454545,0.6147727273,0.02537185971,,v9/human_organoid/reports/sensitivity/tvg2000_log1p_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg2000_log1p_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg2000_log1p_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg2000_log1p_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg5000_log1p_zscore,log1p,zscore,5000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5324675325,0.5409090909,0.6920454545,0.02751515442,,v9/human_organoid/reports/sensitivity/tvg5000_log1p_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg5000_log1p_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg5000_log1p_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg5000_log1p_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg27986_log1p_zscore,log1p,zscore,27986,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.6679841897,0.6886363636,0.8789772727,0.1661161537,,v9/human_organoid/reports/sensitivity/tvg27986_log1p_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg27986_log1p_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg27986_log1p_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg27986_log1p_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg100_log1p_none,log1p,none,100,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5868055556,0.5897727273,0.5835227273,0.07231152302,,v9/human_organoid/reports/sensitivity/tvg100_log1p_none/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg100_log1p_none/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg100_log1p_none/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg100_log1p_none/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg500_log1p_none,log1p,none,500,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5711854793,0.5738636364,0.5784090909,0.05287778413,,v9/human_organoid/reports/sensitivity/tvg500_log1p_none/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg500_log1p_none/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg500_log1p_none/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg500_log1p_none/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg2000_log1p_none,log1p,none,2000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5213675214,0.5284090909,0.5982954545,0.02472171939,,v9/human_organoid/reports/sensitivity/tvg2000_log1p_none/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg2000_log1p_none/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg2000_log1p_none/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg2000_log1p_none/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg5000_log1p_none,log1p,none,5000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5062365591,0.5181818182,0.6443181818,0.02647105581,,v9/human_organoid/reports/sensitivity/tvg5000_log1p_none/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg5000_log1p_none/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg5000_log1p_none/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg5000_log1p_none/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg27986_log1p_none,log1p,none,27986,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.5760634463,0.5909090909,0.7204545455,0.07131266822,,v9/human_organoid/reports/sensitivity/tvg27986_log1p_none/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg27986_log1p_none/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg27986_log1p_none/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg27986_log1p_none/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg100_none_zscore,none,zscore,100,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.7083333333,0.7227272727,0.8136363636,0.1806039092,,v9/human_organoid/reports/sensitivity/tvg100_none_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg100_none_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg100_none_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg100_none_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg500_none_zscore,none,zscore,500,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.7326388889,0.7465909091,0.9204545455,0.2184822121,,v9/human_organoid/reports/sensitivity/tvg500_none_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg500_none_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg500_none_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg500_none_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg2000_none_zscore,none,zscore,2000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.7584818861,0.7693181818,0.9295454545,0.2445559995,,v9/human_organoid/reports/sensitivity/tvg2000_none_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg2000_none_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg2000_none_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg2000_none_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg5000_none_zscore,none,zscore,5000,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.6840277778,0.6988636364,0.8806818182,0.1761045148,,v9/human_organoid/reports/sensitivity/tvg5000_none_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg5000_none_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg5000_none_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg5000_none_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
organoid_nearest_centroid,tvg27986_none_zscore,none,zscore,27986,draft_human_organoid_spaceflight,evaluated,True,draft_not_frozen,84,0.6541176471,0.6772727273,0.81875,0.1598586239,,v9/human_organoid/reports/sensitivity/tvg27986_none_zscore/draft_human_organoid_spaceflight,v9/human_organoid/reports/sensitivity/tvg27986_none_zscore/draft_human_organoid_spaceflight/predictions.csv,v9/human_organoid/reports/sensitivity/tvg27986_none_zscore/draft_human_organoid_spaceflight/metrics.json,v9/human_organoid/reports/sensitivity/tvg27986_none_zscore/draft_human_organoid_spaceflight/run_manifest.json,default_sample_count_backed_folds,pilot_baseline_only_not_leaderboard
