source_id,glds_prefix,sample_id,raw_condition,disease_context,spaceflight_condition,true_label,microglia_condition,organoid_type,sample_table_file,parse_status,donor_or_line_id,ipsc_line_id,geo_sample_title,geo_cell_type,geo_treatment,geo_metadata_status
OSD-863,GLDS-716,GSM8115892,no.known.diseases...Ground.Control...without.microglia,no_known_diseases,Ground,Ground,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, without microglia, Ground1",iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115893,no.known.diseases...Ground.Control...without.microglia,no_known_diseases,Ground,Ground,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, without microglia, Ground2",iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115894,no.known.diseases...Ground.Control...without.microglia,no_known_diseases,Ground,Ground,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, without microglia, Ground3",iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115895,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, Ground1",iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115896,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, Ground2",iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115897,no.known.diseases...Ground.Control...with.microglia,no_known_diseases,Ground,Ground,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject1,051121-01-MR-017,"Subject1, Cortical organoid, with microglia, Ground3",iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115898,primary.progressive.multiple.sclerosis...Ground.Control...without.microglia,primary_progressive_multiple_sclerosis,Ground,Ground,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, without microglia, Ground1",iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115899,primary.progressive.multiple.sclerosis...Ground.Control...without.microglia,primary_progressive_multiple_sclerosis,Ground,Ground,without_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, without microglia, Ground2",iPSC-derived cortical organoid without microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115900,primary.progressive.multiple.sclerosis...Ground.Control...with.microglia,primary_progressive_multiple_sclerosis,Ground,Ground,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, with microglia, Ground1",iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
OSD-863,GLDS-716,GSM8115901,primary.progressive.multiple.sclerosis...Ground.Control...with.microglia,primary_progressive_multiple_sclerosis,Ground,Ground,with_microglia,cortical_neural_organoid,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,parsed,Subject2,AK003-01-MR-008,"Subject2, Cortical organoid, with microglia, Ground2",iPSC-derived cortical organoid with microglia,"ground control, no microgravity exposure",parsed_from_geo_series_matrix
