guard_id,fill_id,package_id,task_id,guard_check_id,guard_surface,guard_status,severity,evidence_artifacts,observed_value,required_value,source_blocker_fields,action_if_failed,mutation_policy,claim_boundary_impact
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,owner_metadata_file_present,owner_metadata_intake,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_summary.csv|v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv|v9/multispecies/reports/interaction_citation_metadata_fill/citation_descriptor_patch_preview.json,no_owner_metadata_file,owner_metadata_file_loaded,future_archive_identifier|release_version_string|release_date|publication_year|local_package_creators|local_package_contributors|publisher_maintainer_identity|local_code_license|local_metadata_tables_license|upstream_osdr_dataset_citation|repository_url|citation_cff_type,defer_archive_release_and_keep_diagnostic_metadata_only,prevent_descriptor_mutation,"No owner metadata means no authorship, license, version, or identifier can be applied."
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,owner_supplied_patch_preview_present,descriptor_patch_preview,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_descriptor_patch_preview.json,no_owner_supplied_values_no_descriptor_patch,patch_preview_available_not_applied,future_archive_identifier|release_version_string|release_date|publication_year|local_package_creators|local_package_contributors|publisher_maintainer_identity|local_code_license|local_metadata_tables_license|upstream_osdr_dataset_citation|repository_url|citation_cff_type,do_not_apply_empty_patch_preview,prevent_descriptor_mutation,Empty patch preview confirms that descriptor mutation would add inferred metadata.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,all_release_blockers_resolved,release_readiness,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,12,0,future_archive_identifier|release_version_string|release_date|publication_year|local_package_creators|local_package_contributors|publisher_maintainer_identity|local_code_license|local_metadata_tables_license|upstream_osdr_dataset_citation|repository_url|citation_cff_type,defer_archive_release_until_blockers_are_zero,prevent_archive_release_claims,Citable archive release remains blocked while any release metadata field is missing.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,archive_identifier_supplied,archive_identifier,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,future_archive_identifier_not_supplied,owner_supplied_identifier_or_explicit_no_archive_release_decision,future_archive_identifier,keep_no_archive_identifier_for_current_draft,prevent_identifier_mutation,"No DOI, SWHID, URL, or other archive identifier is claimed."
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,release_version_date_supplied,release_version,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,release_version_string|release_date|publication_year,release_version_string|release_date|publication_year,release_version_string|release_date|publication_year,do_not_use_build_date_or_draft_string_as_release_version,prevent_version_mutation,No frozen release version or publication year is claimed.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,creator_publisher_metadata_supplied,creator_metadata,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,local_package_creators|local_package_contributors|publisher_maintainer_identity,creator_list|contributor_roles|publisher_or_maintainer,local_package_creators|local_package_contributors|publisher_maintainer_identity,do_not_infer_authorship_or_publisher_from_repository_state,prevent_creator_metadata_mutation,"No creator order, contributor roles, or publisher are claimed."
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,license_rights_metadata_supplied,rights_metadata,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,local_code_license|local_metadata_tables_license,local_code_license|local_metadata_tables_license,local_code_license|local_metadata_tables_license,do_not_choose_spdx_or_custom_license_without_owner_review,prevent_license_mutation,No local package license is claimed.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osdr_source_citation_supplied,source_credit,blocker,source_alpha_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,upstream_osdr_dataset_citation_not_supplied,exact_osdr_study_page_bibtex_or_ris,upstream_osdr_dataset_citation,retain_generic_osdr_credit_but_defer_source_alpha_citation,prevent_source_citation_freeze,OSDR credit remains visible but exact source citation is not frozen.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,citation_release_surface_supplied,github_citation_release,blocker,release_blocker,v9/multispecies/reports/interaction_citation_metadata_fill/citation_metadata_fill_status.csv,repository_url|citation_cff_type,repository_url|citation_cff_type,repository_url|citation_cff_type,do_not_emit_citation_cff_or_github_release_metadata,prevent_citation_release_generation,No CITATION.cff or GitHub release metadata is generated.
osd120_archive_release_deferral_application_guard,osd120_release_owner_citation_metadata_fill,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,descriptor_mutation_prevented,descriptor_mutation,pass,guard_pass,v9/multispecies/reports/interaction_citation_metadata_fill/citation_descriptor_patch_preview.json,mutates_ro_crate=False;mutates_datapackage=False,mutates_ro_crate=False;mutates_datapackage=False,future_archive_identifier|release_version_string|release_date|publication_year|local_package_creators|local_package_contributors|publisher_maintainer_identity|local_code_license|local_metadata_tables_license|upstream_osdr_dataset_citation|repository_url|citation_cff_type,stop_descriptor_mutation,confirmed_no_descriptor_mutation,The draft descriptors remain diagnostic metadata only.
