manifest_id,task_id,artifact_id,artifact_role,block_id,path,file_format,exists,byte_size,line_count,row_count,sha256,required_for_claims,validation_scope,generated_by,claim_boundary
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osd120_task_manifest,task_manifest,V9-MULTI-010,v9/multispecies/interaction_task_manifests/draft_osd120_arabidopsis_root_light_interaction_spaceflight.json,json,True,17078,448,,4f61d0dc755d634b5a5b0b47c67841e9e4de5b7c6e17bbe051293533430860b5,draft_candidate_boundary|external_light_genotype_context,manifest_contract,scripts/build_v9_osd120_interaction_task_manifest.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osd120_task_manifest_index,task_manifest_index,V9-MULTI-010,v9/multispecies/interaction_task_manifest_index.draft.csv,csv,True,587,2,1,a7daa05cff4ecb3413886de2b71275cc0bae6dd13f1a2ed459dbec15d25c5808,draft_candidate_boundary,manifest_index,scripts/build_v9_osd120_interaction_task_manifest.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osd120_task_design_review,design_review,V9-MULTI-009,v9/multispecies/reports/OSD120_INTERACTION_TASK_DESIGN.md,md,True,5023,151,,d50a5e7e561d3b5b483916b9d41dec1aaafafc169df929ca8ac4f1e89fcc121d,external_light_genotype_context,review_note,manual_review,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sparse_l1_summary,model_summary,V9-MULTI-019,v9/multispecies/reports/interaction_logistic_sparse_l1/multispecies_baseline_summary.csv,csv,True,16653,16,15,8ef54721e93ba151547498001bc67646024996ab5c16f8e072984274d6ff6696,draft_candidate_boundary,generated_output,scripts/run_v9_osd120_interaction_sparse_l1.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sparse_l1_fold_comparison,fold_comparison,V9-MULTI-019,v9/multispecies/reports/interaction_logistic_sparse_l1/fold_detail_comparison_vs_nearest_centroid.csv,csv,True,42605,56,55,5c3d598977d68bfbbac7fbc40522b26f558d1a329f52e2139386e96f9f4f4cb7,nearest_centroid_fold_comparison|fragile_focus_recovery,generated_output,scripts/run_v9_osd120_interaction_sparse_l1.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sparse_l1_feature_set_audit,feature_audit,V9-MULTI-019,v9/multispecies/reports/interaction_logistic_sparse_l1/feature_set_audit_summary.csv,csv,True,11075,16,15,88d6ddb1fff2a4a142c5162bff365b4c7f34e55dc833667d0f6059e9667d4050,feature_stability_evidence,generated_output,scripts/run_v9_osd120_interaction_sparse_l1.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sparse_l1_stability_summary,stability_summary,V9-MULTI-020,v9/multispecies/reports/interaction_logistic_sparse_l1_stability/stability_summary.csv,csv,True,2885,7,6,d16614cd42dad517c0ec829c404b4901d1c71b549ca480bc89e09fab70fa18ec,feature_stability_evidence,generated_output,scripts/audit_v9_osd120_sparse_l1_stability.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,sparse_l1_stability_features,stability_feature_frequency,V9-MULTI-020,v9/multispecies/reports/interaction_logistic_sparse_l1_stability/stability_feature_frequency.csv,csv,True,2916255,12001,12000,f90108e091f232e53ac46dd6cc07f24d528b14b485d5fa438fc9489feccd3ac6,feature_stability_evidence,generated_output,scripts/audit_v9_osd120_sparse_l1_stability.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,baseline_ladder_summary,ladder_summary,V9-MULTI-021,v9/multispecies/reports/interaction_baseline_ladder/baseline_ladder_summary.csv,csv,True,5508,6,5,babffb68c9fdfeae204b90df6ac2df651e3e4c6bdee5c75773e988bc991bc393,draft_candidate_boundary|nearest_centroid_fold_comparison,generated_output,scripts/build_v9_osd120_baseline_ladder.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,baseline_ladder_focus_folds,ladder_focus_folds,V9-MULTI-021,v9/multispecies/reports/interaction_baseline_ladder/baseline_ladder_focus_folds.csv,csv,True,12502,16,15,6448fb0efda329a92d87d13b57011b906bc253d9151e1a72561a59ff896e178a,fragile_focus_recovery,generated_output,scripts/build_v9_osd120_baseline_ladder.py,draft_interaction_logistic_only_not_leaderboard
