task_id,fold_family,heldout_factor,heldout_value,fold_id,variant_id,baseline_id,transform,scaling,top_variable_genes,c,n_train,n_test,n_selected_features,n_top500_features,n_extra_features,n_nonzero_coefficients,n_nonzero_top500_coefficients,n_nonzero_extra_coefficients,balanced_accuracy,n_positive_predictions,top_abs_feature_ids,top_positive_feature_ids,top_negative_feature_ids,top_abs_extra_feature_ids
draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,holdout_condition_stratum_col_0_phyd_dark_treatment,tvg2000_log1p_zscore_l1_c0p01,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.01,30,6,2000,500,1500,0,0,0,0.5,0,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G71140|AT1G71380|AT1G71870|AT1G71910|AT1G71920|AT1G72060|AT1G72140|AT1G72520|AT1G72610|AT1G72910
draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,holdout_condition_stratum_col_0_phyd_dark_treatment,tvg2000_log1p_zscore_l1_c0p03,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.03,30,6,2000,500,1500,0,0,0,0.5,0,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT1G71140|AT1G71380|AT1G71870|AT1G71910|AT1G71920|AT1G72060|AT1G72140|AT1G72520|AT1G72610|AT1G72910
draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,holdout_condition_stratum_col_0_phyd_dark_treatment,tvg2000_log1p_zscore_l1_c0p1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.1,30,6,2000,500,1500,3,1,2,0.5,2,AT2G30660|AT1G54970|AT2G26400|AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400,AT2G30660|AT1G54970|AT2G26400|AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570|AT1G02580|AT1G02920,AT2G30660|AT2G26400|AT1G71140|AT1G71380|AT1G71870|AT1G71910|AT1G71920|AT1G72060|AT1G72140|AT1G72520
draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,holdout_condition_stratum_col_0_phyd_dark_treatment,tvg2000_log1p_zscore_l1_c0p3,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.3,30,6,2000,500,1500,9,4,5,0.6666666667,1,AT2G30660|AT2G26400|AT1G54970|AT1G16440|AT1G01060|AT1G71380|AT1G52130|AT5G52700|AT5G48010|AT1G01600,AT2G30660|AT2G26400|AT1G54970|AT1G16440|AT1G52130|AT5G52700|AT1G01600|AT1G01750|AT1G02220|AT1G02260,AT1G01060|AT1G71380|AT5G48010|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400|AT1G02570,AT2G30660|AT2G26400|AT1G71380|AT5G52700|AT5G48010|AT1G71140|AT1G71870|AT1G71910|AT1G71920|AT1G72060
draft_osd120_arabidopsis_root_light_interaction_spaceflight,diagnostic_condition_stratum_holdout,condition_stratum,Col.0.PhyD|Dark.Treatment,holdout_condition_stratum_col_0_phyd_dark_treatment,tvg2000_log1p_zscore_l1_c1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,1,30,6,2000,500,1500,10,5,5,0.6666666667,1,AT2G30660|AT1G16440|AT2G26400|AT1G71380|AT1G54970|AT1G01060|AT5G48010|AT5G52700|AT1G52130|AT1G62400,AT2G30660|AT1G16440|AT2G26400|AT1G54970|AT5G52700|AT1G52130|AT1G01600|AT1G01750|AT1G02220|AT1G02260,AT1G71380|AT1G01060|AT5G48010|AT1G62400|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02340|AT1G02400,AT2G30660|AT2G26400|AT1G71380|AT5G48010|AT5G52700|AT1G71140|AT1G71870|AT1G71910|AT1G71920|AT1G72060
draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,holdout_genotype_or_ecotype_col_0_phyd,tvg2000_log1p_zscore_l1_c0p01,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.01,24,12,2000,500,1500,0,0,0,0.5,0,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G69490|AT1G69630|AT1G69880|AT1G69890|AT1G69900|AT1G69920|AT1G70080|AT1G70170|AT1G70260|AT1G70460
draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,holdout_genotype_or_ecotype_col_0_phyd,tvg2000_log1p_zscore_l1_c0p03,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.03,24,12,2000,500,1500,0,0,0,0.5,0,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT1G69490|AT1G69630|AT1G69880|AT1G69890|AT1G69900|AT1G69920|AT1G70080|AT1G70170|AT1G70260|AT1G70460
draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,holdout_genotype_or_ecotype_col_0_phyd,tvg2000_log1p_zscore_l1_c0p1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.1,24,12,2000,500,1500,1,0,1,0.6666666667,6,AT2G30660|AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400,AT2G30660|AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400,AT1G01060|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340|AT1G02400|AT1G02510,AT2G30660|AT1G69490|AT1G69630|AT1G69880|AT1G69890|AT1G69900|AT1G69920|AT1G70080|AT1G70170|AT1G70260
draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,holdout_genotype_or_ecotype_col_0_phyd,tvg2000_log1p_zscore_l1_c0p3,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.3,24,12,2000,500,1500,7,3,4,0.9166666667,5,AT1G16440|AT2G30660|AT2G26400|AT5G04700|AT5G52700|AT1G01060|AT1G62400|AT1G01600|AT1G01750|AT1G02220,AT1G16440|AT2G30660|AT2G26400|AT5G52700|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335,AT5G04700|AT1G01060|AT1G62400|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335|AT1G02340,AT2G30660|AT2G26400|AT5G04700|AT5G52700|AT1G69490|AT1G69630|AT1G69880|AT1G69890|AT1G69900|AT1G69920
draft_osd120_arabidopsis_root_light_interaction_spaceflight,primary_genotype_or_ecotype_holdout,genotype_or_ecotype,Col.0.PhyD,holdout_genotype_or_ecotype_col_0_phyd,tvg2000_log1p_zscore_l1_c1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,1,24,12,2000,500,1500,12,6,6,0.9166666667,5,AT1G16440|AT2G30660|AT2G26400|AT5G04700|AT1G62400|AT5G52700|AT1G01060|AT5G48010|AT1G17345|AT1G54970,AT1G16440|AT2G30660|AT2G26400|AT5G52700|AT1G17345|AT1G54970|AT1G21250|AT5G11180|AT1G01600|AT1G01750,AT5G04700|AT1G62400|AT1G01060|AT5G48010|AT1G01600|AT1G01750|AT1G02220|AT1G02260|AT1G02310|AT1G02335,AT2G30660|AT2G26400|AT5G04700|AT5G52700|AT5G48010|AT5G11180|AT1G69490|AT1G69630|AT1G69880|AT1G69890
draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,holdout_light_treatment_light_treatment,tvg2000_log1p_zscore_l1_c0p01,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.01,18,18,2000,500,1500,0,0,0,0.5,0,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G73165|AT1G73260|AT1G73290|AT1G73300|AT1G73330|AT1G73410|AT1G73490|AT1G73580|AT1G74000|AT1G74460
draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,holdout_light_treatment_light_treatment,tvg2000_log1p_zscore_l1_c0p03,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.03,18,18,2000,500,1500,0,0,0,0.5,0,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G73165|AT1G73260|AT1G73290|AT1G73300|AT1G73330|AT1G73410|AT1G73490|AT1G73580|AT1G74000|AT1G74460
draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,holdout_light_treatment_light_treatment,tvg2000_log1p_zscore_l1_c0p1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.1,18,18,2000,500,1500,0,0,0,0.5,0,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300|AT1G02340,AT1G73165|AT1G73260|AT1G73290|AT1G73300|AT1G73330|AT1G73410|AT1G73490|AT1G73580|AT1G74000|AT1G74460
draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,holdout_light_treatment_light_treatment,tvg2000_log1p_zscore_l1_c0p3,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,0.3,18,18,2000,500,1500,3,0,3,0.8333333333,8,AT5G04700|AT2G39400|AT1G75830|AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880,AT2G39400|AT1G75830|AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220,AT5G04700|AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880|AT1G02220|AT1G02300,AT5G04700|AT2G39400|AT1G75830|AT1G73165|AT1G73260|AT1G73290|AT1G73300|AT1G73330|AT1G73410|AT1G73490
draft_osd120_arabidopsis_root_light_interaction_spaceflight,secondary_light_treatment_holdout,light_treatment,Light.Treatment,holdout_light_treatment_light_treatment,tvg2000_log1p_zscore_l1_c1,multispecies_interaction_logistic_regression_l2,log1p,zscore,2000,1,18,18,2000,500,1500,10,2,8,0.8333333333,8,AT5G04700|AT1G75830|AT1G72910|AT2G02250|AT2G39400|AT4G28850|AT5G42600|AT1G75490|AT1G54970|AT5G15770,AT1G75830|AT1G72910|AT2G02250|AT2G39400|AT4G28850|AT1G75490|AT1G54970|AT1G01190|AT1G01480|AT1G01560,AT5G04700|AT5G42600|AT5G15770|AT1G01190|AT1G01480|AT1G01560|AT1G01580|AT1G01600|AT1G01610|AT1G01880,AT5G04700|AT1G75830|AT2G02250|AT2G39400|AT4G28850|AT5G42600|AT1G75490|AT5G15770|AT1G73165|AT1G73260
