baseline_id,variant_id,transform,scaling,top_variable_genes,task_id,status,validation_ok,release_status,n_predictions,macro_f1,balanced_accuracy,auroc,calibration_error,mission_discrimination,genotype_holdout_delta,light_treatment_holdout_delta,condition_stratum_holdout_delta,output_dir,predictions,metrics,run_manifest,fold_family,claim_boundary
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p01,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,0,,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p01,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,,0,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p01,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,,,0,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p01/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p03,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,0,,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p03,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,,0,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p03,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,,,0,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p03/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p1,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6,0.6111111111,0.6666666667,0.1038319426,,0.1666666667,,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p1,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.3333333333,0.5,0.5,0,,,0,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p1,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.7482517483,0.75,0.8240740741,0.1990541871,,,,0.3333333333,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p1/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p3,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.861003861,0.8611111111,0.950617284,0.1964940777,,0.1666666667,,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_logistic_only_not_leaderboard
multispecies_interaction_logistic_regression_l2,tvg2000_log1p_zscore_l1_c0p3,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.7770897833,0.7777777778,0.8456790123,0.1417660994,,,0.1111111111,,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_logistic_sparse_l1/tvg2000_log1p_zscore_l1_c0p3/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_logistic_only_not_leaderboard
