baseline_id,variant_id,transform,scaling,top_variable_genes,task_id,status,validation_ok,release_status,n_predictions,macro_f1,balanced_accuracy,auroc,calibration_error,mission_discrimination,genotype_holdout_delta,light_treatment_holdout_delta,condition_stratum_holdout_delta,output_dir,predictions,metrics,run_manifest,fold_family,claim_boundary
multispecies_interaction_nearest_centroid,tvg100_log1p_zscore,log1p,zscore,100,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.8017309205,0.8055555556,0.7777777778,0.292477947,,0.08333333333,,,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg100_log1p_zscore,log1p,zscore,100,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6493506494,0.6666666667,0.7345679012,0.1555650094,,,0.1111111111,,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg100_log1p_zscore,log1p,zscore,100,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.7222222222,0.7222222222,0.8024691358,0.2148019566,,,,0.5,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg100_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg500_log1p_zscore,log1p,zscore,500,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.775,0.7777777778,0.7901234568,0.2542968054,,0.25,,,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg500_log1p_zscore,log1p,zscore,500,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6571428571,0.6666666667,0.7716049383,0.1411634894,,,0.2222222222,,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg500_log1p_zscore,log1p,zscore,500,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.7498069498,0.75,0.7932098765,0.2285712812,,,,0.5,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg500_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6666666667,0.6666666667,0.7345679012,0.1408110781,,0.25,,,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6625,0.6666666667,0.7839506173,0.1363590013,,,0.2222222222,,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6666666667,0.6666666667,0.7654320988,0.1414775035,,,,0.3333333333,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg2000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg5000_log1p_zscore,log1p,zscore,5000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6942084942,0.6944444444,0.7191358025,0.1736305559,,0.3333333333,,,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/primary_genotype_or_ecotype_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,primary_genotype_or_ecotype_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg5000_log1p_zscore,log1p,zscore,5000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6363636364,0.6388888889,0.774691358,0.114396418,,,0.1666666667,,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/secondary_light_treatment_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,secondary_light_treatment_holdout,draft_interaction_sensitivity_only_not_leaderboard
multispecies_interaction_nearest_centroid,tvg5000_log1p_zscore,log1p,zscore,5000,draft_osd120_arabidopsis_root_light_interaction_spaceflight,evaluated,True,draft_not_frozen,36,0.6666666667,0.6666666667,0.7685185185,0.1455035495,,,,0.3333333333,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/predictions.csv,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/metrics.json,v9/multispecies/reports/interaction_sensitivity/tvg5000_log1p_zscore/diagnostic_condition_stratum_holdout/draft_osd120_arabidopsis_root_light_interaction_spaceflight/run_manifest.json,diagnostic_condition_stratum_holdout,draft_interaction_sensitivity_only_not_leaderboard
