source_id,glds_prefix,sample_id,parse_status,true_label,condition_raw,condition_stratum,organism,taxon_id,species_common_name,material_type,model_system,biospecimen_type,assay_modality,feature_namespace,genotype_or_ecotype,genotype_or_ecotype_type,parental_strain_or_background,allele_or_variant,light_treatment,replicate_hint,spaceflight_environment,ground_control_type,task_family,task_id,variant,processed_file_status,local_sample_table_path,local_matrix_path
OSD-207,GLDS-207,CS-Female_Ground_Control-13,parsed,Ground,Canton.S...Wild.Type...Ground.Control,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_13,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Ground_Control-14,parsed,Ground,Canton.S...Wild.Type...Ground.Control,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_14,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Ground_Control-15,parsed,Ground,Canton.S...Wild.Type...Ground.Control,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_15,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Ground_Control-16,parsed,Ground,Canton.S...Wild.Type...Ground.Control,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_16,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Space_Flown-29,parsed,LEO_or_ISS,Canton.S...Wild.Type...Space.Flight,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_29,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Space_Flown-30,parsed,LEO_or_ISS,Canton.S...Wild.Type...Space.Flight,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_30,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Space_Flown-31,parsed,LEO_or_ISS,Canton.S...Wild.Type...Space.Flight,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_31,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,CS-Female_Space_Flown-32,parsed,LEO_or_ISS,Canton.S...Wild.Type...Space.Flight,Canton.S_Wild.Type,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,Canton.S_Wild.Type,drosophila_background_variant,Canton.S,Wild.Type,,sample_32,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,KCNQ370_Female_Ground_Control-01,parsed,Ground,w1118...KCNQ370...Ground.Control,w1118_KCNQ370,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,w1118_KCNQ370,drosophila_background_variant,w1118,KCNQ370,,sample_01,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
OSD-207,GLDS-207,KCNQ370_Female_Ground_Control-02,parsed,Ground,w1118...KCNQ370...Ground.Control,w1118_KCNQ370,Drosophila melanogaster,7227,fruit_fly,whole_organism_or_tissue,drosophila_spaceflight,female_whole_body,bulk_rna_seq,species_gene_ids_pending,w1118_KCNQ370,drosophila_background_variant,w1118,KCNQ370,,sample_02,spaceflight,ground_control,multispecies_spaceflight,draft_multispecies_spaceflight,drosophila_whole_body,local_processed_counts_and_sample_table_present,data/multispecies/drosophila/GLDS-207_rna_seq_SampleTable_GLbulkRNAseq.csv,data/multispecies/drosophila/GLDS-207_rna_seq_Normalized_Counts_GLbulkRNAseq.csv
