gap_matrix_id,source_id,api_status,audit_status,checksum_manifest_count,parsed_checksum_entries,checksum_payload_matches,freeze_ready,current_boundary,release_blocker
v9_public_bulk_alpha_freeze_gap_matrix,OSD-100,ok,checksum_manifest_parsed,2,223,222,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-101,ok,checksum_manifest_parsed,2,224,223,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-102,ok,checksum_manifest_parsed,2,224,223,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-137,ok,checksum_manifest_parsed,1,25,24,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-163,ok,checksum_manifest_parsed,2,321,320,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-194,ok,checksum_manifest_parsed,1,27,26,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-238,ok,checksum_manifest_parsed,1,62,62,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-239,ok,checksum_manifest_parsed,1,60,54,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-242,ok,checksum_manifest_parsed,1,60,60,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-243,ok,checksum_manifest_parsed,1,120,114,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-244,ok,checksum_manifest_parsed,2,944,943,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-245,ok,checksum_manifest_parsed,1,132,126,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-253,ok,checksum_manifest_parsed,2,1824,1753,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-254,ok,checksum_manifest_parsed,1,174,174,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-289,ok,checksum_manifest_parsed,2,319,318,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-326,ok,checksum_manifest_parsed,2,159,158,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-379,ok,checksum_manifest_parsed,2,2288,2287,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-397,ok,checksum_manifest_parsed,1,33,33,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-401,ok,checksum_manifest_parsed,2,165,164,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-421,ok,checksum_manifest_parsed,3,291,289,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-48,ok,checksum_manifest_parsed,5,589,546,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
v9_public_bulk_alpha_freeze_gap_matrix,OSD-686,ok,checksum_manifest_parsed,2,175,156,false,checksum_manifest_evidence_only,local_payload_hash_verification_pending
