availability_id,source_id,tissue,srx,gsm,animal_id,condition,age_months,checked_base,expected_filtered_dir,filtered_dir_status,matrix_status,features_status,barcodes_status,complete_matrix_bundle,notes
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491856,GSM8947776,HC_LAR_09,GC,3,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491856/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491856,GSM8947776,HC_LAR_09,GC,3,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491856/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491916,GSM8947777,HC_LAR_19,GC,8,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491916/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491916,GSM8947777,HC_LAR_19,GC,8,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491916/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491975,GSM8947778,HC_LAR_10,GC,3,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491975/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491975,GSM8947778,HC_LAR_10,GC,3,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491975/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491923,GSM8947779,HC_LAR_20,GC,8,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491923/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491923,GSM8947779,HC_LAR_20,GC,8,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491923/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491934,GSM8947780,FL_LAR_09,FLT,3,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491934/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491934,GSM8947780,FL_LAR_09,FLT,3,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491934/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491993,GSM8947781,FL_LAR_19,FLT,8,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491993/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491993,GSM8947781,FL_LAR_19,FLT,8,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491993/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491866,GSM8947782,FL_LAR_10,FLT,3,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491866/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491866,GSM8947782,FL_LAR_10,FLT,3,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491866/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491877,GSM8947783,FL_LAR_20,FLT,8,/home/fs01/jak4013/rrrm1_scrna,/home/fs01/jak4013/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491877/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
v9_sc_006b_rrrm1_blood_external_payload_availability,OSD-918,blood,SRX28491877,GSM8947783,FL_LAR_20,FLT,8,/home/fs01/jak4013/scratch/rrrm1_scrna,/home/fs01/jak4013/scratch/rrrm1_scrna/OSD-918/starsolo_per_srx/SRX28491877/Solo.out/GeneFull/filtered,not_found_in_checked_scope,missing,missing,missing,false,Manual probe 2026-06-03: exact OSD-918 h5ad and 8 SRX STARsolo paths were absent in the checked local/remote scopes.
