source_id,glds_prefix,osd_url,url_or_accession,mission,tissue,organism,taxon_id,species_common_name,material_type,model_system,biospecimen_type,assay_modality,platform,spaceflight_environment,ground_control_type,donor_or_strain_block,orthology_strategy,feature_namespace,task_ids,task_families,variants,access_status,privacy_class,checksum_status,release_target,notes
OSD-100,GLDS-100,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100,OSD-100,RR-1,eye,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,eye,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A6_eye_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-101,GLDS-101,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101,OSD-101,RR-1,gastrocnemius,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,gastrocnemius,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A2_gastrocnemius_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-102,GLDS-102,https://osdr.nasa.gov/bio/repo/data/studies/OSD-102,OSD-102,RR-1,kidney,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,kidney,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A3_kidney_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-137,GLDS-137,https://osdr.nasa.gov/bio/repo/data/studies/OSD-137,OSD-137,RR-3,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,bulk_lomo,canonical;combat;iss_only,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-163,GLDS-163,https://osdr.nasa.gov/bio/repo/data/studies/OSD-163,OSD-163,RR-3,kidney,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,kidney,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A3_kidney_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-194,GLDS-194,https://osdr.nasa.gov/bio/repo/data/studies/OSD-194,OSD-194,RR-3,eye,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,eye,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A6_eye_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-238,GLDS-238,https://osdr.nasa.gov/bio/repo/data/studies/OSD-238,OSD-238,MHU-2 (dorsal),skin,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,skin,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A5_skin_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-239,GLDS-239,https://osdr.nasa.gov/bio/repo/data/studies/OSD-239,OSD-239,MHU-2 (femoral),skin,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,skin,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A5_skin_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-242,GLDS-242,https://osdr.nasa.gov/bio/repo/data/studies/OSD-242,OSD-242,RR-9,liver,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,liver,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,bulk_lomo,canonical;combat;iss_only,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-243,GLDS-243,https://osdr.nasa.gov/bio/repo/data/studies/OSD-243,OSD-243,RR-6,skin,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,skin,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A5_skin_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
OSD-244,GLDS-244,https://osdr.nasa.gov/bio/repo/data/studies/OSD-244,OSD-244,RR-6,thymus,Mus musculus,10090,mouse,animal_tissue,rodent_spaceflight,thymus,bulk_rna_seq,OSDR_GLbulkRNAseq_processed_counts,LEO_or_ISS_spaceflight,matched_ground_control,,not_applicable_within_mouse_task,mouse_gene,A4_thymus_bulk_lomo,bulk_lomo,canonical,public,public,legacy_task_source_unfrozen,v9_alpha_public_bulk_candidate,
